ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.029054,-0.080999,0.068123,-0.058104,0.000189,-0.101468,-0.059828,0.001653,-0.998207
-0.020817,-0.051884,0.077860,0.118540,-0.187370,-0.139178,-0.060818,0.001271,-0.998148
-0.034313,-0.043999,0.070037,0.226965,-0.274836,-0.194005,-0.063206,-0.000633,-0.998000
-0.043791,-0.051380,0.042964,0.208393,-0.277855,-0.243343,-0.066027,-0.003033,-0.997813
-0.046368,-0.047916,0.032930,0.093311,-0.218345,-0.265519,-0.068546,-0.004758,-0.997637
-0.042022,-0.029885,0.025758,-0.049121,-0.130305,-0.249028,-0.070283,-0.005164,-0.997514
-0.029165,-0.015460,0.027636,-0.182134,-0.056713,-0.200049,-0.071192,-0.004147,-0.997454
-0.011921,-0.004310,0.032408,-0.279011,-0.027380,-0.144825,-0.071559,-0.001931,-0.997434
0.004664,-0.001526,0.047921,-0.344990,-0.085948,-0.113066,-0.072062,0.001129,-0.997400
0.007042,-0.009790,0.064658,-0.380086,-0.178707,-0.146087,-0.073417,0.004694,-0.997290
-0.008114,-0.037210,0.032963,-0.401084,-0.245644,-0.232828,-0.075565,0.008447,-0.997105
-0.014824,-0.066024,-0.006380,-0.498431,-0.319891,-0.355243,-0.078422,0.012664,-0.996840
-0.023126,-0.069326,-0.028371,-0.655559,-0.419951,-0.498795,-0.082160,0.018102,-0.996455
-0.010791,-0.053267,-0.092210,-0.754835,-0.578222,-0.605846,-0.087246,0.024764,-0.995879
-0.008089,0.005877,-0.174390,-0.728787,-0.788586,-0.679313,-0.094252,0.031690,-0.995044
0.002634,0.090535,-0.268058,-0.528471,-0.985669,-0.674610,-0.103403,0.037425,-0.993935
0.027441,0.156445,-0.413060,-0.175276,-1.145340,-0.598732,-0.114324,0.040302,-0.992626
0.010230,0.244386,-0.578697,0.257736,-1.202279,-0.502849,-0.126380,0.039291,-0.991203
-0.011320,0.325622,-0.789288,0.810122,-0.960904,-0.393097,-0.137530,0.033448,-0.989933
-0.022551,0.331286,-1.013716,1.387165,-0.485572,-0.266419,-0.144915,0.022031,-0.989199
-0.024336,0.320647,-1.112512,1.876278,0.060854,-0.175215,-0.147066,0.005418,-0.989112
-0.028361,0.309338,-1.065224,2.253412,0.521026,-0.112611,-0.144063,-0.015408,-0.989449
-0.031474,0.290309,-0.882993,2.532521,0.818299,-0.079436,-0.137273,-0.039408,-0.989749
-0.030035,0.262706,-0.641736,2.714469,1.003628,-0.085379,-0.128122,-0.065684,-0.989581
-0.032835,0.224361,-0.425700,2.808613,1.178230,-0.097311,-0.117235,-0.093288,-0.988713
-0.048439,0.191297,-0.235495,2.818840,1.427519,-0.075652,-0.104256,-0.121382,-0.987116
-0.065136,0.155805,-0.062998,2.714898,1.751613,0.002861,-0.088459,-0.148924,-0.984884
-0.064949,0.146284,0.123558,2.521011,1.971794,0.135105,-0.070046,-0.174803,-0.982109
-0.063703,0.140346,0.377261,2.270879,1.995250,0.277208,-0.050753,-0.198314,-0.978824
-0.059847,0.098720,0.629345,1.996375,1.822516,0.362869,-0.032591,-0.219112,-0.975155
-0.052257,0.027848,0.845011,1.721142,1.512849,0.351483,-0.017049,-0.237214,-0.971308
-0.050837,-0.033727,1.007306,1.442224,1.118953,0.263948,-0.004949,-0.252604,-0.967557
-0.053876,-0.072211,1.120250,1.140762,0.732974,0.140417,0.003476,-0.265161,-0.964198
-0.051592,-0.096730,1.163473,0.841262,0.424078,0.026265,0.008806,-0.274745,-0.961477
-0.039661,-0.104984,1.171268,0.559942,0.200228,-0.039648,0.011799,-0.281491,-0.959491
-0.025332,-0.113255,1.175307,0.277230,0.003603,-0.063305,0.012957,-0.285533,-0.958281
-0.006731,-0.118667,1.189954,-0.059760,-0.276424,-0.046936,0.011873,-0.286607,-0.957975
0.008749,-0.101940,1.211063,-0.448506,-0.623693,-0.013252,0.007624,-0.284168,-0.958744
0.010197,-0.073350,1.164989,-0.856044,-0.903650,0.030901,0.000179,-0.277892,-0.960612
-0.010493,-0.054665,1.018585,-1.340925,-1.082816,0.061077,-0.009633,-0.267311,-0.963562
-0.036033,-0.019081,0.815539,-1.878564,-1.126350,0.084209,-0.020638,-0.251671,-0.967593
-0.055587,0.030389,0.571136,-2.362881,-1.023321,0.087253,-0.031419,-0.230889,-0.972473
-0.071136,0.077806,0.314341,-2.668533,-0.794579,0.072158,-0.040573,-0.206041,-0.977702
-0.076139,0.112164,0.061537,-2.720171,-0.529607,0.037014,-0.047183,-0.179288,-0.982665
-0.078512,0.142797,-0.141545,-2.529497,-0.360742,0.004678,-0.051569,-0.153143,-0.986858
-0.084791,0.173862,-0.293423,-2.159080,-0.193812,-0.053803,-0.054339,-0.129764,-0.990055
-0.081815,0.194594,-0.452001,-1.696198,-0.003759,-0.095978,-0.055209,-0.110563,-0.992334
-0.038163,0.205013,-0.554899,-1.223807,0.114633,-0.092279,-0.054504,-0.096049,-0.993883
-0.004798,0.203980,-0.583957,-0.803468,0.179096,-0.046703,-0.052957,-0.086014,-0.994885
0.013468,0.195754,-0.571743,-0.501977,0.247565,0.011878,-0.050806,-0.079574,-0.995533
