ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.123852,0.151897,0.834421,-0.878115,-0.350020,0.086670,0.126720,-0.825954,-0.549311
-0.095277,0.083445,0.774369,-1.580169,-0.484552,-0.073716,0.124360,-0.819086,-0.560029
-0.066755,0.031579,0.724106,-2.209980,-0.701504,-0.253743,0.122343,-0.808022,-0.576310
-0.033232,-0.001483,0.674631,-2.741181,-0.938413,-0.404649,0.120162,-0.792966,-0.597299
-0.021023,-0.002551,0.601859,-3.168314,-1.184161,-0.533351,0.117351,-0.774259,-0.621894
-0.023073,-0.010611,0.523585,-3.505673,-1.448680,-0.703954,0.113634,-0.752191,-0.649073
-0.036379,-0.032670,0.431706,-3.761659,-1.646605,-0.928603,0.109316,-0.726989,-0.677892
-0.068314,-0.035485,0.313489,-3.945640,-1.709089,-1.167508,0.105072,-0.698981,-0.707379
-0.110531,-0.012497,0.180981,-4.076374,-1.552670,-1.354495,0.101833,-0.668518,-0.736691
-0.138221,0.038470,0.026923,-4.206009,-1.200256,-1.452532,0.100623,-0.635821,-0.765250
-0.132020,0.076610,-0.075669,-4.426893,-0.838807,-1.489057,0.101838,-0.600551,-0.793075
-0.093430,0.063859,-0.063161,-4.743649,-0.568463,-1.465984,0.104844,-0.561830,-0.820582
-0.034885,0.031989,0.000807,-5.101959,-0.431164,-1.392697,0.108539,-0.519004,-0.847852
0.010438,0.023759,0.085927,-5.471704,-0.504290,-1.376911,0.111449,-0.471650,-0.874714
0.038503,0.021344,0.138190,-5.666191,-0.682612,-1.491699,0.112544,-0.420163,-0.900443
0.004263,0.040683,0.054285,-5.519277,-0.824292,-1.739466,0.111903,-0.366794,-0.923548
-0.071871,0.101058,-0.178825,-4.923484,-0.716153,-1.962448,0.110857,-0.315429,-0.942452
-0.144168,0.212696,-0.516619,-3.976678,-0.314163,-1.999871,0.111637,-0.270573,-0.956205
-0.169220,0.323138,-0.782683,-2.959917,0.260744,-1.845756,0.116256,-0.234897,-0.965043
-0.122854,0.354322,-0.880297,-2.137792,0.834367,-1.550263,0.125418,-0.208189,-0.970014
-0.016433,0.334877,-0.833994,-1.598827,1.226575,-1.186949,0.138396,-0.188301,-0.972311
0.073131,0.289617,-0.672993,-1.341037,1.284223,-0.856901,0.152730,-0.172597,-0.973080
0.132174,0.210972,-0.458269,-1.239338,1.086881,-0.668566,0.165693,-0.158787,-0.973310
0.159022,0.108632,-0.316699,-1.094129,0.790471,-0.638477,0.175893,-0.146199,-0.973492
0.127944,0.034386,-0.279310,-0.826021,0.560488,-0.723309,0.183351,-0.135491,-0.973666
0.066362,0.019997,-0.356431,-0.432597,0.584838,-0.813684,0.189818,-0.127816,-0.973464
0.017890,0.062703,-0.474693,-0.015507,0.770313,-0.818139,0.197442,-0.124043,-0.972435
0.012491,0.099573,-0.506743,0.337504,1.015640,-0.718646,0.207113,-0.124094,-0.970415
0.028051,0.120659,-0.476237,0.587517,1.256317,-0.514747,0.218988,-0.127342,-0.967382
0.063764,0.136766,-0.387758,0.724880,1.395368,-0.257667,0.232455,-0.132906,-0.963484
0.099276,0.128774,-0.254817,0.796327,1.360536,0.000470,0.246061,-0.139958,-0.959096
0.115933,0.103855,-0.110136,0.880172,1.150115,0.210216,0.258060,-0.148274,-0.954683
0.099757,0.066230,0.001979,1.010478,0.857447,0.311702,0.267293,-0.158012,-0.950572
0.068017,0.020172,0.063682,1.191564,0.554308,0.323508,0.273490,-0.169372,-0.946845
0.028179,-0.008643,0.089324,1.382455,0.334047,0.284061,0.277089,-0.182473,-0.943359
-0.016107,-0.025447,0.077691,1.475179,0.227437,0.230360,0.279214,-0.196813,-0.939843
-0.020430,-0.036565,0.088563,1.417836,0.171306,0.188369,0.280669,-0.211131,-0.936295
-0.010255,-0.037233,0.126932,1.237875,0.120526,0.173723,0.281648,-0.224180,-0.932962
-0.005841,-0.037455,0.161986,0.955997,0.060839,0.154836,0.282117,-0.234976,-0.930159
0.001781,-0.056145,0.185161,0.614499,-0.003538,0.126650,0.282048,-0.242729,-0.928187
0.011401,-0.074036,0.190765,0.264279,-0.065222,0.059998,0.281461,-0.247085,-0.927216
-0.004292,-0.082531,0.134981,-0.006166,-0.064340,-0.038372,0.280781,-0.248249,-0.927111
-0.031122,-0.054705,-0.003093,-0.133073,0.107741,-0.147892,0.281061,-0.247236,-0.927297
-0.073170,0.025109,-0.228676,-0.093569,0.548927,-0.206069,0.284443,-0.245584,-0.926704
-0.091968,0.125142,-0.486822,0.087356,1.172561,-0.199088,0.292911,-0.244877,-0.924250
-0.079717,0.214145,-0.734713,0.407075,1.884107,-0.092699,0.307408,-0.246616,-0.919065
-0.054129,0.311784,-0.939558,0.863915,2.645706,0.141750,0.328192,-0.252457,-0.910250
-0.037908,0.419033,-1.079009,1.486724,3.442327,0.438164,0.355062,-0.264004,-0.896791
-0.023056,0.530045,-1.233935,2.287579,4.313579,0.889019,0.387879,-0.283219,-0.877119
-0.026256,0.680441,-1.330388,3.084846,5.029059,1.452351,0.425075,-0.311392,-0.849910
