ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.088302,-0.021806,-0.209332,0.725396,-1.090297,0.219147,0.359146,-0.041777,-0.932346
0.086462,-0.030202,-0.179268,0.574237,-1.149127,0.156338,0.348566,-0.048518,-0.936028
0.077705,-0.018403,-0.201573,0.550481,-1.172629,0.057227,0.337502,-0.054091,-0.939769
0.046703,0.023742,-0.296052,0.653534,-1.136031,-0.008112,0.326557,-0.059829,-0.943282
0.037785,0.102392,-0.390887,0.813005,-1.105498,-0.047342,0.315883,-0.066655,-0.946454
0.017727,0.188909,-0.499832,1.114918,-0.848264,-0.012285,0.306385,-0.075628,-0.948899
0.025608,0.279521,-0.692704,1.484691,-0.380641,0.134224,0.300457,-0.088222,-0.949706
0.026344,0.365909,-0.804275,1.854160,0.096408,0.328797,0.298836,-0.104800,-0.948532
0.033506,0.416164,-0.829984,2.318989,0.714283,0.590436,0.302081,-0.126003,-0.944918
0.042970,0.441758,-0.833951,2.748602,1.254054,0.918667,0.310500,-0.152375,-0.938281
0.029200,0.462956,-0.672059,3.120186,1.587647,1.223673,0.322118,-0.183369,-0.928771
0.024288,0.450421,-0.452697,3.446853,1.730998,1.462832,0.334934,-0.218335,-0.916596
-0.008958,0.408772,-0.199270,3.731151,1.583924,1.598836,0.346574,-0.256428,-0.902292
-0.039228,0.348123,0.077264,4.009360,1.286680,1.688576,0.354948,-0.297052,-0.886438
-0.075864,0.284421,0.285276,4.172709,0.937714,1.707859,0.359326,-0.339398,-0.869306
-0.130295,0.177091,0.501442,4.131729,0.528880,1.559608,0.359772,-0.381406,-0.851524
-0.159561,0.033420,0.740465,3.886574,-0.038630,1.267728,0.356217,-0.420612,-0.834383
-0.199378,-0.098707,0.989476,3.426140,-0.601639,0.896003,0.348700,-0.454989,-0.819386
-0.265017,-0.214366,1.131839,2.718146,-0.882653,0.499804,0.339175,-0.482656,-0.807468
-0.296328,-0.272663,1.141939,1.800914,-0.792231,0.184017,0.330584,-0.502117,-0.799120
-0.313816,-0.220611,1.117949,0.789256,-0.471845,0.000493,0.325016,-0.512787,-0.794616
-0.339059,-0.115438,1.126413,-0.125307,-0.075177,-0.092535,0.323083,-0.515193,-0.793847
-0.349548,-0.044561,1.162125,-0.858610,0.153155,-0.161819,0.324234,-0.510767,-0.796234
-0.348777,-0.024406,1.240906,-1.422651,-0.003541,-0.273146,0.326087,-0.500801,-0.801789
-0.320178,-0.039918,1.278800,-1.792657,-0.361393,-0.397610,0.326342,-0.486571,-0.810401
-0.270687,-0.035337,1.204114,-2.046031,-0.873632,-0.486381,0.323498,-0.469347,-0.821622
-0.228405,-0.003410,1.119820,-2.312292,-1.549389,-0.572524,0.315899,-0.449517,-0.835549
-0.188954,-0.003055,1.014137,-2.631273,-2.202551,-0.687145,0.302662,-0.426617,-0.852287
-0.185804,-0.019230,0.808348,-3.005423,-2.609834,-0.816607,0.284757,-0.399974,-0.871168
-0.218505,0.014149,0.507242,-3.329813,-2.631235,-0.953381,0.264724,-0.369388,-0.890771
-0.254031,0.087896,0.132974,-3.495540,-2.186924,-1.071764,0.246234,-0.335775,-0.909189
-0.257796,0.155214,-0.290072,-3.484060,-1.284844,-1.081404,0.233489,-0.300890,-0.924634
-0.225372,0.227804,-0.655369,-3.390004,-0.156853,-0.984875,0.229644,-0.266287,-0.936138
-0.171719,0.280593,-0.861570,-3.277653,0.964564,-0.824723,0.235821,-0.232619,-0.943545
-0.094782,0.290866,-0.910270,-3.114386,1.820886,-0.631429,0.250879,-0.200411,-0.947045
-0.010627,0.256992,-0.806966,-2.873359,2.269095,-0.487046,0.271629,-0.170384,-0.947200
0.058510,0.201495,-0.654389,-2.508823,2.361200,-0.414096,0.294563,-0.143420,-0.944809
0.117763,0.168073,-0.508902,-2.038341,2.050668,-0.394363,0.316273,-0.120587,-0.940973
0.152950,0.151489,-0.341608,-1.520769,1.415736,-0.429739,0.333195,-0.102432,-0.937277
0.188737,0.118233,-0.229132,-1.017869,0.740436,-0.482515,0.343749,-0.088952,-0.934839
0.234261,0.099755,-0.203044,-0.583751,0.157403,-0.481436,0.348304,-0.079781,-0.933980
0.251048,0.110334,-0.207249,-0.260654,-0.221729,-0.387069,0.348180,-0.074354,-0.934474
0.238944,0.113270,-0.233865,-0.085858,-0.332346,-0.240740,0.345666,-0.071705,-0.935614
0.218387,0.092425,-0.253746,-0.051068,-0.249515,-0.093358,0.342953,-0.070559,-0.936699
0.177687,0.055697,-0.234188,-0.108627,-0.067176,0.014755,0.341463,-0.069720,-0.937306
0.133995,0.010146,-0.196974,-0.217867,0.135499,0.088186,0.341743,-0.068374,-0.937303
0.104395,-0.019442,-0.177622,-0.335978,0.317931,0.156133,0.343832,-0.066175,-0.936697
0.084710,-0.005642,-0.147916,-0.426102,0.373793,0.202845,0.347084,-0.063206,-0.935702
0.057008,-0.012510,-0.093400,-0.484458,0.339362,0.168151,0.350310,-0.059573,-0.934738
0.027700,-0.060875,-0.089452,-0.519017,0.346639,0.073794,0.353450,-0.055291,-0.933818
