ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.032205,0.224463,-0.433790,5.202874,-0.346617,0.165495,0.138726,-0.431799,-0.891238
-0.001134,0.139986,-0.308894,5.385669,-1.265442,-0.218537,0.131719,-0.478746,-0.868016
0.141141,0.191342,-0.286043,5.335413,-1.547014,-0.541144,0.121326,-0.524518,-0.842711
0.137553,0.292848,-0.494065,5.129843,-1.786002,-0.736385,0.111028,-0.567430,-0.815902
0.157187,0.336317,-0.506059,5.009862,-2.111723,-0.826049,0.100031,-0.607405,-0.788069
0.180369,0.317165,-0.476267,5.111485,-2.556410,-0.910416,0.087362,-0.645839,-0.758459
0.208201,0.268634,-0.437020,5.361807,-2.935961,-1.025026,0.073263,-0.684116,-0.725685
0.168109,0.249483,-0.397438,5.623527,-3.127555,-1.142979,0.059278,-0.722490,-0.688835
0.118048,0.248104,-0.324540,5.819012,-3.147538,-1.259562,0.047098,-0.760357,-0.647795
0.068316,0.228668,-0.200842,5.920111,-3.096730,-1.311415,0.037534,-0.796783,-0.603098
0.017693,0.225956,-0.035158,5.918007,-2.921549,-1.292388,0.030616,-0.830875,-0.555616
0.027306,0.236759,0.101901,5.830688,-2.664858,-1.248099,0.026497,-0.861912,-0.506366
0.022244,0.234776,0.229475,5.681096,-2.356418,-1.165119,0.024982,-0.889485,-0.456282
0.001203,0.247493,0.333177,5.460431,-2.015388,-1.018660,0.025409,-0.913401,-0.406266
0.001691,0.278591,0.420806,5.099380,-1.671916,-0.877845,0.027103,-0.933468,-0.357635
0.032077,0.302815,0.493850,4.655767,-1.383822,-0.786267,0.029828,-0.949665,-0.311843
0.062307,0.310085,0.609060,4.124259,-1.153808,-0.680208,0.033198,-0.962306,-0.269934
0.054547,0.298170,0.734911,3.364546,-0.962600,-0.535414,0.036441,-0.971617,-0.233737
0.034760,0.275227,0.818288,2.413901,-0.834866,-0.422973,0.039138,-0.977834,-0.205693
0.036889,0.241646,0.908084,1.423701,-0.763098,-0.352142,0.041374,-0.981468,-0.187106
0.040539,0.216193,0.980747,0.457570,-0.679586,-0.286777,0.043216,-0.983054,-0.178150
0.043406,0.200217,0.978484,-0.431162,-0.458426,-0.182178,0.044546,-0.982962,-0.178328
0.049242,0.192709,0.908078,-1.192691,-0.150250,-0.031957,0.045072,-0.981405,-0.186581
0.052104,0.195011,0.829206,-1.805701,0.254709,0.159830,0.044576,-0.978488,-0.201429
0.078768,0.207616,0.729530,-2.302736,0.718516,0.415102,0.042829,-0.974232,-0.221443
0.126215,0.196143,0.632489,-2.744796,1.115466,0.670235,0.039663,-0.968528,-0.245725
0.159256,0.150266,0.565733,-3.213213,1.403828,0.882411,0.035431,-0.961042,-0.274123
0.174038,0.126153,0.505180,-3.728692,1.572785,1.077165,0.030354,-0.951226,-0.306999
0.162311,0.095378,0.447449,-4.240603,1.666337,1.247420,0.024609,-0.938487,-0.344437
0.145759,0.059099,0.387642,-4.719706,1.692967,1.385248,0.018456,-0.922304,-0.386025
0.142460,0.047112,0.332437,-5.149631,1.626728,1.468061,0.012173,-0.902229,-0.431085
0.146186,0.049436,0.288947,-5.540586,1.470761,1.480575,0.006035,-0.877897,-0.478812
0.127853,0.059549,0.253206,-5.922553,1.330357,1.456328,0.000337,-0.848902,-0.528551
0.091077,0.089777,0.177599,-6.280731,1.346719,1.474674,-0.004483,-0.814829,-0.579684
0.077437,0.156013,0.040203,-6.523917,1.431501,1.534260,-0.008040,-0.775673,-0.631084
0.073489,0.186082,-0.078149,-6.533634,1.424995,1.573249,-0.010378,-0.732346,-0.680853
0.074828,0.180273,-0.150325,-6.311180,1.278995,1.534445,-0.011870,-0.686606,-0.726933
0.076651,0.178957,-0.189958,-5.850553,0.957828,1.428000,-0.013296,-0.640582,-0.767775
0.056635,0.207933,-0.165020,-5.219314,0.534376,1.270546,-0.015818,-0.596636,-0.802356
0.034570,0.214366,-0.117689,-4.604318,0.179068,1.066139,-0.019754,-0.556133,-0.830859
0.001444,0.193031,-0.103309,-4.186846,0.184690,0.950075,-0.023889,-0.518775,-0.854577
-0.028063,0.221742,-0.239598,-3.953629,0.688459,1.029232,-0.025205,-0.483171,-0.875163
-0.024818,0.266326,-0.493863,-3.669087,1.227128,1.154797,-0.021661,-0.448912,-0.893313
-0.007960,0.222672,-0.529693,-3.190407,1.420967,1.203963,-0.014608,-0.417512,-0.908554
-0.010671,0.171750,-0.401887,-2.609197,1.328257,1.176678,-0.006693,-0.390683,-0.920501
-0.029252,0.155257,-0.337881,-2.048559,1.083256,1.072219,0.000260,-0.369018,-0.929422
-0.044453,0.138240,-0.311405,-1.584951,0.790334,0.880711,0.005483,-0.352076,-0.935955
-0.045758,0.114710,-0.288018,-1.237766,0.529510,0.632843,0.009046,-0.338877,-0.940787
-0.049403,0.088071,-0.281816,-0.992102,0.317452,0.382366,0.011348,-0.328397,-0.944472
-0.050631,0.064241,-0.276362,-0.814103,0.125097,0.172412,0.012560,-0.319872,-0.947378
