ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.108675,0.036875,-0.275953,0.412490,0.574381,0.648017,0.507825,0.327337,-0.796846
0.123305,0.010102,-0.213393,0.310869,0.458871,0.633096,0.514101,0.321120,-0.795350
0.138375,0.001973,-0.171602,0.192937,0.276792,0.550127,0.518973,0.316005,-0.794234
0.188709,0.084792,-0.255538,0.102708,0.099208,0.436844,0.522000,0.312257,-0.793733
0.187083,0.087438,-0.255572,0.051767,0.013979,0.356596,0.523625,0.309611,-0.793699
0.224802,0.212796,-0.414963,0.146697,0.082463,0.413156,0.525076,0.306979,-0.793762
0.262098,0.416032,-0.652808,0.483223,0.408213,0.752726,0.528582,0.301604,-0.793496
0.277172,0.697995,-0.937318,1.045216,1.180291,1.430438,0.537861,0.289889,-0.791625
0.265062,0.976054,-1.234183,1.849913,2.245355,2.493665,0.556792,0.267858,-0.786279
0.233409,1.174707,-1.294137,2.779675,3.404081,3.726452,0.586781,0.231711,-0.775885
0.190627,1.179884,-1.158691,3.439427,4.172430,4.676591,0.625214,0.181718,-0.759003
0.134563,1.002946,-0.826288,3.875889,4.018988,5.053598,0.663960,0.122344,-0.737692
0.005477,0.769678,-0.314221,4.365237,3.225573,4.905623,0.695221,0.058035,-0.716449
-0.094858,0.465261,0.075989,4.900849,2.182685,4.558094,0.715677,-0.008535,-0.698380
-0.161786,0.227873,0.310668,5.267128,1.278583,4.247751,0.725720,-0.075895,-0.683791
-0.271921,0.105586,0.391276,5.322318,0.814636,3.996832,0.728128,-0.142207,-0.670528
-0.404194,0.078508,0.382465,5.064140,0.867714,3.818385,0.726673,-0.205568,-0.655506
-0.563833,0.090694,0.323221,4.544520,1.403332,3.650819,0.725057,-0.264125,-0.636026
-0.740251,0.082507,0.260151,3.887213,2.180886,3.450834,0.725847,-0.316577,-0.610676
-0.920323,0.049934,0.292138,3.161711,2.986362,3.084846,0.730122,-0.361701,-0.579736
-1.023625,-0.000900,0.348871,2.484301,3.584191,2.616816,0.737859,-0.398682,-0.544626
-1.074228,-0.013424,0.508312,2.067928,3.651907,2.048263,0.747492,-0.428074,-0.507946
-1.056464,-0.045219,0.810981,1.908286,3.061978,1.541378,0.756370,-0.451332,-0.473502
-0.973288,-0.059702,1.145882,1.867913,1.844582,1.150122,0.761664,-0.470266,-0.445778
-0.848542,-0.067586,1.466267,1.773059,0.290851,0.797471,0.761719,-0.485758,-0.428745
-0.751674,-0.095602,1.635848,1.480274,-1.098044,0.394707,0.756892,-0.497401,-0.423918
-0.739257,-0.153327,1.561723,0.976770,-2.003440,-0.104291,0.749359,-0.503854,-0.429643
-0.753077,-0.204044,1.398531,0.250295,-2.451631,-0.654200,0.741373,-0.503796,-0.443346
-0.753292,-0.239202,1.225475,-0.705648,-2.570657,-1.260739,0.734661,-0.495723,-0.463177
-0.724480,-0.272308,1.049871,-1.788066,-2.483859,-1.881771,0.730218,-0.478196,-0.487966
-0.668968,-0.276610,0.898190,-2.852065,-2.277244,-2.477547,0.728385,-0.450441,-0.516293
-0.600419,-0.234998,0.771324,-3.813877,-2.057246,-3.007756,0.728745,-0.412432,-0.546654
-0.542925,-0.148484,0.674003,-4.664265,-1.885090,-3.459582,0.730288,-0.364653,-0.577674
-0.475593,-0.050806,0.599182,-5.361613,-1.800401,-3.821316,0.731681,-0.307851,-0.608170
-0.417635,0.050449,0.489982,-5.839181,-1.724059,-4.126482,0.731615,-0.243397,-0.636787
-0.411423,0.143880,0.224686,-5.940560,-1.323547,-4.398322,0.730469,-0.173390,-0.660568
-0.381311,0.228619,-0.132851,-5.630433,-0.718007,-4.539854,0.729776,-0.101407,-0.676124
-0.310620,0.357095,-0.346989,-5.006202,-0.216986,-4.449387,0.729687,-0.031823,-0.683040
-0.203273,0.489469,-0.414880,-4.197399,-0.024902,-4.193934,0.729014,0.031619,-0.683768
-0.049208,0.541039,-0.342841,-3.353889,-0.266851,-3.894457,0.725782,0.087150,-0.682382
0.123946,0.505255,-0.188565,-2.631295,-0.963400,-3.581678,0.717561,0.134744,-0.683338
0.248129,0.431327,-0.017251,-2.143169,-1.929834,-3.365398,0.702188,0.175911,-0.689918
0.352327,0.379420,0.051920,-1.777220,-2.839609,-3.109182,0.679045,0.212164,-0.702769
0.366986,0.466424,-0.031640,-1.468877,-3.354870,-2.729897,0.649982,0.243308,-0.719947
0.331474,0.522023,-0.190845,-1.217570,-3.506212,-2.333999,0.618188,0.269252,-0.738476
0.299221,0.514501,-0.342213,-1.008076,-3.365781,-1.996823,0.586109,0.290751,-0.756267
0.251429,0.514488,-0.526012,-0.741414,-2.892172,-1.611094,0.556462,0.307899,-0.771717
0.232944,0.514522,-0.674403,-0.454108,-2.210482,-1.189430,0.532025,0.320240,-0.783834
0.232181,0.470335,-0.717598,-0.231936,-1.590347,-0.786885,0.513867,0.328081,-0.792656
0.232486,0.403481,-0.624840,-0.135022,-1.317178,-0.506898,0.500302,0.332725,-0.799370
