ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.012287,-0.037989,-0.052585,0.028634,-0.275364,0.174057,-0.166874,-0.285757,-0.943661
0.016332,-0.063811,-0.045572,-0.078117,-0.365183,0.162505,-0.170385,-0.285264,-0.943183
0.019852,-0.092474,-0.050263,-0.201638,-0.479681,0.098554,-0.174774,-0.283686,-0.942855
-0.005360,-0.123848,-0.105277,-0.304215,-0.551083,-0.030380,-0.179806,-0.281212,-0.942650
-0.059948,-0.136189,-0.233909,-0.405629,-0.582751,-0.160222,-0.184925,-0.278026,-0.942605
-0.094521,-0.100257,-0.384195,-0.471379,-0.575138,-0.244004,-0.189872,-0.274209,-0.942740
-0.113559,-0.056835,-0.560441,-0.438043,-0.471687,-0.277591,-0.194210,-0.270329,-0.942976
-0.143522,-0.007901,-0.776851,-0.188716,-0.129702,-0.280960,-0.196505,-0.267734,-0.943241
-0.160155,0.045777,-1.061408,0.373201,0.497865,-0.269994,-0.194124,-0.268967,-0.943384
-0.176264,0.101741,-1.329961,1.241971,1.241368,-0.248891,-0.185217,-0.276943,-0.942867
-0.215549,0.180420,-1.507398,2.387582,2.022295,-0.185219,-0.169110,-0.294403,-0.940600
-0.236124,0.304806,-1.568196,3.594494,2.706289,0.000825,-0.146383,-0.322827,-0.935069
-0.202468,0.450627,-1.413155,4.615485,3.105186,0.284458,-0.119492,-0.361210,-0.924797
-0.146752,0.536205,-1.062096,5.315086,3.153220,0.554942,-0.092063,-0.406765,-0.908882
-0.140286,0.522246,-0.620917,5.680770,2.939545,0.685574,-0.067158,-0.456114,-0.887384
-0.143952,0.429012,-0.178203,5.779070,2.513704,0.605067,-0.046264,-0.506268,-0.861135
-0.116271,0.304605,0.234636,5.664716,1.989024,0.357173,-0.029664,-0.554895,-0.831392
-0.083946,0.201801,0.562860,5.345170,1.480854,0.106469,-0.016747,-0.600116,-0.799737
-0.059509,0.160340,0.825414,4.791645,1.036098,-0.055307,-0.006989,-0.640198,-0.768178
-0.035410,0.176185,1.039735,4.052487,0.689639,-0.147245,0.000193,-0.673789,-0.738923
-0.012527,0.195652,1.191023,3.171876,0.496137,-0.157400,0.005538,-0.700230,-0.713896
-0.002188,0.241682,1.287566,2.169896,0.402431,-0.085126,0.009573,-0.719176,-0.694762
0.008883,0.301518,1.373057,1.108877,0.333764,0.025051,0.012342,-0.730534,-0.682765
0.027324,0.311790,1.455710,0.077860,0.261066,0.115131,0.013844,-0.734566,-0.678396
0.030720,0.301572,1.490575,-0.793997,0.166924,0.149960,0.014324,-0.732053,-0.681097
0.019688,0.319592,1.492642,-1.504868,-0.050454,0.157740,0.013668,-0.724102,-0.689557
0.010993,0.337101,1.503730,-2.134108,-0.423944,0.160970,0.010904,-0.711353,-0.702750
0.018484,0.323640,1.481167,-2.746535,-0.890807,0.163066,0.005107,-0.693910,-0.720044
0.021574,0.307184,1.414850,-3.391902,-1.426042,0.197377,-0.004606,-0.671381,-0.741098
0.020696,0.305193,1.310005,-4.070965,-1.996246,0.292660,-0.019170,-0.643083,-0.765556
0.002236,0.318598,1.149873,-4.697040,-2.511422,0.404526,-0.039101,-0.608561,-0.792543
-0.070525,0.353283,0.888335,-5.101155,-2.804753,0.452012,-0.063371,-0.568462,-0.820265
-0.179712,0.396833,0.550506,-5.200557,-2.773263,0.390349,-0.089300,-0.524778,-0.846542
-0.267686,0.389597,0.165621,-4.981746,-2.357604,0.243516,-0.113265,-0.480341,-0.869738
-0.321007,0.358358,-0.217331,-4.523857,-1.708933,0.100392,-0.132087,-0.437993,-0.889221
-0.331188,0.344746,-0.493693,-3.980496,-1.050464,0.052606,-0.144779,-0.399525,-0.905218
-0.276461,0.328155,-0.596163,-3.547977,-0.577004,0.096243,-0.152357,-0.365005,-0.918455
-0.190143,0.295108,-0.557584,-3.307462,-0.352514,0.171812,-0.157025,-0.333026,-0.929751
-0.104422,0.243706,-0.466066,-3.170322,-0.345314,0.190170,-0.160791,-0.302285,-0.939559
-0.044803,0.166671,-0.436312,-2.911828,-0.418484,0.086976,-0.164884,-0.273040,-0.947767
-0.069168,0.107474,-0.556022,-2.407413,-0.432204,-0.099436,-0.168961,-0.247473,-0.954049
-0.124856,0.100864,-0.672155,-1.757714,-0.392135,-0.290421,-0.172507,-0.227726,-0.958323
-0.121645,0.107074,-0.732300,-1.080859,-0.286938,-0.407985,-0.175032,-0.214664,-0.960876
-0.079719,0.112842,-0.733770,-0.469147,-0.173175,-0.392488,-0.176369,-0.207950,-0.962107
-0.019940,0.122240,-0.657766,-0.006685,-0.108882,-0.261587,-0.177006,-0.206346,-0.962336
0.029904,0.117442,-0.533894,0.232814,-0.151001,-0.069260,-0.177838,-0.207896,-0.961849
0.060022,0.104601,-0.390799,0.254859,-0.252152,0.129175,-0.179879,-0.210298,-0.960946
0.071708,0.082940,-0.295130,0.142077,-0.287675,0.291622,-0.182990,-0.211876,-0.960012
0.054608,0.034189,-0.245801,-0.065002,-0.249115,0.375656,-0.186338,-0.211664,-0.959415
0.015289,-0.027126,-0.202999,-0.309461,-0.146039,0.394141,-0.189102,-0.209126,-0.959430
