ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.075315,-0.111890,-0.078090,0.180238,0.751368,0.210946,-0.016146,0.049436,-0.998647
-0.010880,-0.060791,0.136584,-0.106683,0.551284,0.218627,-0.009368,0.049072,-0.998751
0.018390,-0.080898,0.300802,-0.338009,0.194405,0.207922,-0.005450,0.051418,-0.998662
0.034378,-0.082420,0.332594,-0.342405,-0.158832,0.209976,-0.005188,0.055015,-0.998472
0.003156,-0.035542,0.257131,-0.132035,-0.472265,0.181223,-0.008299,0.057499,-0.998311
-0.005376,-0.012022,0.188970,0.132600,-0.615226,0.192263,-0.013804,0.057493,-0.998250
-0.020608,-0.005823,0.096105,0.259194,-0.584790,0.198818,-0.019767,0.055444,-0.998266
-0.029713,0.002714,0.054196,0.170799,-0.450401,0.141305,-0.024944,0.053194,-0.998273
-0.052095,0.000609,0.024636,-0.084805,-0.238077,0.075541,-0.028349,0.052705,-0.998208
-0.052952,-0.024813,0.015081,-0.457900,-0.065280,0.006252,-0.029781,0.055377,-0.998021
-0.017971,-0.039672,0.048076,-0.868652,-0.044174,-0.077787,-0.030247,0.062042,-0.997615
-0.007343,-0.046629,0.105568,-1.219321,-0.151615,-0.053105,-0.031201,0.072508,-0.996880
-0.023090,0.139731,0.155006,-1.624401,-0.434644,0.307315,-0.034131,0.086770,-0.995644
0.005547,0.283142,0.147527,-2.009837,-0.566159,0.414414,-0.038704,0.105149,-0.993703
0.023628,-0.107224,0.036518,-2.407579,-0.828368,0.291325,-0.045342,0.127259,-0.990833
-0.020656,-0.148081,-0.050360,-2.903139,-0.503261,0.136649,-0.052144,0.153742,-0.986734
-0.085231,0.035605,-0.475513,-3.344858,-0.112050,-0.058654,-0.054830,0.184808,-0.981244
-0.125981,0.130572,-0.621180,-3.432567,0.048036,-0.337972,-0.055477,0.218274,-0.974309
-0.133675,0.187369,-0.778878,-3.144559,0.130504,-0.622975,-0.055779,0.250360,-0.966545
-0.007846,0.360912,-1.074845,-2.386815,0.225555,-0.610777,-0.055723,0.277088,-0.959227
0.059882,0.644886,-1.264830,-1.208029,0.303966,-0.279623,-0.054526,0.294323,-0.954149
0.093642,0.790949,-1.308268,0.157650,0.518390,0.145126,-0.050871,0.299322,-0.952795
0.172965,0.721889,-1.259939,1.309682,0.710442,0.512678,-0.043876,0.292210,-0.955347
0.168705,0.608660,-1.052222,2.026323,0.785503,0.767693,-0.034794,0.276136,-0.960489
0.102353,0.473688,-0.745694,2.253349,0.768879,0.828832,-0.025037,0.255346,-0.966526
0.006731,0.270936,-0.386608,2.012034,0.697600,0.609313,-0.016009,0.234481,-0.971989
-0.095543,0.057617,-0.027344,1.609297,0.566934,0.252856,-0.008903,0.216843,-0.976166
-0.137294,-0.123753,0.175340,1.431256,0.648380,-0.053876,-0.002843,0.202122,-0.979356
-0.174415,-0.223580,0.215998,1.555510,1.000691,-0.161257,0.004828,0.187524,-0.982248
-0.151178,-0.266639,0.252563,1.750031,1.517022,-0.112982,0.017069,0.171180,-0.985092
-0.130843,-0.252176,0.375285,1.924254,1.881386,0.028730,0.033965,0.152948,-0.987650
-0.157127,-0.282641,0.617453,2.046115,2.024991,0.128003,0.053672,0.133120,-0.989646
-0.173133,-0.373165,0.882870,2.050719,1.966695,0.085919,0.073737,0.112590,-0.990902
-0.185120,-0.426668,1.079950,1.931828,1.817937,0.007259,0.092728,0.092638,-0.991373
-0.189019,-0.432506,1.201387,1.745748,1.509978,-0.097480,0.109414,0.074336,-0.991213
-0.182254,-0.451852,1.345602,1.551647,1.027505,-0.271760,0.122058,0.058114,-0.990820
-0.160306,-0.513046,1.460244,1.310634,0.325852,-0.521511,0.128766,0.044296,-0.990685
-0.148189,-0.505424,1.550681,0.966121,-0.609002,-0.823048,0.127148,0.033760,-0.991309
-0.152505,-0.435688,1.585377,0.526312,-1.481184,-1.091812,0.116326,0.027424,-0.992832
-0.129431,-0.327871,1.438033,-0.009291,-2.183867,-1.214689,0.097570,0.026052,-0.994888
-0.116311,-0.132536,1.190765,-0.569809,-2.631756,-1.128658,0.072930,0.029967,-0.996887
-0.097859,0.056294,0.901028,-1.127143,-2.774639,-0.904189,0.045231,0.039103,-0.998211
-0.065960,0.193071,0.547371,-1.574598,-2.574252,-0.597844,0.017880,0.052977,-0.998436
-0.030547,0.320801,0.153822,-1.418212,-2.040654,-0.126017,-0.005800,0.068512,-0.997633
0.045406,0.393446,-0.426923,-1.036980,-0.863358,0.329664,-0.020381,0.080965,-0.996509
0.007277,0.405051,-0.704602,-0.670138,-0.080700,0.643096,-0.024397,0.089532,-0.995685
0.044356,0.397453,-0.682736,-0.399712,0.315605,0.737848,-0.022322,0.094994,-0.995228
-0.015039,0.289053,-0.505403,-0.266257,0.280092,0.582680,-0.018423,0.098383,-0.994978
-0.031204,0.211191,-0.325185,-0.176279,-0.049610,0.304291,-0.016724,0.100699,-0.994776
-0.013158,0.130833,-0.240135,-0.033138,-0.419826,0.064891,-0.018932,0.101833,-0.994621
