ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.008885,-0.115618,0.102520,-0.192488,-0.194072,0.177475,-0.140468,-0.263685,-0.954326
0.005126,-0.139832,0.078375,-0.272554,-0.243035,0.170767,-0.143035,-0.261153,-0.954641
-0.017985,-0.100305,0.033686,-0.287318,-0.307019,0.172449,-0.146092,-0.258200,-0.954982
-0.050743,-0.047851,-0.000869,-0.305337,-0.426205,0.182290,-0.150032,-0.255112,-0.955200
-0.051493,-0.017915,-0.027559,-0.391151,-0.643477,0.192370,-0.155584,-0.251540,-0.955260
-0.044005,-0.005987,-0.068992,-0.540307,-0.976571,0.139165,-0.163759,-0.246790,-0.955132
-0.064056,0.010445,-0.224621,-0.545105,-1.140870,0.007805,-0.174348,-0.241265,-0.954670
-0.107023,0.047439,-0.587672,-0.063417,-0.784108,-0.132001,-0.183825,-0.238067,-0.953694
-0.137767,0.114747,-1.171056,1.131938,0.285178,-0.133886,-0.186284,-0.243043,-0.951960
-0.174808,0.312943,-1.777500,2.754478,1.757157,0.221341,-0.176571,-0.261521,-0.948910
-0.208468,0.663228,-1.991192,4.220837,2.913106,0.939034,-0.155683,-0.293996,-0.943043
-0.168635,0.919980,-1.798866,5.166855,3.849525,1.808434,-0.128164,-0.336728,-0.932839
-0.109582,0.939650,-1.538655,5.450985,4.824969,2.614235,-0.095862,-0.384032,-0.918330
-0.192174,0.891684,-1.229894,5.215646,5.640697,3.146026,-0.059764,-0.430777,-0.900477
-0.368820,0.768265,-0.811908,4.803372,6.056197,3.186325,-0.021683,-0.474334,-0.880078
-0.507813,0.484278,-0.305052,4.478336,5.874783,2.744568,0.015946,-0.514720,-0.857210
-0.489788,0.162835,0.224835,4.294653,4.990478,2.125288,0.049404,-0.552713,-0.831906
-0.386963,-0.040879,0.690266,4.217507,3.777515,1.586173,0.074890,-0.588867,-0.804753
-0.292238,-0.099033,0.931533,4.104389,2.849690,1.254964,0.092470,-0.623196,-0.776580
-0.253976,0.008018,0.949149,3.839464,2.347569,1.155501,0.104547,-0.654899,-0.748450
-0.274016,0.166271,0.910463,3.450373,2.227155,1.184902,0.113402,-0.683147,-0.721422
-0.317803,0.251876,0.861817,2.988063,2.362506,1.224334,0.121255,-0.707534,-0.696199
-0.376473,0.274953,0.833105,2.509450,2.546355,1.217707,0.129311,-0.728002,-0.673269
-0.443299,0.270830,0.848285,2.084004,2.669758,1.146337,0.137940,-0.744875,-0.652789
-0.483973,0.257592,0.870367,1.759959,2.728514,1.039873,0.147135,-0.758843,-0.634436
-0.503778,0.260898,0.886619,1.500293,2.736777,0.919660,0.156854,-0.770602,-0.617713
-0.513326,0.287040,0.911458,1.247098,2.535361,0.796263,0.166432,-0.780433,-0.602681
-0.499181,0.298715,0.992622,0.945065,2.085477,0.666601,0.174611,-0.788293,-0.590004
-0.442897,0.269838,1.101817,0.516661,1.461933,0.535915,0.180309,-0.793733,-0.580928
-0.352062,0.215717,1.170303,-0.087565,0.785160,0.421032,0.183040,-0.795917,-0.577072
-0.268827,0.157479,1.171888,-0.835665,0.108787,0.305242,0.182722,-0.793938,-0.579893
-0.211936,0.087972,1.109596,-1.618460,-0.545496,0.131654,0.179648,-0.787115,-0.590065
-0.184367,0.024693,1.004192,-2.353642,-1.151982,-0.072508,0.174281,-0.775196,-0.607204
-0.168718,0.003975,0.871079,-3.061929,-1.679248,-0.263305,0.166735,-0.758049,-0.630524
-0.172456,0.023340,0.724457,-3.733015,-2.119739,-0.467330,0.157106,-0.735391,-0.659180
-0.187458,0.068363,0.552263,-4.247469,-2.415658,-0.699628,0.145832,-0.707295,-0.691713
-0.190692,0.128930,0.310910,-4.496701,-2.383204,-0.823670,0.133959,-0.674904,-0.725644
-0.178550,0.223490,0.011104,-4.486237,-2.195093,-0.784274,0.122229,-0.640223,-0.758403
-0.174186,0.344045,-0.193845,-4.281991,-1.962091,-0.609279,0.110450,-0.605215,-0.788363
-0.163140,0.440345,-0.313156,-3.972198,-1.693092,-0.356929,0.098580,-0.571403,-0.814728
-0.126868,0.461082,-0.375736,-3.633008,-1.493214,-0.165046,0.086829,-0.539558,-0.837459
-0.098372,0.377628,-0.382419,-3.257910,-1.442181,-0.207234,0.075239,-0.510014,-0.856869
-0.068522,0.181974,-0.440759,-2.779266,-1.297994,-0.461147,0.064844,-0.483488,-0.872946
-0.033087,0.012261,-0.561825,-2.323282,-1.067103,-0.798529,0.057379,-0.460610,-0.885746
-0.031414,-0.035261,-0.618975,-1.994052,-0.870719,-1.111591,0.053020,-0.440798,-0.896039
-0.014521,-0.017055,-0.638069,-1.741680,-0.626029,-1.300593,0.051478,-0.423283,-0.904534
0.036457,0.028698,-0.634876,-1.569293,-0.348085,-1.329677,0.052563,-0.407528,-0.911679
0.100829,0.088467,-0.580420,-1.507468,-0.029044,-1.199190,0.055909,-0.392742,-0.917948
0.155651,0.137286,-0.527531,-1.552375,0.331477,-0.938972,0.061512,-0.377993,-0.923763
0.168381,0.178521,-0.467472,-1.659760,0.551379,-0.641611,0.068679,-0.362527,-0.929439
