ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.119092,-0.057453,-0.054235,-0.442209,-1.116005,-0.046588,-0.591693,0.486423,-0.642878
-0.135416,-0.028396,-0.077436,-0.585472,-1.262574,-0.206353,-0.599905,0.488998,-0.633242
-0.143697,0.005672,-0.138091,-0.662592,-1.455559,-0.431200,-0.610011,0.491063,-0.621888
-0.154297,0.012960,-0.225512,-0.596173,-1.660317,-0.690983,-0.622437,0.491557,-0.609052
-0.186443,0.013171,-0.328947,-0.386635,-1.764831,-0.966931,-0.636967,0.489331,-0.595674
-0.236516,0.043306,-0.490468,-0.063441,-1.652666,-1.228314,-0.652568,0.483565,-0.583370
-0.305848,0.140372,-0.685984,0.332596,-1.331851,-1.397459,-0.667693,0.474023,-0.574011
-0.412726,0.324825,-0.845984,0.778844,-0.825805,-1.411070,-0.680628,0.461247,-0.569207
-0.498344,0.495877,-1.026427,1.315653,-0.147795,-1.299119,-0.689660,0.445926,-0.570543
-0.522877,0.583593,-1.165900,1.977361,0.641598,-1.211538,-0.693767,0.427744,-0.579415
-0.491307,0.606800,-1.247395,2.802273,1.470465,-1.171621,-0.692501,0.405376,-0.596752
-0.432222,0.588886,-1.202127,3.788018,2.178265,-1.139378,-0.685804,0.377193,-0.622413
-0.373523,0.566688,-0.976854,4.785113,2.661944,-1.130188,-0.674252,0.341851,-0.654616
-0.308128,0.566682,-0.649920,5.606006,2.808796,-1.128087,-0.659233,0.299025,-0.689924
-0.261377,0.568070,-0.245859,6.125865,2.600832,-1.119892,-0.642981,0.249786,-0.724005
-0.205381,0.540707,0.146173,6.334156,2.189363,-1.107013,-0.627627,0.196217,-0.753381
-0.125110,0.480105,0.458418,6.266645,1.744834,-1.069498,-0.614361,0.140775,-0.776365
-0.044270,0.398103,0.685680,5.911131,1.410173,-1.005211,-0.603160,0.086196,-0.792949
0.039096,0.307295,0.835873,5.312576,1.158230,-0.947390,-0.593448,0.035143,-0.804105
0.107977,0.217351,0.974620,4.520032,0.950624,-0.925192,-0.585059,-0.010426,-0.810924
0.167731,0.125367,1.094138,3.610736,0.847447,-0.898307,-0.577475,-0.049058,-0.814933
0.233695,0.061525,1.165739,2.642973,0.816382,-0.822223,-0.570136,-0.079744,-0.817671
0.309535,0.024876,1.184169,1.699869,0.848009,-0.678319,-0.562617,-0.101887,-0.820415
0.370113,0.001818,1.160515,0.885986,0.883512,-0.472247,-0.554805,-0.115740,-0.823891
0.416629,-0.022654,1.153780,0.228019,0.857098,-0.217020,-0.547122,-0.122228,-0.828081
0.454475,-0.027075,1.169385,-0.304439,0.718496,0.089491,-0.540397,-0.122217,-0.832487
0.466497,0.003613,1.173029,-0.744538,0.466694,0.412168,-0.535680,-0.116406,-0.836359
0.461853,0.029410,1.149562,-1.097569,0.145944,0.697774,-0.533691,-0.105597,-0.839061
0.426288,0.034925,1.101942,-1.378143,-0.148946,0.909222,-0.534565,-0.090772,-0.840239
0.357466,0.014538,0.998580,-1.619361,-0.283050,1.038409,-0.537276,-0.072842,-0.840255
0.300385,-0.012888,0.828458,-1.867144,-0.334767,1.136909,-0.540574,-0.052237,-0.839673
0.241543,0.002877,0.694611,-2.140379,-0.397008,1.216170,-0.544155,-0.028909,-0.838486
0.167031,0.049177,0.566835,-2.410847,-0.430260,1.270844,-0.547860,-0.002897,-0.836565
0.094839,0.093150,0.420267,-2.647958,-0.427089,1.313538,-0.551321,0.025532,-0.833902
0.029842,0.126699,0.288965,-2.823529,-0.411851,1.316057,-0.554286,0.055796,-0.830454
-0.017249,0.131740,0.177398,-2.909534,-0.430461,1.263155,-0.556848,0.086965,-0.826050
-0.054024,0.118650,0.089918,-2.887403,-0.481465,1.147694,-0.559364,0.117800,-0.820509
-0.086989,0.115642,0.013030,-2.767926,-0.560181,0.993468,-0.562196,0.147130,-0.813811
-0.104188,0.126193,-0.048496,-2.566294,-0.691956,0.824247,-0.565795,0.174054,-0.805966
-0.113323,0.137092,-0.077268,-2.306742,-0.914593,0.638394,-0.570850,0.197900,-0.796847
-0.119413,0.147775,-0.084236,-2.008339,-1.220284,0.452136,-0.578188,0.218253,-0.786171
-0.111020,0.144527,-0.093191,-1.684212,-1.530184,0.281290,-0.588168,0.234898,-0.773874
-0.102904,0.130234,-0.127574,-1.335473,-1.749771,0.131689,-0.600404,0.247802,-0.760335
-0.134510,0.103751,-0.219805,-0.990715,-1.689806,-0.037153,-0.613476,0.256890,-0.746763
-0.172341,0.070105,-0.374285,-0.663980,-1.382687,-0.153163,-0.625251,0.262414,-0.734983
-0.169269,0.061401,-0.459201,-0.395386,-1.023959,-0.203205,-0.634564,0.265107,-0.725980
-0.150980,0.061032,-0.465207,-0.218341,-0.746917,-0.180263,-0.641470,0.266025,-0.719546
-0.138145,0.080412,-0.414020,-0.124591,-0.571128,-0.092723,-0.646569,0.266328,-0.714855
-0.143670,0.109573,-0.339731,-0.086585,-0.409093,0.019589,-0.650184,0.266815,-0.711386
-0.146343,0.109894,-0.297324,-0.096776,-0.243151,0.115723,-0.652333,0.267899,-0.709008
