ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.051602,0.118429,-0.157667,0.545467,-0.245205,-0.051443,-0.332980,0.398768,-0.854464
-0.043753,0.086130,-0.142532,0.562169,-0.220117,-0.080025,-0.335275,0.393774,-0.855881
-0.061973,0.036424,-0.122237,0.578781,-0.140669,-0.098584,-0.337212,0.388564,-0.857500
-0.060675,0.041892,-0.120290,0.608854,-0.076056,-0.111004,-0.338510,0.383096,-0.859447
-0.070892,0.008604,-0.095961,0.666686,-0.090616,-0.122344,-0.339661,0.377184,-0.861605
-0.063849,-0.013282,-0.059024,0.731388,-0.128836,-0.145415,-0.341119,0.370658,-0.863858
-0.038817,-0.015281,-0.039609,0.775770,-0.165685,-0.176553,-0.343003,0.363532,-0.866137
-0.024568,-0.028334,-0.025482,0.798741,-0.188373,-0.211708,-0.345260,0.355971,-0.868378
-0.020924,-0.047018,-0.014949,0.797836,-0.182565,-0.241521,-0.347728,0.348180,-0.870549
-0.019025,-0.048848,-0.011325,0.762740,-0.098532,-0.239893,-0.349841,0.340459,-0.872754
-0.002351,-0.022509,-0.026766,0.702382,-0.001282,-0.168941,-0.350967,0.333269,-0.875074
0.008570,0.022439,-0.034917,0.671731,0.039371,-0.047816,-0.351129,0.326865,-0.877421
0.012757,0.046935,-0.047273,0.735768,-0.021605,0.104505,-0.350907,0.320802,-0.879744
0.020720,0.079646,-0.061341,0.964704,-0.275571,0.302210,-0.351409,0.314107,-0.881957
-0.007467,0.145019,-0.076918,1.461136,-0.815744,0.471594,-0.354945,0.304886,-0.883775
-0.041821,0.189285,-0.114007,2.151315,-1.313302,0.431505,-0.363117,0.290574,-0.885276
-0.069186,0.205745,-0.339839,2.924770,-1.745946,0.037523,-0.375974,0.268956,-0.886739
-0.059340,0.239720,-0.500632,3.602951,-1.894194,-0.678025,-0.393343,0.238445,-0.887933
0.000923,0.307665,-0.733060,3.814538,-1.511230,-1.361197,-0.410957,0.200849,-0.889255
-0.002287,0.420901,-0.970957,3.797558,-1.384916,-1.728168,-0.426378,0.160184,-0.890249
0.013051,0.511799,-0.821797,3.955015,-2.147022,-1.853719,-0.444111,0.117794,-0.888195
0.070424,0.505700,-0.530189,4.232641,-3.654337,-2.049980,-0.471532,0.072440,-0.878868
0.165510,0.440474,-0.303799,4.246037,-5.101225,-2.446372,-0.511106,0.024080,-0.859180
0.177894,0.358776,-0.306801,3.924076,-6.171344,-2.950475,-0.559104,-0.025265,-0.828712
0.096347,0.260260,-0.266804,3.492295,-7.018861,-3.497499,-0.611209,-0.074453,-0.787960
0.075266,0.173158,-0.103820,3.050936,-7.634001,-4.022902,-0.663843,-0.123734,-0.737565
0.117308,0.139937,0.008687,2.659235,-7.775139,-4.400314,-0.712721,-0.173339,-0.679692
0.227400,0.129125,0.031913,2.431911,-7.423966,-4.523603,-0.753599,-0.222951,-0.618369
0.313504,0.098957,0.074300,2.464534,-6.620743,-4.321226,-0.784283,-0.271732,-0.557729
0.394616,0.042459,0.123941,2.752597,-5.422410,-3.742455,-0.804436,-0.317987,-0.501763
0.450404,-0.002688,0.204360,3.076482,-4.009958,-2.801931,-0.815990,-0.358808,-0.453231
0.457804,-0.025524,0.302982,3.178153,-2.368958,-1.828897,-0.821238,-0.391529,-0.415058
0.576027,-0.076394,0.391448,2.818126,-1.012195,-1.036378,-0.822182,-0.415519,-0.389052
0.640384,-0.103146,0.601536,1.957093,-0.263672,-0.428520,-0.821414,-0.430759,-0.373798
0.629536,-0.080165,0.829585,0.785553,-0.041492,0.046214,-0.821079,-0.437413,-0.366740
0.600529,-0.043242,0.941207,-0.386767,-0.144450,0.397457,-0.822376,-0.436235,-0.365234
0.561309,-0.020081,0.947781,-1.317485,-0.328915,0.662770,-0.825591,-0.428588,-0.367031
0.500533,-0.001063,0.844088,-1.877597,-0.333696,0.852656,-0.830123,-0.416235,-0.371005
0.466586,0.058167,0.644646,-2.104739,-0.065914,0.980461,-0.834704,-0.400971,-0.377480
0.420175,0.100960,0.434630,-2.065989,0.375624,1.070347,-0.838190,-0.384285,-0.386992
0.353674,0.105887,0.269202,-1.878903,0.908408,1.181785,-0.839895,-0.366980,-0.399878
0.292942,0.114757,0.133536,-1.643488,1.393483,1.329446,-0.839665,-0.349162,-0.415992
0.227639,0.107752,0.056297,-1.462655,1.792631,1.469311,-0.837609,-0.330729,-0.434776
0.169526,0.097963,0.004224,-1.382176,2.065816,1.574939,-0.833848,-0.311571,-0.455655
0.102292,0.084994,-0.008900,-1.381216,2.168007,1.615717,-0.828717,-0.291720,-0.477627
0.037629,0.065252,0.008758,-1.438999,2.158828,1.575106,-0.822602,-0.271520,-0.499603
-0.007739,0.046569,0.007835,-1.505375,2.187281,1.518180,-0.815533,-0.251220,-0.521339
-0.030651,0.042537,-0.051051,-1.496418,2.268580,1.497166,-0.807270,-0.230861,-0.543156
-0.068268,0.031642,-0.111897,-1.398218,2.388555,1.465768,-0.797592,-0.210795,-0.565166
-0.111456,0.014925,-0.158264,-1.238701,2.573398,1.394599,-0.786142,-0.191729,-0.587555
