ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.070667,0.097820,-0.398278,-2.134092,-2.270317,-1.054216,-0.090801,0.562138,-0.822044
-0.019709,0.152242,-0.482789,-2.000523,-2.291348,-1.007432,-0.115377,0.578014,-0.807829
0.026783,0.235086,-0.536523,-1.830353,-2.473733,-0.860636,-0.140003,0.592276,-0.793479
0.070601,0.328774,-0.570530,-1.565539,-2.867038,-0.670302,-0.165633,0.604591,-0.779125
0.084182,0.428133,-0.573616,-1.130345,-3.446167,-0.388366,-0.193374,0.614210,-0.765083
0.091356,0.542679,-0.588675,-0.432721,-4.000906,-0.044744,-0.223223,0.619873,-0.752283
-0.023897,0.573529,-0.737837,0.401403,-3.685456,0.101669,-0.252455,0.620075,-0.742815
-0.222540,0.462419,-1.203490,1.078617,-2.306866,0.035525,-0.274607,0.614668,-0.739442
-0.177589,0.368726,-1.585870,1.592453,-0.694512,-0.073403,-0.285882,0.604616,-0.743445
-0.160330,0.361381,-1.625251,2.161760,0.716868,-0.069722,-0.286188,0.590310,-0.754739
-0.193300,0.413616,-1.446624,2.832260,1.893070,0.087910,-0.275999,0.571126,-0.773072
-0.161491,0.473746,-1.153995,3.439118,2.584555,0.362812,-0.256829,0.546884,-0.796842
-0.139566,0.513872,-0.728175,3.918492,2.806192,0.694212,-0.231863,0.518126,-0.823277
-0.151190,0.509928,-0.334215,4.257132,2.784687,1.001036,-0.203973,0.485495,-0.850112
-0.180351,0.453147,-0.023104,4.430491,2.686287,1.203987,-0.174995,0.449792,-0.875822
-0.215566,0.363469,0.235543,4.445142,2.590607,1.268174,-0.146052,0.412090,-0.899361
-0.256847,0.261747,0.454853,4.323245,2.524137,1.189778,-0.117772,0.373537,-0.920108
-0.278418,0.145390,0.635636,4.090225,2.424105,0.979067,-0.090676,0.335323,-0.937729
-0.270930,0.018488,0.825371,3.790050,2.183789,0.632597,-0.066060,0.298483,-0.952126
-0.253968,-0.108812,1.041492,3.455616,1.773481,0.182037,-0.045745,0.263810,-0.963489
-0.226234,-0.224614,1.206039,3.131670,1.331222,-0.283911,-0.030816,0.231740,-0.972290
-0.188928,-0.319323,1.261544,2.828622,1.039999,-0.694111,-0.020407,0.202334,-0.979104
-0.142522,-0.370155,1.242938,2.496012,0.839040,-1.000297,-0.012767,0.175865,-0.984332
-0.106261,-0.332849,1.229939,2.120983,0.632448,-1.164816,-0.007265,0.152841,-0.988224
-0.074041,-0.237101,1.206323,1.746372,0.401309,-1.180028,-0.003794,0.133539,-0.991036
-0.038268,-0.149331,1.167079,1.384514,0.070560,-1.077381,-0.002794,0.117898,-0.993022
-0.017157,-0.071902,1.138159,1.035799,-0.347990,-0.882775,-0.005289,0.105777,-0.994376
-0.005163,-0.017337,1.081371,0.666413,-0.654601,-0.578287,-0.011225,0.097171,-0.995204
-0.008534,0.011072,0.944932,0.163606,-0.617781,-0.248172,-0.018184,0.092841,-0.995515
-0.012465,0.031515,0.773045,-0.574407,-0.405405,0.017078,-0.023439,0.094721,-0.995228
0.004275,0.055878,0.675639,-1.490910,-0.209093,0.199110,-0.026354,0.105026,-0.994120
0.012174,0.067730,0.617443,-2.392277,-0.069621,0.297896,-0.027433,0.124561,-0.991833
-0.001219,0.064121,0.550589,-3.126512,0.010494,0.294063,-0.027238,0.152249,-0.987967
-0.011980,0.059636,0.471707,-3.637049,-0.022852,0.195058,-0.026823,0.185969,-0.982189
-0.023865,0.053458,0.383030,-3.894905,-0.117082,0.034588,-0.027267,0.223229,-0.974385
-0.015825,0.031953,0.264031,-3.881706,-0.200370,-0.152795,-0.028959,0.261306,-0.964822
0.012565,0.001079,0.150612,-3.619586,-0.352828,-0.351293,-0.032280,0.297566,-0.954155
0.025037,0.001924,0.089514,-3.173662,-0.581843,-0.519696,-0.038114,0.329909,-0.943243
0.021945,0.039021,0.053775,-2.649998,-0.822528,-0.631368,-0.046741,0.357143,-0.932880
0.020565,0.093859,0.020263,-2.134085,-1.059236,-0.677601,-0.057964,0.379103,-0.923537
0.029920,0.144215,-0.006961,-1.673852,-1.261367,-0.664779,-0.071347,0.396236,-0.915372
0.034281,0.159393,-0.037028,-1.326116,-1.378462,-0.628200,-0.086115,0.409394,-0.908285
0.032899,0.160630,-0.080376,-1.135377,-1.438197,-0.575286,-0.101472,0.419937,-0.901863
0.032279,0.177701,-0.109818,-1.082896,-1.444006,-0.473911,-0.116782,0.429325,-0.895568
0.028349,0.190778,-0.137779,-1.115932,-1.386751,-0.340864,-0.131300,0.438647,-0.889016
0.013407,0.195528,-0.167185,-1.193185,-1.267119,-0.200634,-0.144358,0.448545,-0.882025
0.001626,0.185935,-0.209552,-1.290365,-1.079915,-0.079699,-0.155388,0.459298,-0.874585
-0.002260,0.165993,-0.256317,-1.379295,-0.860052,0.024576,-0.164015,0.470955,-0.866776
-0.002058,0.154604,-0.288214,-1.422103,-0.673661,0.121405,-0.170275,0.483259,-0.858759
-0.012706,0.154684,-0.288951,-1.396128,-0.561235,0.200221,-0.174764,0.495676,-0.850743
