ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.330456,0.277721,-0.574123,-0.862709,-0.909248,-0.128215,0.497441,0.509907,-0.701817
0.368973,0.330265,-0.639226,-0.453246,-1.188053,-0.065669,0.489593,0.515072,-0.703562
0.414843,0.409986,-0.609643,0.048381,-1.513842,-0.061981,0.479673,0.516833,-0.709082
0.439057,0.499526,-0.572662,0.609071,-1.739597,-0.066198,0.467590,0.514802,-0.718567
0.430355,0.588821,-0.566016,1.231614,-1.837698,-0.057291,0.454197,0.508408,-0.731592
0.410250,0.614412,-0.535563,1.896890,-1.953177,-0.044946,0.439879,0.497007,-0.747991
0.364728,0.578175,-0.412937,2.562576,-2.134663,-0.039020,0.424121,0.480159,-0.767834
0.294828,0.508667,-0.264561,3.136004,-2.295734,-0.039046,0.406557,0.457917,-0.790584
0.219008,0.443196,-0.125722,3.555538,-2.330987,-0.029741,0.387667,0.430949,-0.814860
0.145991,0.364584,0.015474,3.798950,-2.308615,-0.056215,0.368200,0.400430,-0.839097
0.068834,0.245313,0.203291,3.880934,-2.289955,-0.129593,0.348188,0.367801,-0.862257
-0.001144,0.111677,0.401643,3.798189,-2.281107,-0.249151,0.327468,0.334627,-0.883623
-0.081032,-0.026258,0.572669,3.545021,-2.264783,-0.403431,0.305992,0.302579,-0.902671
-0.156966,-0.159994,0.708423,3.141340,-2.209704,-0.560380,0.284071,0.273306,-0.919025
-0.213593,-0.260875,0.792395,2.641495,-2.077660,-0.696261,0.262436,0.248073,-0.932517
-0.260341,-0.330914,0.826975,2.115551,-1.911083,-0.796125,0.241848,0.227521,-0.943262
-0.287921,-0.370982,0.864052,1.611523,-1.755863,-0.857895,0.222552,0.211727,-0.951652
-0.303506,-0.384461,0.911370,1.187657,-1.566324,-0.894606,0.204736,0.200211,-0.958122
-0.316518,-0.371676,0.917473,0.826017,-1.290250,-0.889631,0.189122,0.192279,-0.962944
-0.300084,-0.361667,0.898661,0.481379,-1.020998,-0.837801,0.176320,0.187533,-0.966304
-0.269631,-0.379433,0.914321,0.119210,-0.852690,-0.740412,0.165750,0.185967,-0.968475
-0.253738,-0.403059,0.932608,-0.267403,-0.665144,-0.575440,0.157059,0.187743,-0.969580
-0.234199,-0.396772,0.895934,-0.694495,-0.377866,-0.339803,0.151023,0.193129,-0.969481
-0.214714,-0.354037,0.830602,-1.139066,-0.018478,-0.070226,0.148659,0.202365,-0.967961
-0.201064,-0.290456,0.753587,-1.566816,0.325549,0.175502,0.150329,0.215444,-0.964876
-0.186410,-0.217728,0.648245,-1.933471,0.567905,0.331138,0.155313,0.232041,-0.960226
-0.153751,-0.159181,0.531957,-2.217003,0.684131,0.390647,0.162327,0.251481,-0.954153
-0.106499,-0.106194,0.408730,-2.417432,0.681564,0.328011,0.169884,0.273064,-0.946877
-0.065604,-0.044176,0.288762,-2.560376,0.622671,0.126660,0.176749,0.296282,-0.938604
0.006366,0.031190,0.189739,-2.675684,0.557615,-0.171642,0.182233,0.320921,-0.929409
0.066374,0.118098,0.106904,-2.807580,0.470926,-0.471478,0.185946,0.346990,-0.919251
0.104761,0.205192,0.042164,-2.971200,0.334694,-0.670563,0.187551,0.374627,-0.908008
0.128577,0.294515,-0.040401,-3.081788,0.218521,-0.731537,0.187264,0.403483,-0.895619
0.122256,0.361636,-0.161196,-3.033191,0.132690,-0.690094,0.185835,0.432279,-0.882383
0.108347,0.384239,-0.254202,-2.786851,0.041079,-0.601610,0.183707,0.459221,-0.869119
0.097320,0.382194,-0.306917,-2.383214,-0.055294,-0.510784,0.181015,0.482735,-0.856855
0.065976,0.365350,-0.344382,-1.918023,-0.169875,-0.438505,0.177722,0.502020,-0.846399
0.037597,0.336549,-0.357363,-1.465947,-0.267239,-0.406153,0.173691,0.517074,-0.838132
0.030489,0.298535,-0.373765,-1.090116,-0.381471,-0.404183,0.168883,0.528446,-0.832000
0.022390,0.264712,-0.374801,-0.821415,-0.559444,-0.417815,0.162806,0.537061,-0.827683
-0.001459,0.243002,-0.360316,-0.603084,-0.774998,-0.469792,0.154871,0.543680,-0.824880
-0.024542,0.205997,-0.333591,-0.377325,-0.970683,-0.591996,0.144720,0.548550,-0.823498
-0.026883,0.154358,-0.306572,-0.147596,-1.141213,-0.789489,0.132184,0.551666,-0.823524
-0.015340,0.103337,-0.277077,0.010922,-1.390234,-1.058678,0.116628,0.553325,-0.824760
-0.000936,0.037799,-0.212822,0.040678,-1.648817,-1.347886,0.097264,0.554334,-0.826592
0.004703,-0.001224,-0.175936,-0.053968,-1.808849,-1.582223,0.074597,0.555606,-0.828093
0.011805,-0.009313,-0.176110,-0.231362,-1.862808,-1.722924,0.049947,0.557806,-0.828467
0.023266,-0.003464,-0.185606,-0.430911,-1.869324,-1.773995,0.024586,0.561218,-0.827303
0.058425,0.011262,-0.221471,-0.610738,-2.068474,-1.776630,-0.001724,0.565764,-0.824565
0.087813,0.012625,-0.218613,-0.723335,-2.371071,-1.743872,-0.030165,0.571055,-0.820358
