ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.117147,0.356386,-1.038006,1.328789,1.218449,0.268438,0.361338,-0.056886,-0.930698
0.102250,0.453290,-1.044808,2.058347,1.604214,0.565075,0.374251,-0.074201,-0.924354
0.150771,0.492349,-0.748246,2.743131,1.848381,0.928546,0.389695,-0.099328,-0.915572
0.135033,0.524503,-0.759199,3.282836,1.856926,1.308192,0.405434,-0.131482,-0.904619
0.114566,0.497247,-0.520633,3.679527,1.819652,1.617421,0.419812,-0.169091,-0.891721
0.082818,0.427716,-0.327497,3.935651,1.662730,1.806313,0.432105,-0.210385,-0.876940
0.011071,0.358372,-0.087599,4.149913,1.368251,1.872799,0.441063,-0.253804,-0.860841
-0.102294,0.278235,0.135979,4.318109,1.166436,1.850062,0.446639,-0.298498,-0.843453
-0.230231,0.192714,0.290383,4.278832,1.076189,1.700549,0.450293,-0.342723,-0.824486
-0.308499,0.107107,0.488256,4.024197,0.892857,1.428718,0.452679,-0.383932,-0.804784
-0.345609,0.031766,0.748558,3.656223,0.572930,1.120186,0.453428,-0.420469,-0.785881
-0.365245,-0.032963,0.975744,3.214683,0.218188,0.833420,0.452235,-0.451794,-0.769003
-0.393694,-0.077006,1.104881,2.674653,-0.041508,0.590248,0.449526,-0.477636,-0.754845
-0.415921,-0.068025,1.165136,2.032087,-0.170165,0.378344,0.446317,-0.497588,-0.743780
-0.423357,-0.017569,1.213631,1.364696,-0.245537,0.203861,0.443301,-0.511499,-0.736107
-0.421941,0.026724,1.274451,0.750176,-0.364678,0.076558,0.440389,-0.519903,-0.731955
-0.416351,0.050637,1.339691,0.145868,-0.647077,-0.064150,0.436676,-0.523248,-0.731796
-0.394383,0.031042,1.376753,-0.448141,-0.986149,-0.207190,0.431371,-0.521506,-0.736173
-0.338367,0.026867,1.328206,-1.004345,-1.327234,-0.272725,0.424045,-0.515026,-0.744939
-0.302365,0.071649,1.230601,-1.555025,-1.702889,-0.319135,0.414105,-0.504113,-0.757883
-0.287743,0.072141,1.099248,-2.105408,-1.989635,-0.441081,0.401665,-0.488477,-0.774632
-0.297467,0.019574,0.895435,-2.678566,-2.078936,-0.648203,0.388120,-0.467465,-0.794254
-0.303342,0.002900,0.651623,-3.200503,-1.961780,-0.874309,0.375149,-0.440675,-0.815518
-0.298421,0.018440,0.406550,-3.619066,-1.673367,-1.078421,0.364141,-0.408638,-0.836909
-0.290358,0.031875,0.157750,-3.901630,-1.217987,-1.268212,0.356322,-0.372237,-0.857015
-0.269773,0.071861,-0.108134,-3.962558,-0.547257,-1.370657,0.353284,-0.333122,-0.874197
-0.215212,0.161863,-0.374305,-3.817685,0.117539,-1.324210,0.355730,-0.293730,-0.887231
-0.141767,0.232933,-0.516170,-3.516887,0.607930,-1.189048,0.362576,-0.256202,-0.896046
-0.044351,0.247764,-0.553160,-3.074465,0.845135,-1.029251,0.372003,-0.222252,-0.901232
0.047111,0.242048,-0.513245,-2.584374,0.758404,-0.898992,0.381447,-0.192915,-0.904037
0.112009,0.211581,-0.428012,-2.095336,0.499057,-0.826878,0.388769,-0.168291,-0.905835
0.152159,0.170709,-0.369748,-1.607274,0.207926,-0.820896,0.393312,-0.148202,-0.907382
0.171204,0.129242,-0.324008,-1.187003,-0.115862,-0.830081,0.394897,-0.132218,-0.909162
0.186893,0.093057,-0.266603,-0.883809,-0.418055,-0.799962,0.393475,-0.119561,-0.911528
0.200188,0.080964,-0.224111,-0.708619,-0.662273,-0.747980,0.389336,-0.109269,-0.914592
0.200964,0.084474,-0.231027,-0.609189,-0.736543,-0.670747,0.383524,-0.100450,-0.918052
0.186194,0.112213,-0.302850,-0.531774,-0.656198,-0.533421,0.377633,-0.092865,-0.921287
0.174636,0.140339,-0.348661,-0.488520,-0.552110,-0.375999,0.372422,-0.086445,-0.924029
0.168209,0.131381,-0.352955,-0.464294,-0.396644,-0.229675,0.368244,-0.080874,-0.926205
0.160499,0.119184,-0.358675,-0.410068,-0.197768,-0.093145,0.365579,-0.076200,-0.927656
0.120405,0.109054,-0.346250,-0.341106,0.029879,0.004136,0.364840,-0.072540,-0.928240
0.090400,0.071532,-0.297791,-0.273053,0.183212,0.064741,0.365884,-0.069807,-0.928039
0.077825,0.027840,-0.202517,-0.214665,0.215907,0.097767,0.367762,-0.067834,-0.927442
0.065744,-0.011659,-0.091457,-0.159833,0.128683,0.112712,0.369376,-0.066481,-0.926899
0.055137,-0.032692,0.008672,-0.124417,-0.080739,0.084245,0.369577,-0.065559,-0.926885
0.035452,-0.061123,0.082387,-0.115731,-0.301428,0.004135,0.367746,-0.064625,-0.927678
0.020894,-0.079748,0.090344,-0.159131,-0.435897,-0.078897,0.364253,-0.063243,-0.929150
0.000667,-0.067592,0.052049,-0.271700,-0.461483,-0.141223,0.360066,-0.060856,-0.930940
-0.007778,-0.045109,0.001381,-0.401991,-0.381991,-0.165817,0.356136,-0.057125,-0.932686
-0.002410,-0.018611,-0.059403,-0.486213,-0.223405,-0.138033,0.353362,-0.052358,-0.934020
