ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.452307,0.511455,-1.548049,0.095419,0.923026,-1.060136,-0.523874,-0.072078,-0.848740
-0.465071,0.523897,-1.541440,1.549928,1.878617,-1.101788,-0.511110,-0.084520,-0.855350
-0.471469,0.576515,-1.806873,3.358879,2.860274,-0.970091,-0.489560,-0.110970,-0.864880
-0.405332,0.657908,-1.818530,5.139768,3.765368,-0.616471,-0.459460,-0.152125,-0.875074
-0.327403,0.823550,-1.606581,6.585644,4.503292,-0.111565,-0.422140,-0.205874,-0.882844
-0.334980,1.041947,-1.204133,7.553881,5.034944,0.405597,-0.379986,-0.268464,-0.885177
-0.390469,1.198380,-0.736574,8.041138,5.328773,0.818144,-0.335712,-0.335755,-0.880095
-0.445700,1.228528,-0.287433,8.120437,5.302983,0.993880,-0.292185,-0.404080,-0.866803
-0.488680,1.118447,0.184002,7.916244,4.707418,0.850920,-0.252851,-0.470696,-0.845288
-0.431480,0.861322,0.754383,7.559130,3.581157,0.403366,-0.221230,-0.533929,-0.816074
-0.247696,0.515642,1.256906,7.055022,2.386721,-0.130707,-0.198043,-0.592440,-0.780893
-0.037781,0.212798,1.510072,6.315550,1.398514,-0.510264,-0.181473,-0.644469,-0.742784
0.067407,0.068113,1.598648,5.357731,0.580653,-0.636176,-0.170435,-0.688078,-0.705337
0.063850,0.148933,1.601857,4.354426,0.122875,-0.665672,-0.163567,-0.722771,-0.671453
0.022538,0.289122,1.487633,3.374342,0.095421,-0.652429,-0.158097,-0.749373,-0.642998
-0.028786,0.391789,1.331606,2.422374,0.359492,-0.561827,-0.152077,-0.768727,-0.621233
-0.062256,0.478371,1.223999,1.597607,0.764477,-0.418610,-0.144791,-0.781808,-0.606476
-0.065196,0.537442,1.192703,0.913938,1.112126,-0.264268,-0.136358,-0.789853,-0.597946
-0.056703,0.544450,1.226072,0.278183,1.258659,-0.095138,-0.127730,-0.793672,-0.594786
-0.030238,0.505228,1.271306,-0.419419,1.206553,0.103849,-0.120289,-0.793283,-0.596852
0.015420,0.447163,1.285150,-1.210605,0.997961,0.327225,-0.115289,-0.788136,-0.604607
0.053505,0.389954,1.262185,-2.061904,0.641718,0.514436,-0.113548,-0.777604,-0.618417
0.079649,0.314274,1.219535,-2.929831,0.141275,0.617459,-0.115446,-0.761174,-0.638190
0.095402,0.222677,1.152607,-3.784139,-0.480815,0.646628,-0.121312,-0.738439,-0.663318
0.093787,0.131017,1.069428,-4.577638,-1.176137,0.602715,-0.131537,-0.709081,-0.692749
0.064956,0.078552,0.962891,-5.192361,-1.859031,0.457628,-0.146148,-0.673386,-0.724702
-0.008530,0.077596,0.796255,-5.569807,-2.417582,0.164311,-0.164291,-0.632650,-0.756811
-0.102342,0.095628,0.554922,-5.640587,-2.744365,-0.191782,-0.184401,-0.589005,-0.786809
-0.196444,0.123375,0.288421,-5.491163,-2.809755,-0.520370,-0.204847,-0.544854,-0.813125
-0.253238,0.173595,0.047994,-5.329535,-2.626556,-0.676343,-0.224286,-0.501354,-0.835667
-0.245493,0.276719,-0.109236,-5.306591,-2.262297,-0.625878,-0.241934,-0.457749,-0.855531
-0.175764,0.363719,-0.197977,-5.387440,-1.867829,-0.448830,-0.257479,-0.412624,-0.873754
-0.093076,0.380218,-0.255128,-5.416589,-1.559821,-0.243436,-0.271274,-0.365524,-0.890395
-0.048071,0.371663,-0.339573,-5.233511,-1.379257,-0.071013,-0.283914,-0.317738,-0.904674
-0.045324,0.383556,-0.435071,-4.827824,-1.401833,0.048704,-0.296488,-0.271587,-0.915607
-0.067450,0.382304,-0.480469,-4.263931,-1.542626,0.040419,-0.310266,-0.229319,-0.922577
-0.124681,0.302482,-0.589193,-3.595385,-1.476972,-0.120646,-0.324416,-0.192832,-0.926051
-0.159195,0.195244,-0.782100,-2.879081,-1.139352,-0.321674,-0.336319,-0.163398,-0.927464
-0.151523,0.150158,-0.891382,-2.212286,-0.721626,-0.457010,-0.344403,-0.141033,-0.928168
-0.123174,0.142484,-0.898586,-1.624282,-0.322607,-0.468211,-0.348628,-0.124814,-0.928913
-0.078508,0.143078,-0.841484,-1.153328,0.023487,-0.353919,-0.349471,-0.113385,-0.930061
-0.023210,0.150739,-0.734625,-0.849721,0.231409,-0.138643,-0.347899,-0.104993,-0.931634
0.011223,0.161584,-0.585249,-0.707274,0.278396,0.105635,-0.345421,-0.097817,-0.933336
0.023999,0.148860,-0.452889,-0.630291,0.272168,0.299098,-0.343014,-0.090831,-0.934928
0.025219,0.094252,-0.371863,-0.572042,0.233219,0.402726,-0.340924,-0.083967,-0.936334
0.014035,0.025422,-0.299454,-0.548834,0.165226,0.427968,-0.339383,-0.077271,-0.937469
0.005749,-0.026596,-0.236772,-0.561964,0.126569,0.412689,-0.338345,-0.070618,-0.938369
0.010794,-0.058695,-0.189946,-0.610341,0.104844,0.375124,-0.337515,-0.063757,-0.939158
0.026267,-0.088565,-0.144424,-0.641541,0.094959,0.283844,-0.336814,-0.056653,-0.939865
0.037725,-0.137604,-0.174521,-0.516026,0.106676,0.149204,-0.335958,-0.050339,-0.940531
