ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.127527,0.643197,-0.943333,1.887341,0.378096,0.836155,-0.097861,0.547034,-0.831371
-0.138195,0.659378,-0.931738,2.168593,0.924544,1.106927,-0.087193,0.530853,-0.842966
-0.164127,0.616615,-1.021895,2.478579,1.579395,1.331776,-0.070096,0.512016,-0.856111
-0.172623,0.517660,-1.033395,2.931696,2.178047,1.512603,-0.046539,0.489466,-0.870780
-0.177180,0.441784,-0.929008,3.527195,2.628489,1.699320,-0.017568,0.461490,-0.886971
-0.187264,0.395151,-0.743958,4.131781,3.021543,1.929081,0.015969,0.426963,-0.904128
-0.237118,0.361664,-0.552609,4.587854,3.418038,2.108073,0.053844,0.386093,-0.920887
-0.339220,0.311871,-0.331048,4.803781,3.733192,2.089362,0.095049,0.340534,-0.935416
-0.442196,0.231553,-0.034058,4.844189,3.750394,1.820933,0.137050,0.292495,-0.946395
-0.520289,0.130096,0.371521,4.787117,3.215315,1.276209,0.174876,0.243958,-0.953888
-0.529574,-0.032860,0.822534,4.656413,2.328732,0.576831,0.203753,0.196724,-0.959054
-0.433056,-0.192013,1.104924,4.488267,1.315287,-0.043576,0.221829,0.151973,-0.963170
-0.313650,-0.251123,1.239068,4.277696,0.434948,-0.427887,0.229803,0.109979,-0.967003
-0.235458,-0.225500,1.251027,3.986567,-0.044665,-0.591604,0.230927,0.070867,-0.970387
-0.206897,-0.168242,1.183167,3.576628,-0.096751,-0.590905,0.229694,0.035216,-0.972626
-0.198340,-0.123036,1.121243,3.024168,0.103027,-0.484726,0.229529,0.004078,-0.973293
-0.173638,-0.102473,1.107483,2.359126,0.406385,-0.327696,0.232033,-0.021352,-0.972474
-0.142661,-0.091951,1.119608,1.660465,0.635414,-0.129674,0.237311,-0.040464,-0.970591
-0.117475,-0.070099,1.175507,0.914660,0.512295,0.069660,0.243223,-0.052994,-0.968522
-0.077576,-0.037760,1.326974,0.069480,-0.102011,0.180217,0.245392,-0.058203,-0.967675
-0.054408,-0.047038,1.488911,-0.918406,-0.906674,0.128834,0.240351,-0.054571,-0.969151
-0.054627,-0.108481,1.462521,-2.022971,-1.463835,-0.034088,0.228531,-0.040384,-0.972699
-0.076813,-0.133473,1.236043,-3.140108,-1.536884,-0.247845,0.213456,-0.014720,-0.976842
-0.164150,-0.123972,0.863651,-4.147481,-0.980856,-0.505885,0.200710,0.021998,-0.979404
-0.210848,-0.107702,0.466212,-4.948198,-0.119245,-0.766488,0.194964,0.068228,-0.978435
-0.169164,-0.041810,0.166200,-5.316277,0.601360,-0.979837,0.196691,0.120697,-0.973008
-0.097337,0.080624,-0.029278,-5.045303,0.871203,-1.043589,0.202669,0.173618,-0.963733
-0.000080,0.221339,-0.132336,-4.211779,0.654266,-0.939439,0.208286,0.220586,-0.952869
0.102017,0.341642,-0.156166,-3.064886,0.083552,-0.765034,0.209933,0.257159,-0.943291
0.182383,0.410910,-0.145672,-1.973076,-0.656419,-0.597455,0.205388,0.282266,-0.937092
0.207547,0.438286,-0.184362,-1.189740,-1.227241,-0.478471,0.194782,0.298027,-0.934473
0.188581,0.440460,-0.311090,-0.700307,-1.386519,-0.399926,0.180880,0.307602,-0.934165
0.128867,0.398163,-0.492206,-0.422509,-1.115443,-0.325931,0.167794,0.313415,-0.934674
0.098581,0.319696,-0.654385,-0.291856,-0.497929,-0.231180,0.159109,0.317175,-0.934925
0.087557,0.260255,-0.786276,-0.216729,0.313027,-0.075335,0.157743,0.319808,-0.934259
0.092450,0.229667,-0.798585,-0.144296,0.967260,0.139108,0.163974,0.321465,-0.932616
0.115608,0.189309,-0.673179,-0.046376,1.393123,0.386536,0.176018,0.321922,-0.930260
0.119135,0.146117,-0.518536,0.043527,1.537360,0.593203,0.191488,0.320985,-0.927524
0.083265,0.109448,-0.328902,0.072919,1.419350,0.664199,0.207445,0.319126,-0.924730
0.047428,0.062206,-0.164656,0.038025,1.137590,0.595745,0.221402,0.317203,-0.922151
0.015685,0.008308,-0.064538,-0.041463,0.832921,0.433144,0.232148,0.316017,-0.919913
-0.001480,-0.042223,-0.034068,-0.125982,0.578263,0.250629,0.239730,0.315997,-0.917974
0.002207,-0.076182,-0.039465,-0.168807,0.387473,0.091132,0.244665,0.316981,-0.916331
0.004440,-0.088605,-0.066244,-0.161021,0.299620,-0.015657,0.247879,0.318448,-0.914957
0.009614,-0.080141,-0.090344,-0.124772,0.267515,-0.055287,0.250334,0.319872,-0.913791
0.008260,-0.064834,-0.090911,-0.104643,0.356358,-0.056403,0.252894,0.321044,-0.912675
-0.015731,-0.064504,-0.120667,-0.140032,0.566162,-0.043504,0.256957,0.322240,-0.911117
-0.049365,-0.059832,-0.119626,-0.273215,0.732155,-0.034104,0.262820,0.324175,-0.908755
-0.048396,-0.055629,-0.062480,-0.468943,0.783929,-0.023098,0.269725,0.327616,-0.905492
-0.060929,-0.051381,0.002706,-0.703468,0.669312,-0.044049,0.276291,0.332998,-0.901541
