ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.169934,0.127690,-0.340250,-2.151755,0.748952,0.323735,0.450077,-0.326756,-0.831061
0.182835,0.138336,-0.349691,-2.085186,0.468424,0.367983,0.454082,-0.310531,-0.835092
0.195372,0.126917,-0.352525,-1.902249,0.210799,0.383676,0.455751,-0.295404,-0.839659
0.198617,0.114973,-0.370391,-1.640608,0.065540,0.380524,0.455756,-0.282133,-0.844208
0.181562,0.106830,-0.406864,-1.353640,-0.013868,0.359133,0.454928,-0.271091,-0.848263
0.140525,0.073886,-0.404021,-1.088797,-0.086022,0.328516,0.453576,-0.262241,-0.851762
0.104807,0.044204,-0.362051,-0.879680,-0.165270,0.301001,0.451681,-0.255264,-0.854883
0.076965,0.020367,-0.308172,-0.768957,-0.236537,0.268841,0.449219,-0.249509,-0.857874
0.061220,0.001601,-0.260809,-0.754170,-0.295249,0.232280,0.446288,-0.244093,-0.860956
0.049523,-0.018534,-0.209648,-0.795908,-0.336148,0.196919,0.443015,-0.238348,-0.864250
0.018867,-0.047627,-0.166700,-0.896155,-0.332311,0.182068,0.439629,-0.231853,-0.867739
-0.009893,-0.077995,-0.150689,-1.045891,-0.304301,0.197942,0.436437,-0.224175,-0.871360
-0.033940,-0.091269,-0.158972,-1.116194,-0.241002,0.256828,0.433507,-0.215601,-0.874979
-0.017488,-0.073832,-0.216638,-1.049639,-0.110725,0.260211,0.431352,-0.207113,-0.878089
0.043982,-0.060005,-0.321532,-0.818752,0.069520,0.202257,0.430719,-0.199776,-0.880097
0.059053,-0.057801,-0.453283,-0.474211,0.209583,0.165932,0.431609,-0.194793,-0.880778
0.048899,-0.030099,-0.582822,-0.083761,0.331816,0.130829,0.433751,-0.192954,-0.880130
0.062658,0.034169,-0.741334,0.347960,0.330082,0.011631,0.436610,-0.194447,-0.878386
0.064794,0.087122,-0.883463,0.831391,0.183213,-0.233530,0.439158,-0.199152,-0.876059
0.114045,0.149164,-1.049798,1.477923,-0.207318,-0.554152,0.440032,-0.207437,-0.873694
0.216597,0.248070,-1.159799,2.359578,-0.917499,-0.832661,0.436769,-0.221078,-0.871985
0.307421,0.322255,-1.177202,3.399545,-1.734731,-0.969851,0.427228,-0.242284,-0.871077
0.386662,0.363215,-1.189158,4.513085,-2.419889,-0.946923,0.411434,-0.272822,-0.869650
0.379771,0.371742,-1.148417,5.530778,-2.855629,-0.789746,0.390844,-0.313209,-0.865530
0.335050,0.389286,-1.001820,6.300689,-3.117269,-0.600529,0.367251,-0.361988,-0.856792
0.304674,0.442002,-0.735265,6.717956,-3.332685,-0.511166,0.341796,-0.415894,-0.842738
0.274984,0.459525,-0.383013,6.722916,-3.446867,-0.543349,0.315592,-0.470740,-0.823896
0.232261,0.427234,-0.024472,6.309739,-3.254413,-0.659420,0.290947,-0.522419,-0.801516
0.153970,0.367401,0.347235,5.513339,-2.530882,-0.754169,0.271613,-0.567536,-0.777258
0.028636,0.282064,0.643321,4.502126,-1.464276,-0.736623,0.260594,-0.604086,-0.753108
-0.056654,0.135165,0.840489,3.627675,-0.601647,-0.621559,0.257384,-0.632602,-0.730458
-0.120630,0.099869,1.122290,2.778417,-0.195568,-0.420613,0.257974,-0.654389,-0.710791
-0.105885,0.241177,1.314599,2.103799,0.069980,-0.201391,0.259648,-0.670727,-0.694772
-0.084795,0.181077,1.319459,1.619661,0.167332,-0.051759,0.261370,-0.683259,-0.681794
-0.099337,0.120564,1.359143,1.089493,0.168185,0.088863,0.262438,-0.692570,-0.671918
-0.091640,0.198707,1.365481,0.445469,0.075280,0.217720,0.262202,-0.698188,-0.666171
-0.095558,0.227717,1.384962,-0.245154,-0.042515,0.295061,0.260475,-0.699565,-0.665404
-0.099463,0.218118,1.370494,-1.026025,-0.132637,0.324466,0.257697,-0.696146,-0.670055
-0.094994,0.218548,1.314785,-1.853976,-0.229395,0.356735,0.254112,-0.687237,-0.680539
-0.064958,0.238132,1.251547,-2.677512,-0.283093,0.427179,0.249635,-0.672519,-0.696707
-0.015585,0.257734,1.142780,-3.442773,-0.231811,0.528361,0.244589,-0.651899,-0.717777
0.019126,0.257408,0.999040,-4.135462,-0.064112,0.673363,0.239602,-0.625481,-0.742539
0.032311,0.267154,0.828727,-4.685054,0.214464,0.867013,0.235435,-0.593677,-0.769492
0.040087,0.289628,0.633211,-5.000222,0.579852,1.077957,0.232878,-0.557695,-0.796709
0.073204,0.291508,0.428655,-5.086319,1.027348,1.261944,0.233056,-0.519261,-0.822225
0.104305,0.304874,0.209230,-4.953098,1.448099,1.381887,0.236805,-0.480197,-0.844591
0.121063,0.307348,0.024365,-4.639562,1.784719,1.401415,0.244263,-0.442312,-0.862957
0.134957,0.288354,-0.116195,-4.265242,2.017694,1.348678,0.255088,-0.406793,-0.877183
0.120151,0.266722,-0.219933,-3.943398,2.090185,1.267991,0.268307,-0.373869,-0.887825
0.083157,0.230864,-0.262426,-3.763607,1.992971,1.196643,0.282230,-0.342772,-0.896021
