ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.008941,-0.029033,-0.005522,0.143868,-0.978937,-0.321055,0.252931,0.039149,-0.966692
0.005236,-0.036622,-0.014713,0.006308,-0.725046,-0.289052,0.244520,0.039155,-0.968853
-0.003202,-0.020621,0.002466,-0.175875,-0.566563,-0.265392,0.238218,0.040625,-0.970362
0.008750,-0.031493,0.044861,-0.337698,-0.548984,-0.247085,0.232720,0.043776,-0.971558
0.015720,-0.037397,0.083319,-0.421987,-0.642181,-0.243259,0.226864,0.048094,-0.972738
0.008061,-0.019222,0.118508,-0.465065,-0.854422,-0.284066,0.219478,0.053035,-0.974175
0.009733,-0.008862,0.154141,-0.491327,-1.161496,-0.333904,0.209460,0.058407,-0.976071
0.024390,-0.019538,0.172034,-0.516957,-1.500167,-0.381068,0.196160,0.064078,-0.978476
0.033567,-0.025245,0.176232,-0.595660,-1.858761,-0.428506,0.179354,0.070289,-0.981270
0.050916,-0.020583,0.170828,-0.720417,-2.222306,-0.443027,0.158816,0.077544,-0.984258
0.078154,-0.014373,0.119576,-0.816806,-2.522065,-0.411631,0.134950,0.085815,-0.987129
0.090920,0.015603,0.056439,-0.930094,-2.894827,-0.394373,0.107719,0.094963,-0.989636
0.070833,0.053299,0.008820,-1.082122,-3.223177,-0.423960,0.076735,0.105347,-0.991471
0.047516,0.066282,-0.114693,-1.312269,-3.468655,-0.475829,0.042877,0.117480,-0.992149
0.025750,0.093198,-0.234833,-1.597384,-3.820665,-0.567772,0.005912,0.132159,-0.991211
0.006684,0.132817,-0.398684,-1.656992,-4.106088,-0.684609,-0.034546,0.148494,-0.988310
-0.051963,0.220365,-0.699940,-1.302087,-4.101579,-0.834419,-0.076669,0.163027,-0.983638
-0.134661,0.315137,-1.118457,-0.436047,-3.530527,-0.988206,-0.116285,0.171054,-0.978375
-0.152524,0.338469,-1.616596,0.914849,-2.345027,-1.008522,-0.147189,0.167604,-0.974805
-0.140301,0.394959,-1.941237,2.439332,-0.832832,-0.844057,-0.164371,0.149673,-0.974977
-0.106501,0.494481,-1.972533,3.776509,0.586596,-0.499838,-0.166265,0.117793,-0.979020
-0.061968,0.593373,-1.676997,4.680222,1.557728,-0.042393,-0.155713,0.075283,-0.984929
-0.049665,0.682544,-1.154922,5.099610,2.223847,0.411502,-0.136721,0.026700,-0.990250
-0.095608,0.677124,-0.647284,5.099990,2.647543,0.677037,-0.112201,-0.023727,-0.993402
-0.159185,0.554907,-0.137400,4.751187,2.502387,0.698326,-0.086360,-0.072439,-0.993627
-0.172051,0.345094,0.429993,4.203451,1.886638,0.479805,-0.064811,-0.116761,-0.991043
-0.145351,0.109998,0.908147,3.545291,1.021081,0.090115,-0.050648,-0.155149,-0.986592
-0.104386,-0.094908,1.157230,2.934008,0.278781,-0.322338,-0.044220,-0.187196,-0.981327
-0.052598,-0.189148,1.187371,2.446791,-0.011380,-0.584362,-0.042297,-0.213806,-0.975960
-0.028122,-0.134203,1.073670,2.022990,0.308894,-0.602773,-0.039856,-0.235884,-0.970964
-0.005084,0.002029,0.933775,1.556891,1.014834,-0.385858,-0.032239,-0.253570,-0.966780
0.032203,0.116458,0.927739,0.978912,1.644696,-0.066402,-0.018608,-0.265994,-0.963795
0.072969,0.126923,1.077867,0.319928,1.998355,0.258536,-0.001054,-0.272324,-0.962205
0.081892,0.099454,1.267936,-0.384073,2.035254,0.491875,0.017611,-0.272061,-0.962119
0.072642,0.017621,1.437925,-1.070996,1.735820,0.586615,0.034597,-0.265134,-0.963591
0.044057,-0.093694,1.571668,-1.693616,1.092416,0.500224,0.047069,-0.251887,-0.966611
0.011657,-0.175788,1.620828,-2.192656,0.265648,0.290700,0.052735,-0.233056,-0.971032
-0.015373,-0.196049,1.535755,-2.507922,-0.480917,0.077017,0.051201,-0.210033,-0.976353
-0.050941,-0.151199,1.333073,-2.733134,-1.132627,-0.093301,0.043220,-0.184204,-0.981937
-0.065740,-0.068967,1.106717,-2.928110,-1.679866,-0.175884,0.029454,-0.156100,-0.987302
-0.082589,0.044359,0.852473,-3.082890,-2.032562,-0.192324,0.011071,-0.126116,-0.991954
-0.103971,0.151724,0.563266,-3.184874,-2.047167,-0.153236,-0.009341,-0.094763,-0.995456
-0.122357,0.257201,0.252808,-3.267454,-1.818719,-0.082003,-0.028721,-0.062437,-0.997636
-0.116549,0.306788,-0.005946,-3.337062,-1.501072,-0.037529,-0.045392,-0.029277,-0.998540
-0.093542,0.285082,-0.198998,-3.331761,-1.148158,-0.005283,-0.058680,0.004270,-0.998268
-0.072476,0.260783,-0.361409,-3.161631,-0.829952,0.003300,-0.068591,0.036993,-0.996959
-0.054314,0.232692,-0.503121,-2.760531,-0.540819,0.013997,-0.075447,0.066792,-0.994910
-0.054092,0.243181,-0.630945,-2.201971,-0.258626,0.041927,-0.079377,0.091673,-0.992620
-0.031398,0.270492,-0.698169,-1.625545,-0.109353,0.084301,-0.081029,0.110780,-0.990536
-0.005740,0.259756,-0.664927,-1.147653,-0.106972,0.115463,-0.081937,0.124582,-0.988820
