ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.129448,-0.072250,-0.014116,-0.476892,-0.276970,-0.876767,-0.761513,0.247665,-0.598967
-0.118249,-0.092490,-0.009466,-0.547518,-0.344260,-1.067919,-0.765784,0.243292,-0.595301
-0.087982,-0.107771,-0.029348,-0.615014,-0.414041,-1.267407,-0.770859,0.237730,-0.590983
-0.063240,-0.084543,-0.038719,-0.677707,-0.519256,-1.467465,-0.776833,0.230921,-0.585839
-0.052395,-0.034960,-0.037713,-0.714224,-0.660245,-1.673901,-0.783863,0.222689,-0.579627
-0.034959,0.016070,-0.049079,-0.704491,-0.867174,-1.894595,-0.792159,0.212674,-0.572061
-0.018773,0.055422,-0.063005,-0.642211,-1.133251,-2.153486,-0.802058,0.200361,-0.562636
-0.006088,0.096129,-0.111561,-0.468243,-1.357367,-2.460533,-0.813537,0.184785,-0.551372
0.002648,0.171440,-0.220596,-0.135184,-1.493363,-2.762446,-0.825982,0.164971,-0.539017
-0.011156,0.275845,-0.365004,0.449384,-1.605409,-3.040711,-0.838743,0.139911,-0.526246
-0.036614,0.345738,-0.534418,1.357038,-1.634353,-3.222727,-0.851203,0.108593,-0.513479
-0.051056,0.406629,-0.707607,2.461412,-1.592823,-3.254280,-0.862381,0.070910,-0.501270
-0.015022,0.499321,-0.877691,3.763653,-1.460497,-3.092984,-0.871651,0.027687,-0.489344
0.026381,0.601704,-1.003977,5.246658,-0.986192,-2.693871,-0.877852,-0.019826,-0.478522
0.075792,0.702641,-1.052724,6.660568,-0.189501,-1.985661,-0.879686,-0.069157,-0.470500
0.153841,0.828018,-0.971226,7.653311,0.603277,-1.048484,-0.877260,-0.116501,-0.465664
0.234937,0.926087,-0.747972,8.093235,1.167953,-0.047520,-0.872327,-0.158218,-0.462615
0.223681,0.960739,-0.396575,8.101166,1.626792,0.863594,-0.866579,-0.192276,-0.460511
0.112037,0.932927,0.006408,7.730561,1.858341,1.595213,-0.860984,-0.218221,-0.459441
0.006948,0.852340,0.514140,6.901163,1.585230,2.052061,-0.857077,-0.236206,-0.457850
-0.012902,0.667848,1.096564,5.528414,0.674620,2.148823,-0.856925,-0.246537,-0.452658
0.013718,0.322836,1.568793,3.740942,-0.373042,1.917892,-0.861420,-0.249792,-0.442221
0.045367,-0.062890,1.672675,1.867866,-0.929065,1.507129,-0.868762,-0.247108,-0.429175
0.037709,-0.336272,1.463569,0.228071,-0.821568,1.058344,-0.875783,-0.240236,-0.418677
-0.013684,-0.490912,1.155579,-1.052875,-0.370096,0.620050,-0.880313,-0.231027,-0.414338
-0.049927,-0.543191,0.922357,-1.964215,0.203046,0.272744,-0.881683,-0.220755,-0.417016
-0.047166,-0.468504,0.735926,-2.568651,0.865214,0.074258,-0.879790,-0.209628,-0.426645
-0.003879,-0.339140,0.568334,-2.930651,1.511921,0.016069,-0.874630,-0.197221,-0.442861
0.052428,-0.221351,0.479421,-3.113313,1.957654,0.058904,-0.866714,-0.183114,-0.463979
0.097713,-0.130563,0.473082,-3.178225,2.176404,0.156522,-0.856944,-0.167121,-0.487563
0.143031,-0.064822,0.479009,-3.166159,2.181843,0.267284,-0.846263,-0.149350,-0.511404
0.172885,-0.021201,0.494099,-3.110127,2.012922,0.366223,-0.835650,-0.130151,-0.533619
0.185726,-0.003710,0.485519,-3.036121,1.796151,0.444690,-0.825725,-0.109953,-0.553253
0.200662,0.003569,0.441670,-2.981825,1.552762,0.493956,-0.816721,-0.089064,-0.570118
0.207574,0.013570,0.404282,-2.955895,1.234507,0.515192,-0.809014,-0.067693,-0.583878
0.197511,0.020313,0.378906,-2.928805,0.873822,0.502116,-0.803056,-0.046116,-0.594116
0.169010,0.028701,0.317209,-2.873188,0.540504,0.485728,-0.798999,-0.024704,-0.600824
0.124220,0.045549,0.223262,-2.796676,0.276198,0.471021,-0.796630,-0.003679,-0.604457
0.083687,0.073745,0.133902,-2.722883,0.066429,0.440101,-0.795571,0.016786,-0.605628
0.041640,0.112308,0.068755,-2.647780,-0.127354,0.368921,-0.795653,0.036388,-0.604659
0.007860,0.119192,0.017829,-2.533930,-0.303799,0.273973,-0.796830,0.054697,-0.601722
-0.016331,0.105313,-0.036456,-2.407623,-0.414853,0.191255,-0.798885,0.071445,-0.597226
-0.047328,0.115673,-0.093401,-2.309969,-0.422520,0.142252,-0.801305,0.086857,-0.591917
-0.071414,0.142568,-0.153814,-2.250510,-0.303772,0.123700,-0.803387,0.101420,-0.586756
-0.076384,0.141376,-0.222167,-2.212890,-0.023002,0.124487,-0.804277,0.115521,-0.582918
-0.068341,0.112167,-0.299229,-2.174686,0.369740,0.146834,-0.803119,0.129456,-0.581584
-0.041744,0.093930,-0.334558,-2.130465,0.746161,0.185917,-0.799595,0.143405,-0.583166
-0.026251,0.107914,-0.315453,-2.061114,0.974459,0.222321,-0.794153,0.157391,-0.586983
-0.031607,0.141484,-0.257515,-1.910637,1.020341,0.240568,-0.787805,0.171046,-0.591697
-0.035726,0.142958,-0.211463,-1.672537,0.946401,0.237749,-0.781474,0.183672,-0.596292
