ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.049659,0.262279,-0.256491,0.532086,0.097104,0.912329,0.542625,0.133717,-0.829264
-0.047983,0.270442,-0.225267,0.909517,-0.124313,0.781291,0.543619,0.122975,-0.830275
-0.051196,0.242659,-0.240331,1.121614,-0.300329,0.627289,0.542651,0.110551,-0.832651
-0.052189,0.194324,-0.260384,1.239313,-0.449358,0.443503,0.540074,0.097683,-0.835930
-0.040142,0.157558,-0.254941,1.313076,-0.623969,0.253572,0.535885,0.085026,-0.839999
-0.046558,0.124687,-0.227053,1.366806,-0.816186,0.082943,0.529941,0.072762,-0.844907
-0.038607,0.113747,-0.196330,1.393904,-1.106172,-0.030053,0.521822,0.060859,-0.850881
-0.017076,0.109232,-0.152741,1.402783,-1.500135,-0.104391,0.510621,0.049185,-0.858398
-0.009018,0.082785,-0.108983,1.405064,-1.872182,-0.186487,0.495865,0.037729,-0.867580
0.004735,0.062686,-0.101992,1.426587,-2.131287,-0.263533,0.478175,0.026440,-0.877866
0.038493,0.070182,-0.145857,1.511701,-2.338244,-0.313439,0.458242,0.014779,-0.888705
0.060985,0.062251,-0.170162,1.669121,-2.549846,-0.328921,0.436269,0.001989,-0.899814
0.099164,0.069514,-0.214329,1.937659,-2.898096,-0.306037,0.411578,-0.013011,-0.911282
0.140449,0.072991,-0.249566,2.317557,-3.397511,-0.305878,0.382684,-0.031365,-0.923347
0.185175,0.079360,-0.265366,2.818928,-4.072031,-0.384624,0.348013,-0.054091,-0.935928
0.238785,0.094345,-0.238768,3.416606,-4.850111,-0.600865,0.306060,-0.082016,-0.948473
0.271157,0.126967,-0.181431,4.092113,-5.473571,-0.861849,0.257041,-0.115920,-0.959423
0.332051,0.215777,-0.286689,4.882246,-5.728408,-1.009571,0.203883,-0.157138,-0.966302
0.453519,0.307483,-0.514592,5.756053,-5.725733,-1.029387,0.149951,-0.207019,-0.966777
0.524084,0.389491,-0.610092,6.615716,-5.715354,-1.049766,0.096995,-0.265743,-0.959152
0.502546,0.495737,-0.504410,7.297933,-5.791702,-1.256378,0.045397,-0.331659,-0.942306
0.408080,0.562673,-0.263010,7.610942,-5.808126,-1.546461,-0.003753,-0.401357,-0.915914
0.292532,0.566919,-0.118569,7.459906,-5.651039,-1.691879,-0.048452,-0.470194,-0.881232
0.140888,0.559626,-0.033867,6.955143,-5.377189,-1.642653,-0.087894,-0.533976,-0.840919
0.078292,0.468935,0.089635,6.241663,-4.742786,-1.447800,-0.121047,-0.590074,-0.798223
0.086941,0.264530,0.027558,5.610081,-3.934570,-1.245465,-0.146664,-0.638095,-0.755860
0.094576,0.092927,0.053967,5.224266,-3.342049,-1.115655,-0.165636,-0.679918,-0.714337
0.125228,0.031672,0.225134,4.915109,-2.929120,-0.943113,-0.180221,-0.717112,-0.673254
0.139935,0.036050,0.292297,4.527040,-2.529618,-0.669193,-0.192181,-0.749703,-0.633255
0.133996,0.071009,0.296769,4.063885,-2.124900,-0.323565,-0.202767,-0.777247,-0.595628
0.129265,0.084804,0.334827,3.605133,-1.745458,-0.075546,-0.212517,-0.799938,-0.561191
0.121212,0.006379,0.410777,3.141990,-1.440433,0.008369,-0.221005,-0.818528,-0.530254
0.122137,-0.037044,0.481409,2.640138,-1.223017,0.037560,-0.228094,-0.833516,-0.503214
0.111551,-0.009200,0.529534,2.104961,-1.045192,0.065208,-0.234140,-0.845140,-0.480538
0.109023,0.025822,0.553216,1.576464,-0.835287,0.096167,-0.239303,-0.853672,-0.462578
0.129230,0.028194,0.563290,1.070489,-0.561214,0.149315,-0.243564,-0.859447,-0.449475
0.118982,-0.013975,0.573013,0.542841,-0.213806,0.259038,-0.247049,-0.862582,-0.441497
0.091949,-0.037677,0.564725,-0.029071,0.188977,0.413772,-0.250015,-0.862897,-0.439206
0.092575,-0.023111,0.539535,-0.596292,0.582404,0.585475,-0.252625,-0.860236,-0.442916
0.096656,-0.022325,0.519463,-1.100277,0.907627,0.738068,-0.254966,-0.854704,-0.452187
0.095327,-0.034037,0.506532,-1.534957,1.164072,0.840446,-0.256933,-0.846563,-0.466172
0.098333,-0.026693,0.480851,-1.933524,1.355561,0.898527,-0.258276,-0.836009,-0.484131
0.092574,-0.017216,0.454504,-2.320667,1.515855,0.941493,-0.258803,-0.823024,-0.505621
0.068172,-0.003805,0.415358,-2.693142,1.684049,0.989002,-0.258388,-0.807444,-0.530348
0.044896,0.006361,0.370177,-3.032177,1.890945,1.052153,-0.256825,-0.789122,-0.557967
0.029520,0.005468,0.310507,-3.342433,2.169219,1.127533,-0.253672,-0.767935,-0.588155
-0.000805,-0.005019,0.221402,-3.586302,2.438901,1.166493,-0.248402,-0.743944,-0.620358
-0.007555,-0.007472,0.167318,-3.748593,2.636201,1.138768,-0.240599,-0.717565,-0.653615
-0.005803,0.001404,0.143074,-3.842719,2.702747,1.059022,-0.230342,-0.689346,-0.686836
-0.011762,0.001509,0.153292,-3.907551,2.672387,0.928039,-0.218081,-0.659697,-0.719194
