ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.082352,-0.000048,-0.116580,-0.071975,0.244201,-0.740712,-0.597016,0.391649,-0.700131
-0.095372,-0.006102,-0.094390,-0.058337,0.281671,-0.765008,-0.598140,0.387556,-0.701448
-0.094559,-0.001948,-0.092802,-0.084202,0.331303,-0.775198,-0.598952,0.383402,-0.703035
-0.059054,-0.014435,-0.088065,-0.138010,0.336186,-0.777891,-0.599546,0.379501,-0.704644
-0.028275,-0.011884,-0.071786,-0.190514,0.288959,-0.759502,-0.600234,0.376020,-0.705924
-0.012793,0.012629,-0.054394,-0.229878,0.230140,-0.718071,-0.601190,0.373052,-0.706684
-0.003643,0.042965,-0.056943,-0.255179,0.191855,-0.679418,-0.602299,0.370564,-0.707049
-0.003520,0.085817,-0.091993,-0.257188,0.133604,-0.681485,-0.603642,0.368285,-0.707094
-0.029515,0.149756,-0.139420,-0.188918,0.056415,-0.698730,-0.605525,0.365716,-0.706818
-0.054639,0.211849,-0.213551,-0.002935,0.046936,-0.681238,-0.607745,0.362232,-0.706707
-0.061674,0.266497,-0.308551,0.295701,0.197002,-0.621106,-0.609331,0.357237,-0.707882
-0.071766,0.331239,-0.458516,0.677401,0.562497,-0.494595,-0.608715,0.350340,-0.711848
-0.111304,0.441403,-0.654011,1.150559,1.142882,-0.297921,-0.604074,0.341388,-0.720104
-0.177177,0.596842,-0.914338,1.828259,1.954589,-0.078286,-0.593453,0.329473,-0.734344
-0.225253,0.751652,-1.207931,2.895235,2.761112,0.211165,-0.575529,0.312343,-0.755784
-0.262762,0.880594,-1.308927,4.387592,3.352434,0.569439,-0.550547,0.286490,-0.784106
-0.262624,0.978518,-1.203115,6.095324,3.568486,0.989875,-0.520396,0.248456,-0.816980
-0.246809,1.077439,-0.905622,7.640816,3.422801,1.453989,-0.488192,0.196822,-0.850253
-0.258726,1.156607,-0.507533,8.684409,3.091415,1.845118,-0.457064,0.133325,-0.879384
-0.287255,1.154080,-0.147984,9.120937,2.786110,2.101622,-0.428855,0.062030,-0.901241
-0.338367,1.030517,0.131099,8.982974,2.533051,2.156241,-0.403958,-0.012024,-0.914699
-0.385907,0.776786,0.434730,8.385613,2.104462,1.888626,-0.383426,-0.084312,-0.919715
-0.383706,0.419838,0.804592,7.401260,1.471931,1.216458,-0.368674,-0.151528,-0.917125
-0.299150,-0.000454,1.144015,6.075099,0.856526,0.287365,-0.359358,-0.210819,-0.909075
-0.091885,-0.381313,1.350725,4.569777,0.223558,-0.576617,-0.353992,-0.259801,-0.898439
0.094536,-0.593511,1.483901,3.157401,-0.428168,-1.080451,-0.352562,-0.297373,-0.887282
0.181537,-0.561717,1.516533,2.061884,-0.748385,-1.144272,-0.354495,-0.324376,-0.876991
0.187656,-0.384272,1.390574,1.249044,-0.567337,-0.890792,-0.357044,-0.342504,-0.869028
0.161155,-0.219338,1.229283,0.536103,-0.116981,-0.485006,-0.357688,-0.352775,-0.864644
0.138343,-0.121311,1.149314,-0.209889,0.484876,-0.098079,-0.355186,-0.355252,-0.864661
0.104845,-0.089346,1.063594,-0.988001,1.238519,0.156332,-0.347841,-0.349878,-0.869823
0.060262,-0.116584,0.983841,-1.701545,1.941950,0.236201,-0.334463,-0.337274,-0.879989
0.034268,-0.175874,0.981155,-2.298896,2.358461,0.222310,-0.315838,-0.318603,-0.893722
0.051298,-0.210356,1.044217,-2.808116,2.384443,0.185085,-0.294768,-0.294786,-0.908963
0.074686,-0.170633,1.109631,-3.275596,2.099983,0.164474,-0.274454,-0.266242,-0.924008
0.082119,-0.089419,1.113274,-3.754710,1.648587,0.151315,-0.257244,-0.232907,-0.937859
0.088497,-0.015458,1.046031,-4.257205,1.129996,0.108434,-0.244335,-0.194533,-0.949977
0.097890,0.022950,0.933529,-4.725604,0.613478,-0.003056,-0.236089,-0.151200,-0.959896
0.086466,0.042093,0.783605,-5.070760,0.192270,-0.194817,-0.232142,-0.103845,-0.967123
0.048317,0.054591,0.592250,-5.241213,-0.112939,-0.461038,-0.231560,-0.054209,-0.971309
0.021785,0.076798,0.396458,-5.230340,-0.329561,-0.753146,-0.233592,-0.004334,-0.972325
-0.002966,0.140940,0.223569,-5.045891,-0.521480,-1.008941,-0.237940,0.043874,-0.970288
-0.034420,0.228076,0.101060,-4.718011,-0.672798,-1.201007,-0.244556,0.088788,-0.965562
-0.062397,0.298706,-0.012865,-4.298822,-0.758648,-1.319033,-0.252895,0.129303,-0.958814
-0.050624,0.344792,-0.126226,-3.810718,-0.842418,-1.315240,-0.262533,0.164836,-0.950740
-0.022345,0.370144,-0.190896,-3.279161,-0.954260,-1.182815,-0.273340,0.195210,-0.941902
-0.007837,0.374906,-0.219144,-2.785325,-1.066957,-0.999736,-0.285162,0.220690,-0.932726
0.002467,0.379839,-0.234609,-2.408233,-1.177450,-0.820364,-0.297755,0.242186,-0.923411
0.016137,0.380098,-0.248571,-2.161029,-1.296553,-0.660492,-0.311059,0.260969,-0.913859
0.017573,0.353794,-0.271214,-1.974804,-1.349544,-0.555323,-0.324855,0.277935,-0.904003
