ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.426180,0.466744,-0.717617,1.092006,-0.259484,1.925975,0.804777,-0.021462,-0.593189
0.498454,0.528241,-0.787274,2.044634,-0.968588,1.861647,0.800527,-0.046094,-0.597522
0.471915,0.495190,-0.706481,3.227073,-1.751245,1.694675,0.791177,-0.076275,-0.606813
0.486329,0.531458,-0.693637,4.480587,-2.411484,1.467471,0.776763,-0.112543,-0.619656
0.408146,0.570896,-0.601683,5.621174,-2.824426,1.252767,0.758312,-0.154941,-0.633211
0.283494,0.607731,-0.472285,6.493989,-2.953556,1.059210,0.737548,-0.202702,-0.644154
0.155334,0.606288,-0.343222,7.055623,-2.897712,0.862918,0.716248,-0.253978,-0.649988
0.060426,0.583241,-0.196956,7.366227,-2.830038,0.641687,0.695419,-0.306584,-0.649922
0.005622,0.551081,0.003449,7.488995,-2.837023,0.400063,0.675255,-0.358622,-0.644531
-0.024534,0.523028,0.204202,7.446775,-2.916881,0.174673,0.655653,-0.408664,-0.634912
-0.040719,0.512956,0.360884,7.246241,-2.994991,0.010532,0.636559,-0.455751,-0.622161
-0.038068,0.497818,0.456862,6.898436,-2.917528,-0.045624,0.618283,-0.499359,-0.606932
-0.017938,0.476096,0.505176,6.425669,-2.645844,0.021940,0.601572,-0.539329,-0.589267
-0.005731,0.443338,0.577874,5.872327,-2.393379,0.179004,0.586343,-0.575769,-0.569817
0.004227,0.386557,0.703785,5.269763,-2.229886,0.369492,0.571716,-0.608755,-0.550053
-0.007368,0.316664,0.828732,4.591394,-2.106841,0.578156,0.556944,-0.638289,-0.531414
-0.068840,0.243600,0.910281,3.816897,-1.972573,0.769272,0.541756,-0.664178,-0.515139
-0.168543,0.168386,0.948089,3.016874,-1.773601,0.868931,0.526514,-0.686101,-0.502044
-0.253092,0.105480,0.964661,2.260614,-1.461935,0.803295,0.512461,-0.703701,-0.492127
-0.313440,0.038243,0.962275,1.534019,-1.079745,0.586698,0.501184,-0.716603,-0.485072
-0.366028,-0.019051,0.961325,0.794995,-0.699245,0.287893,0.493699,-0.724464,-0.481054
-0.395812,-0.048945,0.966354,0.041547,-0.389555,0.004707,0.490035,-0.727194,-0.480682
-0.406445,-0.048702,0.959013,-0.691209,-0.151399,-0.212829,0.489529,-0.725072,-0.484389
-0.379787,-0.030059,0.938103,-1.359015,-0.001538,-0.367465,0.491313,-0.718568,-0.492211
-0.326068,-0.020818,0.913153,-1.955342,0.019203,-0.466885,0.494418,-0.708156,-0.504050
-0.277741,-0.028557,0.893198,-2.491214,-0.063128,-0.523977,0.497833,-0.694206,-0.519846
-0.230638,-0.037800,0.858288,-2.988721,-0.203771,-0.555647,0.500871,-0.676891,-0.539394
-0.170584,-0.047667,0.816746,-3.494820,-0.376426,-0.588964,0.503088,-0.656053,-0.562581
-0.114984,-0.057373,0.774533,-4.039081,-0.541940,-0.644172,0.504404,-0.631134,-0.589276
-0.070755,-0.057032,0.728388,-4.627889,-0.672632,-0.727193,0.504944,-0.601324,-0.619227
-0.043110,-0.045476,0.670967,-5.217042,-0.783651,-0.788021,0.504765,-0.565974,-0.651833
-0.021133,-0.008278,0.620612,-5.761209,-0.884878,-0.793668,0.503494,-0.524986,-0.686209
0.004048,0.045833,0.566189,-6.262909,-0.914910,-0.743627,0.500972,-0.478496,-0.721158
0.024060,0.093316,0.468391,-6.696003,-0.828112,-0.624191,0.497592,-0.426874,-0.755103
0.054023,0.144025,0.337090,-7.027598,-0.661797,-0.447551,0.493966,-0.370907,-0.786400
0.080871,0.175606,0.216632,-7.217288,-0.488635,-0.255621,0.490555,-0.311745,-0.813739
0.111508,0.188654,0.126695,-7.219731,-0.336797,-0.073102,0.487613,-0.250910,-0.836228
0.150027,0.222347,0.046512,-7.028590,-0.160407,0.078532,0.485456,-0.190273,-0.853305
0.193413,0.273508,-0.030159,-6.658732,0.138740,0.160305,0.485069,-0.131647,-0.864510
0.221928,0.316496,-0.096818,-6.167445,0.633549,0.218791,0.488140,-0.076582,-0.869399
0.218570,0.353237,-0.169890,-5.631903,1.292629,0.329517,0.496350,-0.026348,-0.867723
0.182562,0.374346,-0.240307,-5.129588,2.012568,0.504746,0.510705,0.018278,-0.859561
0.153375,0.384773,-0.277531,-4.714331,2.634894,0.702910,0.530966,0.057274,-0.845455
0.155745,0.390110,-0.271297,-4.401636,3.014956,0.891121,0.555483,0.091198,-0.826512
0.160391,0.384318,-0.246844,-4.179837,3.069042,1.045861,0.581644,0.120794,-0.804425
0.171289,0.356835,-0.221304,-4.016362,2.870096,1.116486,0.606879,0.146949,-0.781092
0.194781,0.320357,-0.225084,-3.898791,2.526750,1.125971,0.629621,0.170564,-0.757948
0.206406,0.325162,-0.265607,-3.850164,2.098778,1.133435,0.649093,0.192386,-0.735979
0.208047,0.365668,-0.347885,-3.821211,1.591192,1.133416,0.664939,0.212899,-0.715912
0.220635,0.388750,-0.417905,-3.667509,0.952760,1.044367,0.676505,0.232207,-0.698871
