ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.043306,-0.090689,-0.182824,0.775488,-0.503571,0.090011,-0.218215,-0.467279,-0.856757
-0.069800,-0.098475,-0.228209,0.796206,-0.236990,0.012023,-0.221673,-0.473928,-0.852205
-0.082411,-0.086136,-0.255916,0.814374,0.055243,-0.019205,-0.222413,-0.480835,-0.848133
-0.082215,-0.048361,-0.256740,0.831278,0.320606,0.019591,-0.220779,-0.487848,-0.844548
-0.071500,-0.013510,-0.224458,0.832660,0.506728,0.097815,-0.217501,-0.494791,-0.841353
-0.050407,-0.011870,-0.166714,0.787038,0.550267,0.177464,-0.213661,-0.501359,-0.838444
-0.024625,-0.032285,-0.097558,0.715805,0.481538,0.216327,-0.210299,-0.507251,-0.835746
-0.022936,-0.069154,-0.056570,0.674129,0.408347,0.172970,-0.207594,-0.512649,-0.833124
-0.038222,-0.109719,-0.055271,0.653129,0.316429,0.064824,-0.205171,-0.517951,-0.830441
-0.056000,-0.135251,-0.059065,0.659128,0.245938,-0.073005,-0.202850,-0.523395,-0.827593
-0.058732,-0.140767,-0.091027,0.698267,0.205194,-0.171443,-0.200270,-0.529307,-0.824455
-0.050558,-0.111252,-0.109194,0.658221,0.083894,-0.199931,-0.198054,-0.535339,-0.821089
-0.040715,-0.094087,-0.130134,0.606318,0.036114,-0.176997,-0.196574,-0.540908,-0.817788
-0.034617,-0.088706,-0.221392,0.568123,0.008771,-0.125402,-0.195532,-0.546044,-0.814618
-0.050851,-0.086715,-0.287873,0.518398,-0.081685,-0.092191,-0.195228,-0.550675,-0.811568
-0.071887,-0.097037,-0.368263,0.559351,-0.087574,-0.118714,-0.195416,-0.555200,-0.808434
-0.094033,-0.112666,-0.510641,0.689847,-0.106177,-0.202370,-0.195289,-0.560537,-0.804774
-0.133947,-0.105753,-0.629856,0.999814,-0.025010,-0.325657,-0.194453,-0.567724,-0.799923
-0.180375,-0.055569,-0.847750,1.591599,0.345618,-0.418053,-0.191115,-0.578723,-0.792814
-0.239462,0.050581,-1.091098,2.278561,0.892796,-0.390139,-0.183847,-0.594832,-0.782544
-0.273305,0.185280,-1.170426,2.886442,1.533499,-0.281189,-0.172359,-0.615654,-0.768936
-0.237024,0.254547,-1.107396,3.316596,2.188281,-0.175587,-0.156683,-0.639847,-0.752361
-0.202196,0.259029,-0.918453,3.540307,2.783659,-0.108864,-0.137205,-0.665737,-0.733464
-0.186227,0.239074,-0.665455,3.558532,3.415468,-0.081432,-0.114035,-0.691757,-0.713070
-0.186590,0.258293,-0.401455,3.394227,3.855987,-0.085390,-0.087611,-0.716468,-0.692096
-0.181058,0.310161,-0.032003,3.132249,3.856400,-0.094303,-0.060305,-0.738917,-0.671092
-0.127518,0.313991,0.411034,2.884446,3.326000,-0.130615,-0.035415,-0.758937,-0.650200
-0.039772,0.262851,0.863687,2.640965,2.475998,-0.178384,-0.015449,-0.776752,-0.629617
0.032988,0.234661,1.165644,2.334788,1.586723,-0.172539,-0.001433,-0.792263,-0.610178
0.058140,0.257740,1.297506,1.935073,0.873069,-0.121027,0.007122,-0.805210,-0.592947
0.038103,0.304222,1.336019,1.446477,0.350286,-0.072486,0.011443,-0.815193,-0.579076
0.002571,0.342204,1.344966,0.887438,-0.036148,-0.059390,0.012825,-0.821955,-0.569408
-0.033239,0.339648,1.334852,0.280850,-0.286135,-0.097866,0.012472,-0.825289,-0.564573
-0.073450,0.324092,1.294934,-0.323325,-0.373833,-0.178878,0.011682,-0.825144,-0.564801
-0.099776,0.332159,1.237895,-0.927568,-0.384638,-0.249734,0.011321,-0.821554,-0.570018
-0.095973,0.351099,1.211570,-1.594789,-0.468939,-0.249172,0.010982,-0.814265,-0.580390
-0.058001,0.332543,1.207569,-2.347528,-0.642364,-0.201342,0.009569,-0.802590,-0.596455
-0.010844,0.284861,1.176775,-3.120446,-0.947533,-0.132982,0.006114,-0.785868,-0.618364
0.019295,0.253634,1.112847,-3.864818,-1.348470,-0.040700,-0.000465,-0.763643,-0.645638
0.031361,0.223045,0.990867,-4.518999,-1.796840,0.079997,-0.011082,-0.735694,-0.677223
0.012568,0.218636,0.804537,-4.950085,-2.198337,0.185544,-0.026057,-0.702492,-0.711214
-0.039882,0.231124,0.562152,-5.107265,-2.470509,0.217542,-0.044667,-0.665450,-0.745104
-0.119357,0.246889,0.291872,-5.050534,-2.534925,0.181415,-0.065274,-0.626360,-0.776796
-0.176838,0.248280,-0.003020,-4.833980,-2.342148,0.125601,-0.085704,-0.586872,-0.805131
-0.204560,0.238338,-0.253232,-4.590485,-2.008924,0.105910,-0.104278,-0.548015,-0.829943
-0.195808,0.227650,-0.410797,-4.353234,-1.676479,0.068915,-0.120339,-0.510075,-0.851670
-0.183990,0.200465,-0.533424,-4.030875,-1.293167,-0.026503,-0.133363,-0.473658,-0.870553
-0.193216,0.183356,-0.684629,-3.532783,-0.860481,-0.163360,-0.142463,-0.440268,-0.886492
-0.227395,0.176068,-0.788738,-2.904212,-0.483948,-0.332585,-0.147376,-0.411694,-0.899327
-0.224851,0.154362,-0.801614,-2.293155,-0.221490,-0.433719,-0.148958,-0.388691,-0.909247
