ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.053710,0.233106,-0.434427,-0.757094,0.919531,0.135483,0.368837,0.438678,-0.819464
0.176561,0.297031,-0.448110,-0.253361,0.600902,0.070162,0.375685,0.442502,-0.814281
0.409464,0.451688,-0.632600,0.463889,0.020628,-0.113637,0.378271,0.441836,-0.813444
0.412442,0.458291,-0.627677,1.373942,-0.485944,-0.331698,0.375293,0.435233,-0.818368
0.466731,0.566753,-0.857361,2.505584,-0.969649,-0.469601,0.367513,0.420826,-0.829361
0.446108,0.672232,-0.967766,3.867821,-1.476473,-0.419377,0.355314,0.395746,-0.846840
0.405979,0.787784,-1.008394,5.460436,-1.899528,-0.216720,0.339428,0.356702,-0.870375
0.359712,0.868933,-1.001716,7.165863,-2.187400,0.003089,0.320846,0.300851,-0.898079
0.338042,0.897547,-0.877840,8.689795,-2.543195,0.088094,0.299409,0.227697,-0.926557
0.380295,0.874349,-0.656219,9.855251,-3.181236,-0.122723,0.272537,0.139796,-0.951935
0.407668,0.771273,-0.299246,10.598234,-4.000353,-0.671423,0.237504,0.041517,-0.970499
0.404360,0.659391,0.079599,10.870885,-4.703059,-1.468905,0.194807,-0.061826,-0.978891
0.401579,0.568160,0.350993,10.666304,-5.119077,-2.261982,0.148500,-0.164839,-0.975077
0.359695,0.484951,0.546090,10.020375,-5.229519,-2.837789,0.103486,-0.262585,-0.959344
0.283707,0.393822,0.690703,8.993284,-5.041448,-3.063132,0.063690,-0.350929,-0.934233
0.219174,0.276775,0.840530,7.559173,-4.603736,-2.786277,0.030384,-0.426341,-0.904052
0.159984,0.220004,0.892904,5.854282,-3.633216,-1.982064,0.004292,-0.485965,-0.873968
0.142631,0.255018,0.770798,4.264253,-2.332257,-0.987436,-0.014015,-0.529676,-0.848084
0.149673,0.250000,0.776330,3.014019,-1.330088,-0.138209,-0.026199,-0.560257,-0.827904
0.108418,0.130211,0.945904,2.104234,-0.841100,0.352611,-0.035680,-0.581170,-0.813000
0.033585,-0.047991,1.084454,1.414402,-0.679128,0.460396,-0.044297,-0.595228,-0.802335
-0.039743,-0.180195,1.126837,0.763952,-0.618851,0.308045,-0.051856,-0.603802,-0.795446
-0.075034,-0.203364,1.099270,0.064239,-0.585691,0.092103,-0.057870,-0.607031,-0.792569
-0.089672,-0.131148,1.048834,-0.666030,-0.532442,-0.064163,-0.062398,-0.604631,-0.794058
-0.079923,-0.032279,0.994704,-1.370062,-0.431232,-0.141550,-0.065631,-0.596520,-0.799910
-0.059139,0.033993,0.934383,-2.008524,-0.292706,-0.133305,-0.067722,-0.582898,-0.809718
-0.030921,0.056328,0.883966,-2.584481,-0.184389,-0.044662,-0.069100,-0.564079,-0.822824
0.005189,0.059376,0.847322,-3.107468,-0.139465,0.122053,-0.070603,-0.540257,-0.838533
0.030155,0.072205,0.808930,-3.596594,-0.092087,0.351172,-0.072849,-0.511506,-0.856186
0.040937,0.092338,0.744996,-4.066916,0.023227,0.628745,-0.075620,-0.477759,-0.875230
0.041842,0.111689,0.663679,-4.509771,0.205750,0.899556,-0.078158,-0.438974,-0.895094
0.038625,0.123098,0.592441,-4.913445,0.448435,1.139754,-0.079473,-0.395239,-0.915134
0.037898,0.129262,0.531905,-5.294552,0.697844,1.382554,-0.078837,-0.346731,-0.934646
0.026123,0.153779,0.465393,-5.669293,0.941954,1.707978,-0.075989,-0.293473,-0.952942
0.023151,0.226539,0.334341,-6.003468,1.147109,2.097527,-0.070911,-0.235602,-0.969259
0.050525,0.305860,0.197213,-6.264130,1.245324,2.470314,-0.063770,-0.173764,-0.982720
0.074111,0.338228,0.105189,-6.418498,1.189425,2.778843,-0.055358,-0.109102,-0.992488
0.085215,0.341349,0.002803,-6.412452,1.154626,2.958659,-0.045848,-0.043254,-0.998012
0.095974,0.296960,-0.130627,-6.145540,1.061460,2.905010,-0.034939,0.021216,-0.999164
0.098689,0.207997,-0.141958,-5.625145,0.849082,2.629157,-0.023876,0.081233,-0.996409
0.091684,0.170547,-0.099461,-5.058152,0.734102,2.286703,-0.013437,0.135041,-0.990749
0.038577,0.206771,-0.211945,-4.594307,0.737855,2.026867,-0.002658,0.183091,-0.983092
-0.044313,0.258732,-0.353936,-4.120909,0.664826,1.789246,0.008226,0.225978,-0.974098
-0.072564,0.255324,-0.371078,-3.602853,0.528638,1.505414,0.018121,0.263429,-0.964508
-0.056330,0.239254,-0.393915,-3.079850,0.308695,1.212664,0.026072,0.295383,-0.955023
-0.039271,0.240496,-0.398891,-2.559943,-0.048215,0.909097,0.030650,0.322034,-0.946232
-0.022375,0.220781,-0.354027,-2.059509,-0.373059,0.577371,0.031072,0.343672,-0.938576
0.002912,0.201780,-0.341755,-1.624125,-0.564939,0.271662,0.028063,0.360812,-0.932216
0.012898,0.203353,-0.334204,-1.279515,-0.652152,0.025656,0.022854,0.374299,-0.927026
0.004583,0.196755,-0.301580,-1.068092,-0.615711,-0.124446,0.016642,0.385139,-0.922709
