ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.041955,0.115975,-0.314808,0.960190,0.001039,0.073788,-0.512779,-0.034066,-0.857845
-0.034291,0.124052,-0.312578,1.266290,0.019170,0.117475,-0.512675,-0.043181,-0.857496
-0.025310,0.148298,-0.272875,1.555137,-0.054892,0.129773,-0.512852,-0.054685,-0.856733
-0.025795,0.176535,-0.281394,1.911161,-0.157152,0.069362,-0.513832,-0.069007,-0.855111
-0.047769,0.220726,-0.401627,2.464409,-0.228975,0.004272,-0.515570,-0.087471,-0.852371
-0.094351,0.305212,-0.600907,3.297817,-0.093651,-0.005075,-0.517114,-0.112005,-0.848556
-0.195917,0.466436,-0.931705,4.383431,0.377354,0.198921,-0.516165,-0.144186,-0.844265
-0.298164,0.700122,-1.152459,5.530923,1.066317,0.650161,-0.510826,-0.184085,-0.839744
-0.347782,0.864988,-1.112202,6.422190,1.885810,1.163368,-0.500332,-0.229994,-0.834728
-0.353504,0.864255,-0.958914,6.861729,2.596726,1.556576,-0.485013,-0.279004,-0.828806
-0.358602,0.769649,-0.662923,6.875645,3.101187,1.734593,-0.466319,-0.328274,-0.821452
-0.381738,0.636954,-0.304840,6.557329,3.356802,1.710854,-0.445792,-0.375617,-0.812516
-0.374599,0.462243,0.067202,6.030676,3.238707,1.517570,-0.425267,-0.419595,-0.801928
-0.300092,0.254448,0.491164,5.398099,2.679263,1.150477,-0.407336,-0.459664,-0.789168
-0.156934,0.008757,0.898710,4.757207,1.880978,0.677671,-0.393725,-0.495863,-0.774016
-0.012296,-0.183935,1.163031,4.149583,1.087129,0.261591,-0.384723,-0.528330,-0.756872
0.076257,-0.225486,1.276959,3.539411,0.502406,0.022744,-0.379540,-0.556771,-0.738888
0.110623,-0.130068,1.275922,2.892111,0.108841,-0.017464,-0.377332,-0.580443,-0.721600
0.101319,0.013584,1.240270,2.211191,-0.058711,0.065943,-0.377381,-0.598698,-0.706502
0.079489,0.107412,1.158254,1.541712,-0.001838,0.155109,-0.378378,-0.611486,-0.694921
0.053459,0.125403,1.072837,0.898005,0.218266,0.197057,-0.378792,-0.619269,-0.687766
0.028757,0.112361,1.004082,0.286720,0.503001,0.167588,-0.377481,-0.622630,-0.685448
0.007067,0.098433,0.960737,-0.276253,0.788174,0.098646,-0.373842,-0.622145,-0.687879
0.000943,0.093214,0.934127,-0.817751,1.004639,0.051569,-0.368024,-0.618071,-0.694656
0.006840,0.093378,0.921382,-1.375913,1.093979,0.051579,-0.360875,-0.610178,-0.705303
0.030266,0.076531,0.910282,-1.969707,1.001604,0.067386,-0.353646,-0.598000,-0.719257
0.051138,0.032432,0.898761,-2.610428,0.700615,0.031896,-0.347646,-0.581061,-0.735873
0.065511,-0.032448,0.863490,-3.268548,0.227170,-0.107117,-0.343953,-0.559120,-0.754375
0.058225,-0.081959,0.781015,-3.812010,-0.271314,-0.354126,-0.342908,-0.532634,-0.773767
0.014280,-0.092568,0.639001,-4.201300,-0.665763,-0.645337,-0.344114,-0.502693,-0.793023
-0.031931,-0.063634,0.464219,-4.407575,-0.879393,-0.967955,-0.346502,-0.470652,-0.811433
-0.063754,-0.022745,0.259425,-4.411891,-0.941282,-1.270141,-0.348950,-0.438086,-0.828441
-0.087308,0.029202,0.053864,-4.190775,-0.903420,-1.471383,-0.350894,-0.406658,-0.843506
-0.107841,0.107138,-0.107450,-3.801353,-0.815820,-1.543259,-0.352288,-0.377798,-0.856249
-0.116415,0.182303,-0.212780,-3.351621,-0.691079,-1.518368,-0.353189,-0.352255,-0.866703
-0.103334,0.234620,-0.285442,-2.949633,-0.571911,-1.416740,-0.353666,-0.329941,-0.875248
-0.092124,0.260440,-0.318230,-2.679799,-0.456551,-1.256878,-0.353905,-0.309924,-0.882439
-0.088939,0.257432,-0.318898,-2.592041,-0.296951,-1.085781,-0.353779,-0.290711,-0.889003
-0.076562,0.205684,-0.334469,-2.635806,-0.057242,-1.018561,-0.352439,-0.270991,-0.895740
-0.042053,0.111847,-0.411749,-2.658102,0.164452,-1.064544,-0.349198,-0.250656,-0.902902
-0.013005,0.070841,-0.463481,-2.542612,0.372889,-1.088161,-0.344157,-0.230631,-0.910145
-0.006629,0.108285,-0.470139,-2.278870,0.607908,-1.004252,-0.337320,-0.212014,-0.917205
-0.011165,0.171086,-0.449641,-1.944163,0.832351,-0.809543,-0.328755,-0.195515,-0.923956
-0.003665,0.205963,-0.401034,-1.624887,0.974921,-0.565623,-0.318967,-0.181137,-0.930295
0.003453,0.207172,-0.337160,-1.338367,1.060920,-0.353730,-0.308613,-0.168689,-0.936110
0.017120,0.171660,-0.288606,-1.100410,1.140436,-0.223410,-0.297745,-0.158080,-0.941466
0.020690,0.111071,-0.249649,-0.925753,1.219545,-0.145306,-0.286269,-0.149035,-0.946488
0.029490,0.060108,-0.201577,-0.804703,1.288533,-0.092601,-0.274104,-0.141147,-0.951286
0.033945,0.031411,-0.138892,-0.677542,1.498669,-0.099846,-0.260996,-0.134163,-0.955971
0.053715,-0.014403,-0.144247,-0.223205,2.184327,-0.266423,-0.242451,-0.130296,-0.961374
