ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.068753,0.121537,-0.187387,-0.655972,-2.000449,-0.276185,0.284076,0.382461,-0.879218
0.119507,0.157384,-0.265156,-0.745803,-2.284343,-0.413919,0.263931,0.389613,-0.882350
0.180780,0.342722,-0.440487,-0.834411,-2.841614,-0.557683,0.239280,0.397879,-0.885685
0.211161,0.333605,-0.436950,-0.873164,-3.383326,-0.732334,0.208898,0.406996,-0.889222
0.210949,0.375166,-0.657626,-0.693091,-4.057970,-1.020843,0.172092,0.415849,-0.893003
0.235054,0.407162,-0.704858,-0.125609,-4.939369,-1.548101,0.126320,0.421665,-0.897910
0.250413,0.402850,-0.581654,0.768008,-5.951972,-2.285765,0.068893,0.420728,-0.904567
0.229186,0.381670,-0.419794,1.781716,-6.785471,-3.187185,-0.000854,0.410002,-0.912084
0.171270,0.328971,-0.293399,2.695793,-7.314111,-4.223882,-0.080847,0.387719,-0.918225
0.121705,0.238754,-0.185053,3.395195,-7.413161,-5.285082,-0.166978,0.353409,-0.920446
0.143055,0.181388,-0.076080,3.763062,-7.029791,-6.030354,-0.252919,0.308022,-0.917145
0.174846,0.180176,-0.020393,3.772952,-6.341190,-6.177501,-0.331905,0.255097,-0.908166
0.248469,0.130078,0.081778,3.402000,-5.251328,-5.493256,-0.398310,0.200626,-0.895041
0.331781,0.097532,0.159218,2.632742,-3.691125,-3.832536,-0.446878,0.153430,-0.881340
0.339744,0.093819,0.167166,1.787237,-2.003522,-1.606328,-0.475700,0.121391,-0.871191
0.339944,-0.028294,0.275036,1.266324,-0.539619,0.258600,-0.487283,0.105245,-0.866879
0.338720,-0.322015,0.492868,1.021324,0.424075,1.276095,-0.486700,0.099374,-0.867899
0.288993,-0.583609,0.670966,0.791886,0.953655,1.585923,-0.478965,0.098501,-0.872290
0.220091,-0.677284,0.746984,0.405362,1.061771,1.513779,-0.468351,0.100593,-0.877797
0.194632,-0.639087,0.812862,-0.169332,0.965810,1.270030,-0.457892,0.105960,-0.882671
0.212203,-0.578349,0.818550,-0.889540,0.851642,1.031079,-0.448547,0.115825,-0.886223
0.232243,-0.510438,0.804624,-1.677257,0.790425,0.926239,-0.440068,0.131577,-0.888272
0.245071,-0.419453,0.789061,-2.452373,0.874906,1.035808,-0.431335,0.154301,-0.888899
0.224615,-0.289350,0.695360,-3.090287,1.075200,1.274792,-0.420690,0.184125,-0.888323
0.207053,-0.171916,0.594341,-3.503420,1.273072,1.513204,-0.407356,0.219493,-0.886501
0.214789,-0.092059,0.536310,-3.698097,1.512813,1.753031,-0.391104,0.258197,-0.883386
0.219818,-0.013658,0.475773,-3.755459,1.822967,2.033507,-0.371048,0.298525,-0.879322
0.205372,0.064388,0.425842,-3.764311,2.240283,2.377385,-0.346104,0.339649,-0.874557
0.126788,0.143227,0.309172,-3.734167,2.741330,2.676473,-0.315097,0.380989,-0.869230
0.030653,0.192389,0.180067,-3.644545,3.214952,2.846321,-0.277876,0.421441,-0.863234
-0.046578,0.227353,0.078039,-3.450008,3.446316,2.876101,-0.236213,0.459613,-0.856130
-0.099612,0.248195,0.047985,-3.111683,3.447884,2.742963,-0.193036,0.493901,-0.847820
-0.118090,0.239649,0.034474,-2.656703,3.267212,2.483118,-0.151091,0.522940,-0.838872
-0.116800,0.234510,0.025672,-2.191554,2.973288,2.154473,-0.112341,0.546343,-0.829993
-0.100514,0.240193,0.035802,-1.810318,2.564621,1.804393,-0.078274,0.564799,-0.821508
-0.088911,0.238445,0.033592,-1.596299,2.234408,1.485064,-0.049166,0.579762,-0.813301
-0.109020,0.257968,-0.059972,-1.526160,1.970000,1.194162,-0.024174,0.592924,-0.804896
-0.124368,0.281103,-0.137677,-1.473088,1.724465,0.871302,-0.003058,0.605158,-0.796099
-0.126312,0.249248,-0.178126,-1.345760,1.449142,0.513142,0.013855,0.616398,-0.787313
-0.114388,0.209227,-0.179943,-1.134339,1.199442,0.186665,0.026406,0.626131,-0.779271
-0.098517,0.185964,-0.180281,-0.897821,1.048627,-0.046604,0.035529,0.634028,-0.772493
-0.087151,0.169770,-0.189433,-0.698900,0.977086,-0.166717,0.042596,0.640227,-0.767004
-0.075441,0.156185,-0.198023,-0.592487,0.969221,-0.166112,0.048952,0.645222,-0.762426
-0.066883,0.142174,-0.230490,-0.576759,1.017344,-0.091604,0.055668,0.649726,-0.758127
-0.061788,0.121203,-0.276237,-0.592210,1.098395,0.000085,0.063420,0.654203,-0.753655
-0.042011,0.094802,-0.289035,-0.597524,1.193617,0.068724,0.072284,0.658662,-0.748959
-0.013533,0.073018,-0.283678,-0.591007,1.184756,0.123668,0.082000,0.663127,-0.744002
0.005247,0.058754,-0.205655,-0.464138,1.178924,0.122727,0.091647,0.666985,-0.739413
-0.001196,0.015150,-0.213984,-0.281333,1.225087,0.106701,0.101293,0.669649,-0.735738
-0.032828,0.019247,-0.247911,-0.101914,1.486279,0.125217,0.111929,0.670923,-0.733031
