ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.041057,0.333387,-0.826769,3.305134,-0.173122,-0.883217,0.009587,-0.422148,-0.906476
0.005612,0.252175,-0.641982,3.964326,-0.500235,-1.097240,0.011005,-0.454842,-0.890504
0.033663,0.297433,-0.723772,4.605753,-0.844426,-1.415594,0.010954,-0.492700,-0.870130
0.033717,0.339500,-0.748973,5.182095,-1.080616,-1.784990,0.010900,-0.534767,-0.844929
-0.004604,0.383991,-0.753350,5.701237,-1.194508,-2.100822,0.012203,-0.580006,-0.814521
-0.071401,0.346815,-0.648157,6.094352,-0.965515,-2.341439,0.016881,-0.627027,-0.778815
-0.121272,0.295449,-0.564912,6.365559,-0.466316,-2.483874,0.027156,-0.674081,-0.738158
-0.162972,0.294724,-0.405699,6.548215,0.132965,-2.545378,0.043587,-0.719712,-0.692903
-0.197453,0.306574,-0.181989,6.629808,0.659128,-2.549107,0.065297,-0.762659,-0.643496
-0.191950,0.294601,0.077254,6.567473,1.047266,-2.509945,0.090570,-0.801727,-0.590788
-0.165705,0.274545,0.317832,6.282795,1.332043,-2.385850,0.117563,-0.835687,-0.536475
-0.149615,0.269644,0.531181,5.720828,1.494187,-2.156459,0.144290,-0.863577,-0.483131
-0.151831,0.262174,0.757338,4.839729,1.638233,-1.867594,0.169211,-0.884855,-0.434050
-0.145612,0.247807,0.907986,3.697726,1.734997,-1.581811,0.191709,-0.899525,-0.392560
-0.152385,0.227152,1.024575,2.464197,1.630211,-1.406646,0.211635,-0.908198,-0.361093
-0.180986,0.199198,1.120046,1.214834,1.441010,-1.189280,0.228975,-0.911799,-0.340871
-0.082742,0.184532,1.133884,0.065407,1.238484,-1.002463,0.243493,-0.911354,-0.331882
-0.116091,0.110587,1.131762,-0.995153,1.076224,-0.893966,0.255984,-0.907416,-0.333269
-0.127936,0.110021,1.069412,-2.005194,1.039748,-0.792400,0.267219,-0.900076,-0.344177
-0.087707,0.147219,0.947414,-2.903525,1.082433,-0.696691,0.277664,-0.889269,-0.363461
-0.078241,0.169783,0.821082,-3.639853,1.216400,-0.590718,0.287744,-0.874998,-0.389335
-0.048528,0.190776,0.655261,-4.061374,1.321331,-0.515765,0.297689,-0.857646,-0.419315
-0.030629,0.154356,0.460364,-4.370034,1.473426,-0.455234,0.307958,-0.837690,-0.451041
0.023112,0.129173,0.395243,-4.599618,1.655006,-0.395136,0.318822,-0.815254,-0.483439
0.036733,0.132764,0.256600,-4.827068,1.965836,-0.312414,0.330759,-0.790403,-0.515618
0.049302,0.146092,0.052610,-4.920626,2.218570,-0.266464,0.344222,-0.763310,-0.546690
0.075233,0.116581,-0.042910,-4.801281,2.312737,-0.270836,0.359063,-0.734882,-0.575345
0.094013,0.084189,-0.104180,-4.582057,2.267499,-0.332884,0.374813,-0.706000,-0.600899
0.109669,0.091254,-0.146394,-4.346879,2.184462,-0.437974,0.391170,-0.677039,-0.623381
0.100655,0.120194,-0.190089,-4.132180,2.163200,-0.555476,0.408286,-0.648041,-0.642919
0.099738,0.163069,-0.261411,-3.905265,2.243956,-0.543288,0.426309,-0.619337,-0.659304
0.157202,0.210064,-0.397570,-3.544515,2.063883,-0.452894,0.443949,-0.592144,-0.672514
0.240995,0.155862,-0.367370,-3.099440,1.523415,-0.455522,0.458880,-0.567453,-0.683686
0.276609,0.050001,-0.279474,-2.705103,0.919234,-0.476035,0.469912,-0.545179,-0.694235
0.270019,0.016770,-0.344405,-2.332684,0.409258,-0.514271,0.477204,-0.525132,-0.704636
0.239301,-0.027248,-0.371761,-2.018503,0.035102,-0.605263,0.481554,-0.506855,-0.714985
0.177086,0.008761,-0.368340,-1.739640,-0.226252,-0.543877,0.483727,-0.490450,-0.724891
0.181716,0.177468,-0.314438,-1.537834,-0.292824,-0.417494,0.484102,-0.476128,-0.734130
0.165490,0.206794,-0.257229,-1.357938,-0.341750,-0.299480,0.483435,-0.463645,-0.742512
0.099304,0.143907,-0.174428,-1.205081,-0.347739,-0.203060,0.481965,-0.452806,-0.750118
0.030292,0.018674,-0.126574,-0.997705,-0.334234,-0.185642,0.480237,-0.443524,-0.756743
-0.002901,-0.101177,-0.069293,-0.829490,-0.279518,-0.199511,0.478701,-0.435658,-0.762265
-0.026399,-0.099266,-0.047983,-0.784602,-0.057865,-0.174088,0.478151,-0.428612,-0.766593
-0.012326,-0.043429,-0.080499,-0.853986,0.235107,-0.094617,0.479428,-0.421659,-0.769644
0.007797,0.000628,-0.093133,-0.936766,0.433442,0.015227,0.482270,-0.414508,-0.771751
0.027519,0.016745,-0.050359,-0.992583,0.457104,0.130780,0.485512,-0.407354,-0.773525
0.048218,0.014625,-0.006240,-0.982886,0.298883,0.210689,0.487838,-0.400474,-0.775651
0.059175,-0.003961,0.032859,-0.892709,0.020283,0.214745,0.488234,-0.394187,-0.778617
0.067086,-0.032711,0.062680,-0.770634,-0.197664,0.122124,0.486763,-0.388523,-0.782376
0.057484,-0.091844,0.021016,-0.703964,-0.234107,-0.043144,0.484844,-0.382949,-0.786306
