ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.046993,-0.009287,-0.133409,-0.430626,-0.300751,0.089757,0.275624,0.286524,-0.917570
-0.012421,0.060930,-0.449127,-0.522792,-0.024740,-0.000563,0.274170,0.290861,-0.916641
-0.014477,0.056123,-0.451285,-0.468044,0.571072,-0.103689,0.276226,0.295668,-0.914483
-0.037842,0.144788,-0.741447,-0.276255,1.554099,-0.022701,0.285645,0.299364,-0.910378
-0.014405,0.284975,-0.926599,-0.129772,2.485740,0.248622,0.304520,0.300779,-0.903769
0.078340,0.427273,-0.933000,-0.259770,3.126052,0.601479,0.331359,0.301030,-0.894194
0.197925,0.530685,-0.906674,-0.479336,3.418851,0.992851,0.363187,0.301606,-0.881549
0.286602,0.608275,-0.849041,-0.411818,3.513761,1.374713,0.397251,0.301209,-0.866871
0.286391,0.654418,-0.888443,0.135031,3.673908,1.797693,0.433000,0.296037,-0.851395
0.268105,0.697122,-0.918758,1.055694,3.687761,2.249133,0.470283,0.281913,-0.836277
0.221718,0.719070,-0.758849,2.127179,3.366508,2.623881,0.506508,0.256653,-0.823152
0.156990,0.687479,-0.489492,3.162253,2.738595,2.856110,0.538399,0.220373,-0.813365
0.066987,0.601219,-0.176494,4.057182,1.820461,2.903000,0.562835,0.174843,-0.807866
-0.039454,0.451590,0.155249,4.821045,0.739323,2.720767,0.577555,0.122522,-0.807105
-0.139418,0.268194,0.464698,5.468604,-0.543919,2.351187,0.580900,0.065730,-0.811316
-0.227293,0.070692,0.791161,5.981461,-2.011138,1.848362,0.571211,0.006456,-0.820778
-0.264259,-0.122619,1.076946,6.226948,-3.253020,1.382771,0.548698,-0.053604,-0.834301
-0.310865,-0.222530,1.159280,6.115804,-3.913176,1.087551,0.516996,-0.112599,-0.848550
-0.388110,-0.213529,1.082474,5.664709,-3.983826,0.950331,0.481342,-0.168505,-0.860184
-0.456426,-0.170709,1.021604,4.909144,-3.665812,0.826384,0.446172,-0.218771,-0.867796
-0.477830,-0.160869,1.035432,3.934937,-3.089738,0.651737,0.414720,-0.260777,-0.871781
-0.467478,-0.162195,1.099156,2.858058,-2.422379,0.445469,0.389017,-0.292838,-0.873448
-0.428313,-0.142732,1.195180,1.834674,-1.886052,0.257800,0.369155,-0.314726,-0.874455
-0.384708,-0.117419,1.330149,0.980023,-1.678093,0.098007,0.353122,-0.327665,-0.876322
-0.346716,-0.114198,1.489295,0.223696,-1.917350,-0.066071,0.337408,-0.333022,-0.880484
-0.292738,-0.102733,1.633795,-0.493628,-2.359495,-0.184672,0.318831,-0.331349,-0.888006
-0.247410,-0.072028,1.611503,-1.204050,-2.646536,-0.190820,0.296848,-0.323160,-0.898582
-0.247603,-0.048446,1.445474,-1.998902,-2.695846,-0.123656,0.272932,-0.308167,-0.911340
-0.238968,0.019918,1.269620,-2.861592,-2.604669,-0.044629,0.248642,-0.285543,-0.925550
-0.241765,0.092378,1.097435,-3.786766,-2.305205,-0.016412,0.225469,-0.254274,-0.940483
-0.244724,0.129545,0.814222,-4.634675,-1.687060,-0.026093,0.206363,-0.214002,-0.954786
-0.244641,0.193575,0.489254,-5.305935,-0.988297,-0.058913,0.193540,-0.165743,-0.966991
-0.245812,0.268024,0.257643,-5.730267,-0.365349,-0.151250,0.187126,-0.111423,-0.975996
-0.239620,0.296086,0.029286,-5.799562,0.169277,-0.263218,0.186366,-0.054051,-0.980992
-0.207003,0.297893,-0.158175,-5.573443,0.603601,-0.362539,0.190325,0.002797,-0.981717
-0.168990,0.307034,-0.316646,-5.227981,1.121092,-0.503154,0.198576,0.056964,-0.978429
-0.128109,0.332902,-0.573257,-4.723413,1.719051,-0.580850,0.212078,0.107024,-0.971375
-0.048283,0.393835,-0.716324,-4.043052,2.117909,-0.534574,0.230183,0.150980,-0.961364
0.030825,0.429474,-0.722521,-3.269607,2.141969,-0.408626,0.250089,0.187302,-0.949933
0.133562,0.430270,-0.639526,-2.452732,1.810069,-0.238015,0.268370,0.215360,-0.938934
0.232293,0.396196,-0.525387,-1.660810,1.254736,-0.052852,0.282508,0.235029,-0.930027
0.226880,0.344917,-0.446680,-1.052790,0.825492,-0.000567,0.292010,0.247566,-0.923819
0.184065,0.269870,-0.479769,-0.725287,0.596935,-0.088275,0.298433,0.255764,-0.919523
0.169740,0.197415,-0.496620,-0.618758,0.498624,-0.221159,0.302977,0.262347,-0.916176
0.144904,0.139547,-0.511784,-0.596189,0.569466,-0.301960,0.307122,0.268718,-0.912944
0.150068,0.109184,-0.512210,-0.619443,0.633500,-0.298908,0.311831,0.275215,-0.909405
0.172298,0.105269,-0.448949,-0.651374,0.635440,-0.214684,0.316914,0.281862,-0.905604
0.186966,0.095948,-0.373305,-0.639163,0.594196,-0.074756,0.322098,0.288223,-0.901765
0.181189,0.073186,-0.303549,-0.621040,0.562973,0.063179,0.327326,0.293925,-0.898034
0.163209,0.039139,-0.252291,-0.631850,0.488470,0.161124,0.332458,0.299179,-0.894407
