ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.734737,0.369021,-0.594415,0.088239,-2.335003,-0.105355,0.710164,-0.073672,-0.700172
0.766530,0.377137,-0.622265,0.445858,-2.650223,0.248189,0.692287,-0.076005,-0.717609
0.727324,0.388423,-0.683578,0.933618,-2.823882,0.622437,0.671877,-0.083980,-0.735886
0.611239,0.334653,-0.715859,1.558311,-2.953575,0.885952,0.649534,-0.098355,-0.753944
0.457787,0.223798,-0.616202,2.216665,-3.053495,0.981525,0.625450,-0.118863,-0.771158
0.313428,0.134530,-0.447993,2.779013,-3.129903,0.939576,0.599948,-0.144479,-0.786885
0.172713,0.066605,-0.213820,3.154531,-3.191459,0.797077,0.573274,-0.173432,-0.800798
0.023312,-0.007706,0.047716,3.338067,-3.103404,0.622916,0.546284,-0.203872,-0.812410
-0.119269,-0.057987,0.297169,3.342793,-2.812922,0.461358,0.520682,-0.234295,-0.820973
-0.242327,-0.087729,0.545221,3.256169,-2.253866,0.278386,0.498599,-0.263543,-0.825799
-0.381600,-0.148392,0.709498,3.123778,-1.376667,0.133741,0.482857,-0.291077,-0.825907
-0.467128,-0.123852,0.823165,2.865654,-0.414254,0.139232,0.475063,-0.316547,-0.821044
-0.527516,-0.105699,0.982249,2.450820,0.439578,0.219086,0.474691,-0.339324,-0.812114
-0.638551,-0.185326,1.079114,1.899502,1.050920,0.270671,0.479967,-0.358207,-0.800824
-0.711241,-0.233035,1.118495,1.314898,1.415956,0.265345,0.488966,-0.372373,-0.788829
-0.723247,-0.244791,1.179356,0.766817,1.567830,0.227429,0.499843,-0.381796,-0.777424
-0.735531,-0.260042,1.238576,0.191707,1.639087,0.176757,0.511531,-0.386595,-0.767385
-0.738462,-0.238531,1.241997,-0.532567,1.699765,0.097962,0.523786,-0.386118,-0.759316
-0.696809,-0.171769,1.208535,-1.444091,1.732461,-0.065381,0.536805,-0.378783,-0.753899
-0.631083,-0.126578,1.170366,-2.480096,1.629733,-0.267811,0.550227,-0.363030,-0.751970
-0.526460,-0.024017,1.119123,-3.458226,1.466960,-0.426987,0.563173,-0.338532,-0.753812
-0.376661,0.100650,0.959228,-4.263833,1.393132,-0.553460,0.575575,-0.306247,-0.758239
-0.195804,0.201593,0.696315,-4.813526,1.398544,-0.650628,0.588001,-0.267847,-0.763225
-0.018709,0.303684,0.443932,-4.933781,1.468868,-0.724799,0.600572,-0.225864,-0.767006
0.097952,0.381739,0.003890,-4.686964,1.789230,-0.815114,0.614877,-0.183924,-0.766875
0.218692,0.343397,-0.328648,-4.086844,1.743087,-0.904690,0.630032,-0.144636,-0.762981
0.259688,0.367885,-0.356309,-3.610104,1.509443,-0.762772,0.643556,-0.109950,-0.757461
0.303751,0.585299,-0.540102,-3.313702,0.934578,-0.416183,0.653586,-0.079760,-0.752638
0.335109,0.548597,-0.461967,-2.853565,0.154300,-0.278241,0.657933,-0.054227,-0.751122
0.405866,0.251388,-0.390577,-2.366755,-0.561367,-0.375811,0.656512,-0.032424,-0.753618
0.452683,0.214826,-0.387657,-1.931708,-1.169032,-0.557185,0.649932,-0.013014,-0.759881
0.480241,0.314703,-0.343964,-1.558003,-1.550172,-0.661534,0.639403,0.004359,-0.768859
0.430150,0.353158,-0.410571,-1.263213,-1.738483,-0.697381,0.626445,0.019645,-0.779218
0.303882,0.283016,-0.479835,-1.053427,-1.821805,-0.644777,0.612179,0.032963,-0.790032
0.198200,0.209510,-0.503425,-0.902233,-1.936468,-0.489000,0.596982,0.044259,-0.801033
0.143588,0.151601,-0.453100,-0.749361,-2.032232,-0.317619,0.580610,0.053324,-0.812434
0.125539,0.092628,-0.381150,-0.589702,-1.966285,-0.206411,0.563899,0.060311,-0.823638
0.135955,0.035711,-0.320071,-0.454699,-1.719463,-0.173534,0.548356,0.065684,-0.833662
0.132677,-0.012589,-0.261275,-0.378578,-1.442147,-0.146414,0.534941,0.070038,-0.841982
0.089472,-0.045569,-0.145474,-0.375776,-1.200882,-0.084987,0.523626,0.073828,-0.848743
0.042172,-0.064638,-0.036298,-0.457953,-0.952783,-0.025742,0.514361,0.077638,-0.854052
0.020388,-0.070810,0.012745,-0.605781,-0.735345,-0.027234,0.507108,0.082300,-0.857944
0.013643,-0.097285,0.050199,-0.787056,-0.574461,-0.113218,0.501417,0.088633,-0.860654
-0.001680,-0.132767,0.054784,-0.972889,-0.455355,-0.292813,0.496798,0.097245,-0.862401
0.001550,-0.150899,0.051188,-1.178397,-0.435971,-0.502515,0.492575,0.108541,-0.863475
0.018782,-0.143442,0.077606,-1.423049,-0.461045,-0.709490,0.487963,0.122813,-0.864181
0.030092,-0.136527,0.100151,-1.682313,-0.452873,-0.909435,0.482893,0.140265,-0.864372
0.036361,-0.130876,0.098795,-1.923586,-0.394543,-1.071795,0.477677,0.160753,-0.863703
0.038689,-0.113660,0.070715,-2.119163,-0.304494,-1.202999,0.472663,0.183774,-0.861868
0.043800,-0.105692,0.044599,-2.228705,-0.209275,-1.318964,0.467934,0.208597,-0.858793
