ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.055984,0.215078,-0.403827,2.073669,0.217320,-0.049430,-0.629044,0.198039,-0.751721
-0.064516,0.267296,-0.429386,2.279988,-0.180241,-0.749611,-0.629500,0.179069,-0.756085
-0.082411,0.334841,-0.484076,2.394921,-0.884006,-1.647276,-0.635378,0.153685,-0.756754
-0.102011,0.391624,-0.515762,2.429783,-1.802227,-2.661599,-0.648462,0.121453,-0.751496
-0.071981,0.409296,-0.482741,2.456639,-2.888490,-3.621185,-0.669184,0.082281,-0.738527
-0.031520,0.397480,-0.373728,2.486539,-3.978640,-4.438967,-0.696797,0.036389,-0.716345
-0.000426,0.387218,-0.284897,2.449313,-4.785541,-4.994480,-0.728334,-0.014995,-0.685058
0.069315,0.389980,-0.279773,2.341273,-5.198129,-5.267656,-0.759760,-0.069622,-0.646466
0.072565,0.356822,-0.246357,2.268000,-5.170904,-5.171010,-0.787394,-0.124904,-0.603664
-0.002916,0.319645,-0.156331,2.384453,-4.811684,-4.781392,-0.809096,-0.178486,-0.559916
-0.010949,0.190042,-0.014035,2.667457,-4.128647,-4.366134,-0.824119,-0.229669,-0.517764
0.084378,0.044333,0.029890,2.924516,-3.004755,-4.015764,-0.831433,-0.278632,-0.480711
0.207949,0.023553,-0.005334,3.115695,-1.742449,-3.622778,-0.830966,-0.324776,-0.451682
0.296598,0.011777,0.072476,3.239274,-0.625239,-3.154865,-0.824354,-0.367154,-0.430859
0.352834,-0.028106,0.228354,3.185936,0.286772,-2.614096,-0.813847,-0.404695,-0.416983
0.420970,-0.075695,0.377698,2.882063,1.072427,-1.989262,-0.801219,-0.436145,-0.409665
0.529992,-0.088269,0.494658,2.351313,1.665801,-1.344548,-0.788064,-0.460193,-0.408873
0.565631,-0.107342,0.607455,1.719682,1.926083,-0.877129,-0.775332,-0.477298,-0.413577
0.519329,-0.140411,0.703352,1.020056,1.855724,-0.453296,-0.764080,-0.488221,-0.421690
0.568503,-0.143330,0.793381,0.287292,1.467516,-0.032324,-0.755698,-0.492886,-0.431259
0.596913,-0.153520,0.853425,-0.437288,1.016051,0.393206,-0.751149,-0.491194,-0.441026
0.594202,-0.109602,0.788319,-1.106530,0.628896,0.844741,-0.750513,-0.483034,-0.451008
0.584108,-0.083134,0.718976,-1.679864,0.372785,1.295275,-0.753389,-0.468517,-0.461407
0.529326,-0.072692,0.625096,-2.131921,0.298530,1.710501,-0.758818,-0.448060,-0.472691
0.459139,-0.055421,0.508267,-2.473951,0.417520,2.062789,-0.765429,-0.422454,-0.485440
0.401801,-0.040231,0.388881,-2.728007,0.728815,2.424276,-0.771811,-0.392203,-0.500484
0.335583,0.004809,0.265568,-2.870340,1.127080,2.818072,-0.776943,-0.357409,-0.518284
0.291079,0.040210,0.171793,-2.911548,1.511377,3.181365,-0.780123,-0.318515,-0.538477
0.259681,0.038606,0.124366,-2.926835,1.858264,3.521863,-0.780815,-0.276064,-0.560462
0.208052,0.064601,0.075612,-2.979874,2.142409,3.810734,-0.778624,-0.230266,-0.583715
0.151127,0.085273,0.029223,-3.044397,2.327256,3.965342,-0.773274,-0.181785,-0.607455
0.116887,0.090406,0.009513,-3.081569,2.385978,3.996797,-0.764836,-0.131834,-0.630591
0.086247,0.102111,0.005054,-3.064898,2.328958,3.926928,-0.753850,-0.081679,-0.651950
0.040413,0.103113,0.001732,-2.998797,2.229462,3.769438,-0.740898,-0.032526,-0.670829
0.005586,0.098136,-0.014392,-2.915843,2.200445,3.576891,-0.726152,0.014779,-0.687375
-0.019756,0.097475,-0.048117,-2.842978,2.372439,3.448514,-0.708973,0.060209,-0.702661
-0.053634,0.130307,-0.144908,-2.759982,2.881714,3.487939,-0.687455,0.104541,-0.718663
-0.096549,0.205948,-0.347327,-2.562264,3.388503,3.593897,-0.659860,0.148133,-0.736642
-0.182874,0.219930,-0.425610,-2.174630,3.476192,3.532159,-0.627825,0.189143,-0.755023
-0.239915,0.203403,-0.334563,-1.623002,3.167715,3.234643,-0.595076,0.224683,-0.771623
-0.244197,0.221440,-0.282689,-0.975731,2.575108,2.713427,-0.565327,0.252300,-0.785334
-0.233350,0.243688,-0.250807,-0.329415,1.903904,2.029348,-0.541247,0.270701,-0.796098
-0.220978,0.263502,-0.243001,0.226150,1.284740,1.255085,-0.523910,0.279864,-0.804484
-0.217453,0.237117,-0.271232,0.661093,0.799043,0.478038,-0.513077,0.280690,-0.811151
-0.229477,0.194855,-0.293475,0.974023,0.396116,-0.176399,-0.507812,0.274658,-0.816511
-0.234790,0.180174,-0.275333,1.165272,0.059988,-0.626733,-0.507093,0.263674,-0.820569
-0.227062,0.192400,-0.246405,1.240612,-0.172373,-0.881950,-0.509587,0.249754,-0.823374
-0.194724,0.189049,-0.227824,1.214363,-0.274462,-0.970316,-0.513787,0.234718,-0.825185
-0.164677,0.173632,-0.225757,1.144821,-0.305963,-0.941456,-0.518413,0.219922,-0.826367
-0.154885,0.153678,-0.209094,1.079546,-0.348992,-0.874181,-0.523063,0.205941,-0.827039
