ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.152124,0.121260,-0.253927,-0.695046,1.406049,1.002751,-0.380179,0.465287,-0.799357
-0.137778,0.146757,-0.247697,-0.603634,1.113060,0.871460,-0.365548,0.474062,-0.801024
-0.096302,0.099565,-0.175757,-0.467990,0.790296,0.672109,-0.354183,0.481200,-0.801874
-0.104305,0.094500,-0.175318,-0.303389,0.533914,0.435670,-0.346180,0.486265,-0.802313
-0.095629,0.088873,-0.174429,-0.152315,0.391106,0.196706,-0.340971,0.489176,-0.802774
-0.103983,0.078816,-0.185937,-0.037654,0.391707,-0.020427,-0.337454,0.490214,-0.803626
-0.115021,0.068435,-0.201186,0.042390,0.478910,-0.175306,-0.334473,0.489839,-0.805100
-0.121394,0.064970,-0.198256,0.097568,0.633096,-0.258288,-0.331075,0.488528,-0.807298
-0.120139,0.054244,-0.201091,0.138406,0.817065,-0.283262,-0.326531,0.486650,-0.810277
-0.106367,0.049354,-0.207711,0.166471,1.021443,-0.261201,-0.320360,0.484505,-0.814017
-0.080532,0.078723,-0.236040,0.191575,1.136422,-0.203219,-0.312580,0.482297,-0.818342
-0.066864,0.130030,-0.244634,0.232673,1.201869,-0.162490,-0.303802,0.479986,-0.822993
-0.032824,0.195436,-0.300474,0.271572,1.108271,-0.085761,-0.294660,0.477508,-0.827745
0.012901,0.347645,-0.408094,0.349085,0.771504,0.071475,-0.286796,0.474941,-0.831973
0.029085,0.597725,-0.626813,0.715355,0.115786,0.095749,-0.282289,0.471062,-0.835711
0.020598,0.804635,-0.848350,1.772058,-0.982077,-0.489711,-0.286497,0.460578,-0.840111
-0.000697,0.814212,-0.871777,3.491857,-2.125968,-1.765756,-0.304723,0.435223,-0.847186
-0.065892,0.750220,-0.877352,5.349976,-2.922572,-3.287291,-0.337017,0.389078,-0.857344
-0.167432,0.750318,-0.884049,6.817813,-3.431507,-4.594424,-0.378894,0.321673,-0.867736
-0.231634,0.748856,-0.805529,7.625969,-3.645580,-5.575020,-0.424372,0.237365,-0.873823
-0.182946,0.690336,-0.697690,7.831886,-3.789915,-6.258673,-0.468314,0.142489,-0.871997
-0.006764,0.638264,-0.476752,7.619228,-4.206476,-6.644621,-0.508968,0.043133,-0.859704
0.222541,0.596469,-0.155822,7.107887,-4.841695,-6.719715,-0.547157,-0.055469,-0.835190
0.406734,0.535977,0.099134,6.426468,-4.989179,-6.380835,-0.581310,-0.148587,-0.800001
0.535501,0.470796,0.142170,5.815905,-4.008571,-5.457013,-0.605814,-0.232179,-0.760975
0.571962,0.368367,0.126557,5.459608,-2.190024,-3.946329,-0.616533,-0.303304,-0.726563
0.538142,0.173904,0.280272,5.297779,-0.250313,-2.343672,-0.614771,-0.361221,-0.701125
0.506184,-0.104905,0.571226,5.066339,1.200682,-1.135315,-0.604604,-0.407852,-0.684187
0.488217,-0.264538,0.896475,4.545507,1.995305,-0.476736,-0.590146,-0.445438,-0.673285
0.486051,-0.259419,1.120934,3.681748,2.290579,-0.236763,-0.573957,-0.475276,-0.666848
0.507632,-0.202135,1.207202,2.557872,2.151994,-0.194073,-0.557894,-0.497420,-0.664325
0.498045,-0.149800,1.270792,1.367078,1.687187,-0.175790,-0.544035,-0.511561,-0.665079
0.466302,-0.098791,1.315900,0.259327,1.174859,-0.089933,-0.533761,-0.517709,-0.668637
0.430925,-0.058883,1.261632,-0.683302,0.823204,0.089636,-0.527086,-0.516221,-0.675053
0.384440,-0.031278,1.130488,-1.423474,0.746611,0.313950,-0.522868,-0.507876,-0.684596
0.346962,0.007206,0.982622,-2.014014,0.908966,0.569096,-0.519402,-0.493595,-0.697557
0.300137,0.048158,0.831490,-2.531505,1.190631,0.892176,-0.515515,-0.473649,-0.714074
0.251283,0.088537,0.696242,-3.018610,1.475486,1.234054,-0.510713,-0.447943,-0.733839
0.224817,0.104265,0.601121,-3.487964,1.657429,1.538915,-0.504968,-0.416475,-0.756013
0.225632,0.104968,0.552478,-3.945847,1.735364,1.840129,-0.498566,-0.379229,-0.779498
0.244409,0.127114,0.510243,-4.405324,1.644983,2.152562,-0.492227,-0.336053,-0.802983
0.246071,0.153500,0.482784,-4.863453,1.492563,2.488037,-0.486672,-0.286679,-0.825207
0.218917,0.201990,0.383380,-5.279026,1.409575,2.786987,-0.481399,-0.231134,-0.845478
0.201092,0.243049,0.236958,-5.534967,1.311366,2.974832,-0.475491,-0.170646,-0.863011
0.193189,0.265412,0.151979,-5.555325,1.087645,3.042692,-0.469160,-0.107651,-0.876527
0.178863,0.270568,0.115938,-5.338596,0.802497,2.984404,-0.463088,-0.045104,-0.885164
0.171385,0.248073,0.071605,-4.965604,0.486226,2.819687,-0.457792,0.014409,-0.888942
0.155071,0.206617,0.029935,-4.536533,0.261757,2.613047,-0.453396,0.069338,-0.888608
0.111068,0.182327,-0.036203,-4.149215,0.253806,2.476279,-0.448837,0.119553,-0.885580
0.024721,0.207146,-0.160643,-3.832365,0.464179,2.465408,-0.442171,0.166053,-0.881426
