ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.029672,0.418444,-0.690517,1.420421,-2.329160,-0.939892,-0.382926,0.576108,-0.722127
-0.082363,0.457285,-0.946927,2.516712,-1.874942,-0.832497,-0.403370,0.558340,-0.724948
-0.066564,0.483328,-0.936377,3.730636,-1.277245,-0.686639,-0.419169,0.532297,-0.735498
-0.082336,0.517217,-0.971228,4.970131,-0.673309,-0.514324,-0.429535,0.497127,-0.753900
-0.085446,0.556424,-0.888948,6.092292,-0.234161,-0.278059,-0.434894,0.452655,-0.778441
-0.056146,0.599867,-0.693511,6.947438,0.124593,0.022581,-0.435873,0.399950,-0.806260
-0.017696,0.630737,-0.478689,7.478494,0.392301,0.352570,-0.433003,0.341065,-0.834376
-0.012666,0.651254,-0.232385,7.709402,0.595690,0.683558,-0.427153,0.278403,-0.860251
-0.027533,0.641774,0.001534,7.680126,0.768634,0.989499,-0.419091,0.214382,-0.882271
-0.074472,0.596226,0.206868,7.445946,0.996610,1.223709,-0.409201,0.151104,-0.899846
-0.144524,0.497967,0.349073,7.013596,1.287185,1.321317,-0.397240,0.090244,-0.913267
-0.166781,0.353852,0.480183,6.378012,1.469765,1.242385,-0.383588,0.033370,-0.922901
-0.156335,0.170956,0.664796,5.544796,1.382847,0.942513,-0.370017,-0.018063,-0.928850
-0.134896,-0.071446,0.891185,4.533019,1.034482,0.448984,-0.358893,-0.062710,-0.931270
-0.082425,-0.313768,1.104337,3.383742,0.645651,-0.133731,-0.351184,-0.099287,-0.931027
0.004518,-0.472468,1.231119,2.159079,0.356435,-0.652568,-0.346071,-0.126653,-0.929620
0.093710,-0.513503,1.278741,0.940590,0.075031,-0.980004,-0.342886,-0.143983,-0.928277
0.143691,-0.449295,1.282581,-0.158472,-0.203161,-1.054710,-0.341994,-0.151077,-0.927478
0.159089,-0.328058,1.216436,-1.017758,-0.304962,-0.907405,-0.343004,-0.148856,-0.927465
0.167503,-0.213403,1.077552,-1.649529,-0.178904,-0.594050,-0.344307,-0.138938,-0.928520
0.149067,-0.134824,0.945873,-2.190605,0.166051,-0.181319,-0.343967,-0.122317,-0.930981
0.122440,-0.076419,0.828976,-2.744386,0.627347,0.237836,-0.340289,-0.099087,-0.935085
0.100751,-0.042134,0.754400,-3.372114,1.023741,0.559656,-0.332745,-0.068904,-0.940496
0.099684,-0.039905,0.727383,-4.043619,1.215892,0.735079,-0.322325,-0.031567,-0.946102
0.091477,-0.058312,0.710928,-4.701119,1.212460,0.788985,-0.310730,0.012612,-0.950414
0.069466,-0.055635,0.683986,-5.309509,1.071739,0.724288,-0.299447,0.062898,-0.952038
0.046962,-0.022068,0.611311,-5.827121,0.834556,0.531693,-0.289714,0.118123,-0.949796
0.007115,0.028887,0.490764,-6.194721,0.615344,0.228963,-0.282338,0.176557,-0.942928
-0.081337,0.078546,0.319341,-6.363151,0.604671,-0.136087,-0.276619,0.236044,-0.931539
-0.141664,0.108356,0.098653,-6.269350,0.686700,-0.480569,-0.271437,0.294064,-0.916432
-0.138878,0.141895,-0.065943,-5.893613,0.709097,-0.723365,-0.267021,0.348096,-0.898626
-0.110903,0.198579,-0.157490,-5.257363,0.677452,-0.826663,-0.263730,0.396011,-0.879558
-0.061747,0.256002,-0.202736,-4.435472,0.560576,-0.796403,-0.261678,0.436335,-0.860893
0.001572,0.288073,-0.195773,-3.601519,0.342015,-0.678093,-0.261140,0.468793,-0.843824
0.049409,0.297465,-0.166163,-2.949867,0.067907,-0.573877,-0.262421,0.494573,-0.828573
0.085784,0.290737,-0.192182,-2.522168,-0.161830,-0.528536,-0.265640,0.515629,-0.814593
0.097952,0.288967,-0.274423,-2.197802,-0.265622,-0.467150,-0.270117,0.533436,-0.801550
0.053653,0.296635,-0.330101,-1.904843,-0.148240,-0.359818,-0.274158,0.548702,-0.789787
-0.003902,0.294198,-0.378165,-1.669241,0.138196,-0.237513,-0.275928,0.561927,-0.779809
-0.028583,0.276873,-0.401771,-1.567601,0.474839,-0.120207,-0.274563,0.573988,-0.771462
-0.029383,0.262792,-0.380840,-1.600374,0.782141,-0.003995,-0.270040,0.585993,-0.763996
-0.030714,0.263004,-0.337271,-1.703467,0.998747,0.110161,-0.262865,0.598751,-0.756570
-0.030158,0.256237,-0.279106,-1.805037,1.086391,0.218962,-0.253899,0.612477,-0.748604
-0.013293,0.220114,-0.224336,-1.829842,1.037525,0.289849,-0.244290,0.626779,-0.739912
0.005832,0.162493,-0.209292,-1.717041,0.941022,0.308695,-0.235065,0.640699,-0.730924
-0.017098,0.114489,-0.241167,-1.453667,0.970566,0.295882,-0.226219,0.653058,-0.722731
-0.068953,0.088738,-0.326311,-1.094951,1.205159,0.263841,-0.216539,0.662941,-0.716673
-0.091143,0.071780,-0.396399,-0.721906,1.407649,0.208232,-0.205488,0.669965,-0.713388
-0.081993,0.075855,-0.365615,-0.384085,1.412110,0.124758,-0.194145,0.674252,-0.712525
-0.067797,0.095984,-0.284028,-0.072911,1.224976,0.049028,-0.184050,0.676050,-0.713500
