ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.154687,0.174237,-0.280336,-0.827767,-1.006833,0.832536,0.580206,0.230502,-0.781172
0.203364,0.251103,-0.395441,-0.766930,-0.975394,0.821791,0.574346,0.232082,-0.785025
0.253656,0.301278,-0.422476,-0.430837,-1.077329,0.689460,0.568152,0.232566,-0.789378
0.262109,0.303187,-0.415904,0.110915,-1.391400,0.444856,0.559699,0.230657,-0.795949
0.271439,0.286997,-0.402135,0.776937,-1.803499,0.106299,0.547592,0.225576,-0.805766
0.267273,0.267801,-0.377271,1.557635,-2.452371,-0.262058,0.530060,0.216498,-0.819857
0.236517,0.252638,-0.269504,2.371149,-2.962075,-0.614632,0.506403,0.202394,-0.838208
0.169535,0.216908,-0.296172,3.132734,-3.198130,-0.877534,0.478536,0.182597,-0.858872
0.094880,0.214328,-0.316170,3.861826,-3.286021,-1.026583,0.448470,0.156461,-0.879997
0.051911,0.215927,-0.230177,4.546791,-3.295334,-1.109419,0.417435,0.123428,-0.900285
0.013169,0.165049,-0.093540,5.128303,-3.272990,-1.151311,0.386184,0.083654,-0.918621
-0.015008,0.105858,0.052396,5.523563,-3.175359,-1.132143,0.355340,0.038170,-0.933958
-0.028109,0.067144,0.182074,5.693303,-2.933178,-1.027992,0.326219,-0.011267,-0.945227
-0.021747,0.050355,0.300276,5.636021,-2.542803,-0.827670,0.300342,-0.062517,-0.951780
-0.015504,0.047511,0.407831,5.382258,-2.028147,-0.536398,0.278931,-0.113398,-0.953592
-0.047612,0.044818,0.514166,5.021163,-1.400498,-0.180047,0.262914,-0.162295,-0.951071
-0.114813,0.004859,0.637925,4.618370,-0.719794,0.167407,0.252782,-0.208274,-0.944840
-0.193364,-0.080449,0.770102,4.172608,-0.022302,0.371388,0.248586,-0.250606,-0.935629
-0.306513,-0.208490,0.906857,3.571479,0.632990,0.305633,0.250543,-0.287878,-0.924313
-0.400012,-0.376448,1.051917,2.605326,1.070425,0.018530,0.258060,-0.317110,-0.912604
-0.439147,-0.474822,1.169899,1.191493,1.123724,-0.327158,0.268844,-0.334290,-0.903312
-0.429075,-0.462722,1.237042,-0.554507,0.798640,-0.642360,0.279341,-0.335954,-0.899502
-0.385357,-0.407635,1.234708,-2.360183,0.334711,-0.932172,0.287106,-0.320453,-0.902707
-0.237344,-0.252351,1.180988,-3.895639,-0.166347,-1.261924,0.291238,-0.288497,-0.912113
-0.145452,-0.138709,1.070331,-5.058163,-0.622690,-1.648849,0.291418,-0.242639,-0.925312
-0.107022,-0.102837,0.928552,-5.866813,-0.903656,-1.972444,0.288037,-0.185905,-0.939401
-0.058752,-0.034120,0.763587,-6.374105,-0.902671,-2.099928,0.282430,-0.121642,-0.951544
-0.049004,0.079861,0.565100,-6.646843,-0.594622,-2.023295,0.276894,-0.053097,-0.959432
-0.040306,0.200155,0.370843,-6.804108,0.037703,-1.733898,0.274284,0.017146,-0.961496
-0.046652,0.349518,0.083697,-6.939371,1.152328,-1.258865,0.279028,0.087692,-0.956271
-0.068360,0.476632,-0.324898,-6.807940,2.269758,-0.737074,0.294389,0.156486,-0.942787
-0.031089,0.525671,-0.474500,-6.237943,2.747248,-0.162251,0.317558,0.219354,-0.922519
0.048832,0.597323,-0.399349,-5.209039,2.595957,0.329098,0.342510,0.271741,-0.899357
0.151542,0.574152,-0.355968,-3.962106,2.364013,0.487909,0.365792,0.311117,-0.877156
0.228726,0.419788,-0.459813,-2.801399,1.766297,0.393757,0.385929,0.339123,-0.857936
0.238342,0.372785,-0.243117,-1.539789,0.919230,0.298207,0.398544,0.356341,-0.845094
0.216604,0.396673,-0.118846,-0.342456,0.275539,0.185162,0.404307,0.363261,-0.839391
0.190721,0.361839,-0.170444,0.630064,-0.083353,0.059202,0.405486,0.361397,-0.839627
0.108523,0.337981,-0.189671,1.242784,-0.261714,-0.032770,0.403929,0.353242,-0.843837
0.023740,0.307899,-0.220276,1.573399,-0.250412,-0.137660,0.401400,0.341470,-0.849868
-0.024934,0.221219,-0.212340,1.691931,-0.233642,-0.232454,0.398713,0.328113,-0.856370
-0.048116,0.154729,-0.144119,1.670585,-0.248238,-0.339991,0.395742,0.314646,-0.862778
-0.042291,0.084068,-0.070577,1.542005,-0.288024,-0.474432,0.392144,0.302208,-0.868846
-0.028420,0.017557,-0.017049,1.318150,-0.334144,-0.614148,0.387795,0.291754,-0.874354
-0.013405,-0.028122,0.019915,1.020123,-0.407583,-0.731548,0.382576,0.284028,-0.879184
0.005091,-0.060869,0.058356,0.674191,-0.473608,-0.809032,0.376471,0.279451,-0.883276
0.017805,-0.083161,0.073251,0.303038,-0.514415,-0.835600,0.369738,0.278184,-0.886514
0.020027,-0.099527,0.074433,-0.059729,-0.510187,-0.812687,0.362816,0.280160,-0.888749
0.013476,-0.105452,0.068677,-0.369753,-0.449499,-0.744985,0.356275,0.284941,-0.889874
0.009255,-0.105154,0.059017,-0.606965,-0.342603,-0.654592,0.350685,0.291845,-0.889858
