ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.037819,-0.006292,-0.053643,-0.975023,-0.458428,-0.210009,-0.529548,0.094549,-0.842994
-0.032681,-0.013638,-0.057752,-1.062870,-0.710684,-0.279797,-0.534687,0.101895,-0.838885
0.000014,-0.026022,-0.054224,-1.060606,-1.040743,-0.367647,-0.542357,0.109137,-0.833029
0.015418,-0.012027,-0.105575,-0.958160,-1.457777,-0.463142,-0.553198,0.115329,-0.825028
0.010807,0.040317,-0.156265,-0.763939,-1.896132,-0.569702,-0.567646,0.119564,-0.814545
0.005184,0.085211,-0.271747,-0.455554,-2.291584,-0.665774,-0.585445,0.120996,-0.801632
-0.054243,0.168118,-0.433636,-0.040387,-2.580009,-0.708694,-0.605821,0.118869,-0.786671
-0.144880,0.295491,-0.599287,0.341553,-2.653585,-0.643247,-0.627261,0.113399,-0.770509
-0.256576,0.445585,-0.800350,0.566025,-2.382130,-0.463235,-0.647385,0.106264,-0.754719
-0.369377,0.578748,-1.057411,0.758394,-1.686491,-0.258732,-0.663277,0.098987,-0.741798
-0.479434,0.580172,-1.341624,1.120634,-0.467665,-0.189574,-0.671720,0.090680,-0.735234
-0.546583,0.463407,-1.626557,1.682683,0.936952,-0.239699,-0.670107,0.078966,-0.738052
-0.540004,0.373418,-1.654753,2.399879,2.053364,-0.337510,-0.658956,0.061839,-0.749635
-0.512066,0.360850,-1.395885,3.152844,2.804289,-0.403763,-0.640415,0.038198,-0.767079
-0.446543,0.399252,-0.989963,3.747271,3.189455,-0.422176,-0.616934,0.008509,-0.786969
-0.350064,0.408847,-0.509950,4.083093,3.292167,-0.452406,-0.590778,-0.025669,-0.806426
-0.223285,0.367682,-0.036212,4.157576,3.017669,-0.490741,-0.564465,-0.062308,-0.823102
-0.076179,0.298784,0.490487,4.059118,2.222203,-0.523370,-0.541940,-0.099459,-0.834511
0.073014,0.212418,1.030831,3.831676,1.129525,-0.573231,-0.527147,-0.135667,-0.838875
0.230269,0.108156,1.337600,3.543879,0.159634,-0.647299,-0.520919,-0.169954,-0.836516
0.357263,-0.009386,1.396544,3.262120,-0.478563,-0.745135,-0.521143,-0.202116,-0.829192
0.438034,-0.114212,1.368297,2.928189,-0.785788,-0.826570,-0.524795,-0.231918,-0.819026
0.509903,-0.161548,1.326067,2.524968,-0.926050,-0.844807,-0.529739,-0.258710,-0.807741
0.583444,-0.153646,1.342942,2.081952,-1.045408,-0.745953,-0.535516,-0.281611,-0.796189
0.659453,-0.108741,1.384614,1.598517,-1.156591,-0.551527,-0.542357,-0.299798,-0.784837
0.726659,-0.071791,1.408970,1.098532,-1.310574,-0.313214,-0.550649,-0.312761,-0.773929
0.752497,-0.056569,1.435190,0.536674,-1.570449,-0.049305,-0.561137,-0.320156,-0.763299
0.715836,-0.008278,1.466701,-0.136057,-1.920102,0.207956,-0.574693,-0.321282,-0.752666
0.625816,0.073666,1.454375,-0.920645,-2.153869,0.481412,-0.591224,-0.315366,-0.742293
0.495695,0.162696,1.273712,-1.768077,-2.090638,0.820811,-0.609129,-0.301475,-0.733536
0.342758,0.265742,0.947955,-2.517127,-1.693862,1.158525,-0.626099,-0.279475,-0.727939
0.174310,0.307754,0.559017,-3.025525,-1.043933,1.431668,-0.639612,-0.250839,-0.726620
0.043341,0.285826,0.227441,-3.326565,-0.432101,1.590878,-0.648535,-0.217635,-0.729409
-0.052834,0.231544,0.027416,-3.408348,-0.025384,1.597416,-0.653327,-0.182243,-0.734814
-0.125500,0.168093,-0.100860,-3.255461,0.166670,1.491668,-0.655292,-0.147219,-0.740891
-0.193980,0.139864,-0.225247,-2.906941,0.247399,1.315174,-0.655569,-0.114809,-0.746357
-0.250101,0.132752,-0.363513,-2.414551,0.299810,1.097963,-0.654730,-0.086762,-0.750867
-0.279167,0.113201,-0.488795,-1.871307,0.358707,0.910466,-0.652993,-0.063961,-0.754659
-0.307483,0.136220,-0.575809,-1.382346,0.443161,0.776219,-0.650418,-0.046117,-0.758175
-0.327850,0.197289,-0.610795,-0.974486,0.495925,0.684272,-0.647080,-0.032403,-0.761733
-0.331221,0.212276,-0.553778,-0.670760,0.452394,0.576616,-0.643571,-0.022029,-0.765069
-0.304396,0.162364,-0.439934,-0.472279,0.343339,0.441395,-0.640566,-0.014369,-0.767769
-0.262216,0.101535,-0.342940,-0.345286,0.197266,0.311453,-0.638510,-0.008822,-0.769563
-0.237832,0.064245,-0.278152,-0.273156,0.111679,0.221587,-0.637413,-0.004766,-0.770508
-0.199569,0.019996,-0.276528,-0.261819,0.165990,0.183222,-0.636368,-0.001441,-0.771384
-0.147287,-0.038783,-0.280380,-0.307987,0.232144,0.167959,-0.634818,0.001872,-0.772660
-0.124017,-0.071646,-0.228131,-0.394613,0.336078,0.136160,-0.632651,0.005591,-0.774417
-0.118890,-0.095981,-0.197531,-0.502057,0.548276,0.086659,-0.629233,0.009784,-0.777155
-0.101415,-0.130230,-0.193465,-0.615985,0.782633,0.066996,-0.623988,0.014630,-0.781297
-0.077202,-0.128340,-0.147849,-0.726872,0.914333,0.083945,-0.617225,0.020368,-0.786523
