ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.103860,0.334507,-0.988465,3.731299,1.524094,0.545546,-0.232627,-0.302250,-0.924408
-0.160999,0.424518,-1.098773,4.662331,2.086755,0.744007,-0.217938,-0.339634,-0.914960
-0.224372,0.559310,-1.037857,5.472698,2.495959,0.990513,-0.200036,-0.384231,-0.901306
-0.217161,0.646300,-0.842089,6.045622,2.731351,1.284286,-0.181170,-0.433883,-0.882566
-0.167943,0.672642,-0.576608,6.352520,2.753821,1.615750,-0.163707,-0.485798,-0.858604
-0.141889,0.641818,-0.268840,6.414069,2.502809,1.910075,-0.150409,-0.537280,-0.829884
-0.112602,0.541962,0.041673,6.307690,2.167855,2.036619,-0.142510,-0.586472,-0.797334
-0.067251,0.366643,0.318815,6.028488,1.724699,1.927466,-0.139384,-0.632115,-0.762235
-0.018287,0.169540,0.630355,5.512596,1.060015,1.634091,-0.140587,-0.672927,-0.726226
0.048687,-0.002030,0.934836,4.736582,0.307555,1.302684,-0.145886,-0.707474,-0.691519
0.069441,-0.086760,1.086992,3.777532,-0.158310,1.072342,-0.154158,-0.734713,-0.660631
0.028863,-0.061804,1.054048,2.690428,-0.125319,0.906516,-0.162683,-0.754267,-0.636095
-0.033287,0.011388,0.937368,1.545088,0.323300,0.748643,-0.168541,-0.766286,-0.620000
-0.073969,0.079884,0.837337,0.385400,1.024388,0.591510,-0.169577,-0.771123,-0.613688
-0.112222,0.121286,0.799442,-0.694744,1.665701,0.446829,-0.165213,-0.769236,-0.617237
-0.146856,0.146689,0.841026,-1.564245,2.096733,0.269845,-0.156123,-0.761450,-0.629142
-0.171316,0.125764,0.877026,-2.123540,2.270854,0.031457,-0.143183,-0.749268,-0.646603
-0.202806,0.078989,0.897721,-2.433211,2.214879,-0.212487,-0.127607,-0.734263,-0.666764
-0.216639,0.047966,0.914185,-2.621417,1.971026,-0.430897,-0.110922,-0.717399,-0.687775
-0.196271,0.043601,0.922582,-2.787234,1.595419,-0.617576,-0.094623,-0.698951,-0.708883
-0.162985,0.038140,0.907559,-2.994557,1.164420,-0.749031,-0.079858,-0.678659,-0.730099
-0.128181,0.033463,0.875893,-3.276963,0.672290,-0.820081,-0.067696,-0.655915,-0.751793
-0.087600,0.020778,0.839785,-3.630491,0.080375,-0.904828,-0.059220,-0.629955,-0.774370
-0.047708,-0.001459,0.762637,-3.925989,-0.478851,-0.990104,-0.054984,-0.600561,-0.797686
-0.035100,0.001115,0.608411,-4.087082,-0.921917,-1.056786,-0.054728,-0.568437,-0.820905
-0.051238,0.034447,0.425541,-4.101244,-1.230006,-1.108291,-0.057816,-0.534691,-0.843067
-0.059386,0.077830,0.209949,-3.928837,-1.350955,-1.126406,-0.063157,-0.500804,-0.863254
-0.055444,0.132124,-0.016228,-3.595470,-1.293146,-1.081450,-0.069434,-0.468473,-0.880745
-0.041276,0.186785,-0.183797,-3.214763,-1.144734,-0.962211,-0.075637,-0.438830,-0.895381
-0.022962,0.228935,-0.257855,-2.922482,-0.995274,-0.770222,-0.081622,-0.411766,-0.907627
0.009032,0.242243,-0.243051,-2.804511,-0.880918,-0.546211,-0.087539,-0.386134,-0.918280
0.052762,0.199851,-0.176444,-2.816158,-0.858359,-0.415588,-0.093793,-0.360496,-0.928033
0.096177,0.101438,-0.138862,-2.779394,-0.891325,-0.435729,-0.100541,-0.334577,-0.936990
0.104017,0.014803,-0.190978,-2.554808,-0.895988,-0.533112,-0.107465,-0.309724,-0.944734
0.068788,-0.004497,-0.307294,-2.132365,-0.875528,-0.639278,-0.114167,-0.287923,-0.950824
0.030275,0.021466,-0.427837,-1.545994,-0.792818,-0.705342,-0.120333,-0.271024,-0.955022
0.017530,0.073099,-0.513264,-0.918266,-0.649431,-0.675394,-0.125440,-0.260065,-0.957409
0.035509,0.131877,-0.528610,-0.390476,-0.492900,-0.529975,-0.129351,-0.254650,-0.958343
0.069521,0.165158,-0.483079,-0.052750,-0.368122,-0.300260,-0.132418,-0.253186,-0.958312
0.095483,0.163797,-0.407242,0.100660,-0.277226,-0.051498,-0.135064,-0.253748,-0.957794
0.108597,0.137501,-0.327153,0.128675,-0.223171,0.151652,-0.137589,-0.254826,-0.957149
0.095758,0.095182,-0.259606,0.119972,-0.169929,0.277874,-0.140069,-0.255720,-0.956550
0.073056,0.038751,-0.220451,0.109542,-0.071516,0.346845,-0.142057,-0.256387,-0.956078
0.059603,-0.007598,-0.184057,0.081595,0.014957,0.381535,-0.143237,-0.256806,-0.955790
0.043352,-0.034520,-0.122758,0.000335,0.037267,0.402148,-0.143969,-0.256663,-0.955718
0.027186,-0.048927,-0.048707,-0.139428,0.015932,0.417348,-0.144754,-0.255425,-0.955931
0.023965,-0.070852,0.006708,-0.307919,-0.013334,0.397698,-0.145791,-0.252665,-0.956507
0.031186,-0.118854,0.013927,-0.397532,-0.014478,0.336158,-0.146893,-0.248638,-0.957393
0.014041,-0.158559,-0.040331,-0.328371,0.058308,0.245119,-0.147449,-0.244624,-0.958341
-0.034463,-0.150395,-0.114266,-0.148776,0.182954,0.160904,-0.146781,-0.241985,-0.959113
