ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.015267,0.035724,0.194788,-1.041823,-2.005601,0.162440,-0.353997,0.092221,-0.930689
0.039713,0.026939,0.280374,-1.440201,-2.511394,0.250636,-0.374812,0.104591,-0.921182
0.063710,0.021851,0.230019,-1.611141,-2.925301,0.263094,-0.399632,0.119857,-0.908806
0.030006,0.024064,-0.008199,-1.420058,-3.207152,0.161187,-0.427223,0.134719,-0.894053
-0.101003,0.024417,-0.280752,-0.963754,-3.255265,-0.064503,-0.456126,0.145688,-0.877909
-0.205854,0.043401,-0.601664,-0.423834,-3.031260,-0.303766,-0.483950,0.150889,-0.861989
-0.236335,0.097660,-0.825566,0.087179,-2.985760,-0.486436,-0.510262,0.150311,-0.846782
-0.259555,0.158263,-0.829211,0.605105,-3.075751,-0.608021,-0.536694,0.144502,-0.831311
-0.340171,0.246277,-0.855502,1.097096,-2.943515,-0.704479,-0.562722,0.133789,-0.815748
-0.427260,0.334851,-0.998269,1.540255,-2.465947,-0.840997,-0.585878,0.118610,-0.801673
-0.504282,0.336321,-1.176945,2.003196,-1.609603,-1.027011,-0.603399,0.098874,-0.791286
-0.550016,0.286689,-1.334665,2.523797,-0.531156,-1.238513,-0.612918,0.074013,-0.786673
-0.543109,0.247112,-1.348378,3.047548,0.493444,-1.415057,-0.613782,0.043720,-0.788264
-0.476171,0.238521,-1.172732,3.519187,1.413106,-1.429214,-0.606532,0.008748,-0.795011
-0.359209,0.311220,-0.911544,3.853522,2.255799,-1.211925,-0.591597,-0.029055,-0.805710
-0.257657,0.411856,-0.616044,3.965490,3.027951,-0.875499,-0.569445,-0.067251,-0.819274
-0.180798,0.443486,-0.270519,3.798608,3.618160,-0.575938,-0.541080,-0.103703,-0.834553
-0.117200,0.393420,0.116698,3.383999,3.953861,-0.373605,-0.508242,-0.136706,-0.850295
-0.049070,0.290095,0.535986,2.818604,3.788697,-0.269001,-0.474047,-0.165064,-0.864889
0.062773,0.161981,1.031001,2.193985,3.038990,-0.303067,-0.443373,-0.188287,-0.876338
0.191944,0.011922,1.429565,1.665607,1.982194,-0.435926,-0.420383,-0.206853,-0.883453
0.282966,-0.101990,1.590561,1.315038,1.095942,-0.604885,-0.405768,-0.222152,-0.886567
0.339619,-0.170314,1.515004,1.051165,0.583110,-0.719504,-0.396901,-0.235387,-0.887166
0.378771,-0.166871,1.378169,0.778973,0.282959,-0.716482,-0.391374,-0.246429,-0.886622
0.390081,-0.107380,1.288530,0.497303,0.156653,-0.618079,-0.387808,-0.254757,-0.885835
0.402357,-0.055312,1.215446,0.199180,0.146808,-0.458737,-0.385084,-0.259980,-0.885506
0.424200,-0.046121,1.161600,-0.115769,0.147030,-0.254811,-0.382819,-0.261755,-0.885965
0.423694,-0.027671,1.098098,-0.432380,0.144526,-0.007231,-0.381198,-0.259805,-0.887237
0.363803,0.049365,0.977597,-0.760553,0.148953,0.244111,-0.380130,-0.254062,-0.889356
0.292508,0.116392,0.872035,-1.180305,-0.044387,0.496390,-0.380460,-0.244016,-0.892024
0.236848,0.180123,0.834156,-1.662858,-0.362275,0.738992,-0.383744,-0.228875,-0.894626
0.167314,0.241013,0.732344,-2.158779,-0.631907,0.929397,-0.390138,-0.208389,-0.896864
0.091258,0.246719,0.558350,-2.609574,-0.783708,1.025288,-0.398539,-0.182907,-0.898728
0.025498,0.216566,0.335882,-2.928609,-0.792776,1.020685,-0.407501,-0.153578,-0.900198
-0.040027,0.192664,0.075305,-2.996370,-0.636559,0.918617,-0.415417,-0.122534,-0.901340
-0.119242,0.177641,-0.190358,-2.775958,-0.367027,0.734414,-0.420904,-0.092711,-0.902355
-0.155166,0.129870,-0.396012,-2.318163,-0.113872,0.522878,-0.423539,-0.066806,-0.903411
-0.147555,0.085710,-0.495103,-1.736468,-0.015464,0.341266,-0.424268,-0.046510,-0.904341
-0.139406,0.098576,-0.489526,-1.152145,-0.132357,0.204610,-0.424925,-0.032246,-0.904654
-0.118121,0.134454,-0.383178,-0.681592,-0.414977,0.114201,-0.427396,-0.023325,-0.903764
-0.110003,0.162986,-0.259522,-0.405039,-0.718273,0.067520,-0.432614,-0.018119,-0.901397
-0.104193,0.162091,-0.217815,-0.291217,-0.877627,0.061256,-0.439935,-0.014783,-0.897908
-0.098949,0.130134,-0.230358,-0.327600,-0.919091,0.080411,-0.448094,-0.011771,-0.893909
-0.093886,0.084956,-0.234473,-0.474976,-0.846146,0.126043,-0.456087,-0.007747,-0.889902
-0.089957,0.044785,-0.240116,-0.659870,-0.657311,0.163838,-0.462869,-0.001999,-0.886425
-0.089665,-0.006310,-0.257630,-0.823772,-0.372223,0.183644,-0.467509,0.005440,-0.883971
-0.095631,-0.062025,-0.283523,-0.954820,0.041752,0.187384,-0.469021,0.014249,-0.883072
-0.089690,-0.097672,-0.323972,-0.988163,0.439860,0.199466,-0.466752,0.023865,-0.884066
-0.075764,-0.103881,-0.291183,-0.887164,0.629077,0.201624,-0.461818,0.033218,-0.886353
-0.071717,-0.096202,-0.181051,-0.716364,0.626197,0.183666,-0.456039,0.041271,-0.889003
