ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.049187,0.009896,-0.119452,-0.508608,0.134563,0.020111,-0.724784,0.041526,-0.687723
-0.076878,0.060763,-0.117001,-0.642100,0.103958,0.154571,-0.723903,0.046125,-0.688358
-0.124618,0.106642,-0.128233,-0.821528,0.062141,0.253427,-0.723252,0.052706,-0.688570
-0.205992,0.142939,-0.211062,-0.914905,0.145724,0.247015,-0.722444,0.060659,-0.688764
-0.279773,0.133071,-0.373490,-0.812524,0.300850,0.095338,-0.720791,0.068055,-0.689803
-0.322721,0.079064,-0.527150,-0.457296,0.486409,-0.142565,-0.718081,0.072441,-0.692180
-0.364233,0.051647,-0.682396,0.125648,0.634878,-0.378703,-0.714319,0.071781,-0.696129
-0.384550,0.069180,-0.765878,0.795830,0.662561,-0.530359,-0.710039,0.065250,-0.701133
-0.401396,0.180064,-0.781109,1.454924,0.653094,-0.591432,-0.705736,0.053258,-0.706471
-0.424840,0.329330,-0.819157,2.102727,0.754544,-0.660376,-0.701091,0.036164,-0.712154
-0.497902,0.413714,-0.933354,2.797447,1.183839,-0.846992,-0.694466,0.013364,-0.719401
-0.579323,0.400577,-1.159640,3.655377,1.871623,-1.182617,-0.683372,-0.017062,-0.729871
-0.568786,0.337132,-1.266232,4.617651,2.523609,-1.536659,-0.666474,-0.056950,-0.743350
-0.514912,0.367748,-1.143434,5.583282,2.953321,-1.772272,-0.644359,-0.106457,-0.757277
-0.424493,0.483562,-0.885795,6.407449,3.197722,-1.844139,-0.618186,-0.164150,-0.768701
-0.322568,0.613620,-0.565251,6.977476,3.330646,-1.738055,-0.589266,-0.227237,-0.775325
-0.258169,0.743970,-0.247266,7.261559,3.497736,-1.508558,-0.558406,-0.292371,-0.776339
-0.195161,0.806083,0.028252,7.230399,3.697870,-1.243370,-0.525863,-0.356498,-0.772255
-0.105390,0.778908,0.356862,6.866576,3.551993,-1.016910,-0.493243,-0.416909,-0.763478
0.016138,0.684305,0.835330,6.123384,2.895007,-0.841188,-0.464289,-0.471048,-0.750033
0.218850,0.526043,1.409698,4.984138,1.715872,-0.670365,-0.443139,-0.516079,-0.733001
0.480600,0.325023,1.892783,3.682370,0.317886,-0.571615,-0.432458,-0.550349,-0.714210
0.624485,0.149280,2.054336,2.472884,-0.672058,-0.459944,-0.431065,-0.574329,-0.695938
0.613278,0.092221,1.903554,1.367897,-0.932964,-0.310394,-0.434704,-0.589292,-0.681005
0.583660,0.127922,1.603903,0.305974,-0.524654,-0.136882,-0.438503,-0.595955,-0.672720
0.551294,0.219907,1.369818,-0.661597,0.085463,0.066397,-0.439752,-0.594862,-0.672873
0.535268,0.285791,1.316940,-1.529189,0.516098,0.311887,-0.438680,-0.586557,-0.680816
0.539646,0.296883,1.367196,-2.399936,0.653896,0.628439,-0.437244,-0.570931,-0.694878
0.515150,0.314973,1.410925,-3.318622,0.548319,0.965406,-0.437361,-0.547181,-0.713659
0.441088,0.335211,1.382872,-4.239610,0.259756,1.272095,-0.440370,-0.514670,-0.735655
0.323145,0.343675,1.261476,-5.088277,-0.059876,1.501701,-0.446589,-0.473344,-0.759279
0.180618,0.323557,1.041897,-5.822953,-0.232875,1.584981,-0.454833,-0.423883,-0.783230
0.033138,0.279063,0.744431,-6.349175,-0.239316,1.502990,-0.462979,-0.367900,-0.806412
-0.084850,0.233157,0.434426,-6.573949,-0.125096,1.269736,-0.469273,-0.308078,-0.827569
-0.176284,0.195022,0.111892,-6.451832,0.081169,0.967749,-0.472657,-0.247757,-0.845702
-0.260747,0.201960,-0.207120,-5.987847,0.367588,0.651957,-0.472515,-0.190348,-0.860522
-0.309449,0.224788,-0.465864,-5.240267,0.641095,0.388197,-0.468978,-0.138866,-0.872225
-0.298092,0.246272,-0.603033,-4.387041,0.756474,0.218400,-0.463001,-0.095012,-0.881251
-0.253607,0.289625,-0.599068,-3.576128,0.577989,0.131165,-0.457055,-0.058851,-0.887489
-0.201651,0.329641,-0.528452,-2.872864,0.224536,0.126994,-0.453469,-0.029516,-0.890783
-0.167048,0.341618,-0.461273,-2.366828,-0.174717,0.171932,-0.453268,-0.005497,-0.891357
-0.143679,0.324555,-0.410314,-2.075892,-0.525312,0.196407,-0.456464,0.015152,-0.889613
-0.119636,0.280856,-0.422734,-1.879992,-0.691708,0.198228,-0.461968,0.033704,-0.886256
-0.132183,0.228574,-0.480195,-1.717586,-0.655634,0.186552,-0.467976,0.050586,-0.882292
-0.152024,0.180683,-0.521654,-1.607653,-0.477874,0.159708,-0.472961,0.066113,-0.878599
-0.141225,0.138714,-0.543042,-1.498083,-0.201211,0.136005,-0.475886,0.080540,-0.875811
-0.117955,0.099033,-0.543753,-1.331244,0.096142,0.123531,-0.476223,0.093655,-0.874323
-0.091218,0.064825,-0.506861,-1.102517,0.309199,0.126648,-0.474258,0.104975,-0.874105
-0.067058,0.043969,-0.427457,-0.855281,0.382532,0.156695,-0.470982,0.114249,-0.874713
-0.049913,0.042369,-0.320444,-0.654209,0.330986,0.191924,-0.467573,0.121679,-0.875540
