ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.288798,0.748529,-1.205436,4.025367,5.235382,0.455285,-0.193380,-0.148858,-0.969766
-0.341754,0.791005,-1.203773,4.902157,5.849906,1.104866,-0.140423,-0.191335,-0.971428
-0.356026,0.916050,-0.904629,5.478622,6.238350,1.743155,-0.084465,-0.240559,-0.966953
-0.406477,0.978713,-0.577768,5.767590,6.327564,2.186492,-0.028795,-0.293991,-0.955374
-0.488709,0.905923,-0.177241,5.848360,5.943078,2.243122,0.022660,-0.349328,-0.936727
-0.536390,0.676379,0.282872,5.807607,5.101159,1.897061,0.066373,-0.404528,-0.912114
-0.492387,0.386170,0.729877,5.675910,3.847617,1.325314,0.099977,-0.457810,-0.883411
-0.376077,0.096116,1.144146,5.384294,2.514254,0.739847,0.122766,-0.507356,-0.852947
-0.259306,-0.086270,1.375142,4.920766,1.413245,0.335853,0.136335,-0.551547,-0.822927
-0.218604,-0.070456,1.417835,4.304911,0.700540,0.104888,0.143454,-0.589379,-0.795017
-0.235172,0.049681,1.344697,3.560091,0.459137,0.032933,0.147449,-0.620482,-0.770235
-0.263641,0.170827,1.223059,2.707068,0.530745,0.089414,0.150772,-0.644551,-0.749548
-0.288125,0.238819,1.149129,1.865828,0.755616,0.180580,0.154595,-0.661762,-0.733601
-0.284574,0.266463,1.122518,1.193131,0.970435,0.231870,0.159574,-0.673202,-0.722036
-0.284978,0.284278,1.160090,0.723033,0.875796,0.208923,0.164861,-0.680412,-0.714045
-0.287357,0.289887,1.262482,0.369965,0.494488,0.086858,0.168781,-0.684571,-0.709137
-0.253708,0.223300,1.301457,-0.004383,0.021627,-0.067176,0.170594,-0.685916,-0.707402
-0.188427,0.152745,1.286153,-0.540988,-0.570742,-0.173252,0.169537,-0.683857,-0.709645
-0.123984,0.125385,1.265647,-1.266399,-1.237780,-0.256608,0.164542,-0.677082,-0.717277
-0.054367,0.071307,1.218000,-2.110155,-1.863478,-0.312255,0.155151,-0.664370,-0.731123
0.000372,0.005766,1.133656,-3.039403,-2.490862,-0.348414,0.141122,-0.644712,-0.751286
0.029934,-0.023618,1.047417,-3.958697,-3.087171,-0.395128,0.121952,-0.617266,-0.777245
0.000074,0.007546,0.889876,-4.673975,-3.443432,-0.582630,0.098666,-0.582222,-0.807021
-0.091713,0.050501,0.577391,-5.086636,-3.462791,-0.900585,0.074089,-0.541025,-0.837737
-0.184257,0.096759,0.213820,-5.063440,-3.137741,-1.241702,0.051185,-0.496600,-0.866469
-0.253859,0.154508,-0.170614,-4.655181,-2.541720,-1.480673,0.032545,-0.452924,-0.890955
-0.283632,0.252964,-0.457286,-4.134837,-1.893588,-1.531191,0.019090,-0.412739,-0.910649
-0.229349,0.323219,-0.577572,-3.774355,-1.384020,-1.416903,0.009913,-0.376121,-0.926517
-0.134935,0.318599,-0.594154,-3.597165,-0.937421,-1.209438,0.003770,-0.341503,-0.939873
-0.079255,0.271337,-0.613721,-3.483514,-0.502559,-1.054062,0.000611,-0.307806,-0.951449
-0.045925,0.199977,-0.648115,-3.298637,-0.096919,-1.018323,0.000789,-0.275111,-0.961412
-0.016864,0.141041,-0.715924,-2.982346,0.202077,-1.008276,0.004016,-0.244511,-0.969638
-0.048509,0.139892,-0.741884,-2.551532,0.455479,-1.074362,0.009599,-0.217300,-0.976058
-0.082504,0.115380,-0.789655,-2.017124,0.840724,-1.211170,0.018234,-0.194588,-0.980716
-0.059340,0.090097,-0.890857,-1.369606,1.303644,-1.259175,0.031172,-0.177514,-0.983624
-0.026377,0.133564,-0.918589,-0.724775,1.652375,-1.095524,0.047937,-0.166721,-0.984838
0.004576,0.199472,-0.838004,-0.201171,1.960073,-0.795547,0.067369,-0.161706,-0.984537
0.033618,0.215361,-0.743859,0.130359,2.236742,-0.470240,0.089215,-0.160978,-0.982917
0.067459,0.179487,-0.595329,0.330892,2.369256,-0.210467,0.112594,-0.162962,-0.980187
0.070636,0.111278,-0.422622,0.482762,2.343153,-0.060543,0.136090,-0.166836,-0.976548
0.045938,0.032253,-0.264295,0.599451,2.182420,-0.032130,0.158377,-0.172115,-0.972262
0.029722,-0.033322,-0.126929,0.669297,1.948164,-0.071454,0.178667,-0.178241,-0.967630
0.034410,-0.069473,-0.010646,0.698631,1.619632,-0.101452,0.196212,-0.184739,-0.963002
0.046272,-0.076090,0.098751,0.661418,1.211186,-0.108384,0.210106,-0.191137,-0.958813
0.047879,-0.075788,0.170364,0.569245,0.818201,-0.131721,0.220050,-0.196810,-0.955428
0.033544,-0.078482,0.179811,0.491296,0.567618,-0.180046,0.226908,-0.201532,-0.952837
0.011268,-0.074074,0.135767,0.436330,0.436015,-0.197724,0.232064,-0.205528,-0.950739
0.001938,-0.057038,0.104683,0.369441,0.343974,-0.162141,0.236145,-0.208968,-0.948983
-0.001074,-0.032673,0.096630,0.281518,0.305327,-0.084509,0.239478,-0.211788,-0.947521
-0.015236,-0.022230,0.093820,0.168504,0.305390,-0.029888,0.242485,-0.213824,-0.946298
