ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.012178,0.149444,-0.365841,1.795212,-1.510932,-0.374752,-0.504348,0.245850,-0.827763
-0.083014,0.161452,-0.486725,2.018253,-1.407764,-0.484444,-0.517572,0.227876,-0.824738
-0.071163,0.182466,-0.488711,2.393481,-1.159000,-0.569138,-0.529423,0.206862,-0.822752
-0.119135,0.196689,-0.563633,2.856270,-0.793153,-0.550610,-0.538686,0.182141,-0.822582
-0.163997,0.240319,-0.620433,3.356644,-0.280747,-0.429587,-0.544011,0.153709,-0.824879
-0.192133,0.288734,-0.680544,3.800077,0.156902,-0.271751,-0.544912,0.121987,-0.829572
-0.170645,0.321218,-0.647067,4.182027,0.426128,-0.249600,-0.542657,0.087199,-0.835416
-0.151123,0.324547,-0.661689,4.663758,0.616638,-0.302229,-0.538482,0.048484,-0.841241
-0.154235,0.328044,-0.677769,5.314321,0.962950,-0.259824,-0.531968,0.004629,-0.846752
-0.177133,0.403608,-0.606173,5.967820,1.410746,-0.109909,-0.521780,-0.044630,-0.851912
-0.206801,0.516497,-0.447909,6.414670,1.697192,0.097795,-0.508272,-0.097994,-0.855603
-0.211150,0.593588,-0.219874,6.563047,1.691462,0.307327,-0.493806,-0.152991,-0.856008
-0.175400,0.586977,0.019064,6.465913,1.481922,0.453602,-0.480789,-0.207170,-0.852011
-0.114357,0.525772,0.225545,6.224695,1.164549,0.530537,-0.470619,-0.258957,-0.843480
-0.057445,0.460738,0.408218,5.913981,0.745097,0.578082,-0.464100,-0.307479,-0.830703
-0.007368,0.403183,0.599245,5.568843,0.190972,0.631422,-0.462176,-0.352173,-0.813860
0.051531,0.333979,0.783675,5.176039,-0.427581,0.668632,-0.465579,-0.392588,-0.793166
0.127739,0.228297,0.917322,4.693998,-0.985725,0.626910,-0.473885,-0.428340,-0.769388
0.214957,0.072156,0.994414,4.097350,-1.393976,0.475258,-0.485495,-0.459180,-0.743941
0.275689,-0.070394,1.028537,3.389183,-1.670406,0.285981,-0.498605,-0.484889,-0.718524
0.292953,-0.123662,1.055393,2.569462,-1.879025,0.147647,-0.512283,-0.505031,-0.694630
0.273015,-0.095211,1.065866,1.687140,-1.934977,0.120651,-0.526158,-0.519047,-0.673608
0.255487,-0.034190,1.002841,0.760009,-1.702560,0.221894,-0.539316,-0.526372,-0.657321
0.257432,0.038922,0.902649,-0.191092,-1.236909,0.403244,-0.550660,-0.526548,-0.647705
0.249908,0.090821,0.825238,-1.138580,-0.687471,0.631527,-0.559631,-0.519349,-0.645825
0.248642,0.126086,0.770681,-2.073270,-0.140603,0.894430,-0.566239,-0.504549,-0.651770
0.261503,0.152139,0.731167,-2.962743,0.338681,1.183567,-0.570677,-0.481912,-0.664898
0.270905,0.165495,0.711579,-3.761880,0.655254,1.462045,-0.573441,-0.451445,-0.683640
0.268183,0.168952,0.719481,-4.449913,0.740803,1.653871,-0.575281,-0.413642,-0.705657
0.221484,0.155124,0.717606,-5.020567,0.628907,1.667783,-0.576862,-0.369723,-0.728379
0.151036,0.104362,0.657997,-5.450953,0.373017,1.505774,-0.578648,-0.321433,-0.749565
0.076366,0.037219,0.553924,-5.722581,0.023076,1.161276,-0.581126,-0.270877,-0.767410
-0.010086,-0.026730,0.416554,-5.819315,-0.366152,0.688827,-0.584793,-0.220371,-0.780675
-0.078438,-0.058643,0.255408,-5.690681,-0.724313,0.155965,-0.589973,-0.172299,-0.788825
-0.145508,-0.050041,0.093155,-5.307402,-1.043532,-0.327359,-0.596908,-0.129006,-0.791870
-0.185016,0.017797,-0.025175,-4.716881,-1.257015,-0.653228,-0.605603,-0.092077,-0.790422
-0.177576,0.123171,-0.125747,-4.030576,-1.311423,-0.776914,-0.615286,-0.061846,-0.785874
-0.144147,0.219268,-0.203256,-3.367401,-1.301131,-0.721846,-0.625202,-0.037490,-0.779562
-0.108040,0.277596,-0.231084,-2.832478,-1.310958,-0.542116,-0.635200,-0.017418,-0.772151
-0.069813,0.305706,-0.217896,-2.469249,-1.355456,-0.305863,-0.645442,0.000248,-0.763809
-0.050100,0.304914,-0.211043,-2.260022,-1.381286,-0.133050,-0.655939,0.016878,-0.754625
-0.051823,0.244210,-0.278713,-2.127123,-1.322991,-0.091561,-0.666195,0.032707,-0.745060
-0.086032,0.166210,-0.374940,-1.999589,-1.150951,-0.145811,-0.675518,0.047307,-0.735824
-0.151762,0.128020,-0.443021,-1.847652,-0.844091,-0.243423,-0.683016,0.060136,-0.727924
-0.192327,0.105532,-0.496276,-1.687871,-0.479638,-0.333797,-0.688044,0.071028,-0.722184
-0.186815,0.093495,-0.512434,-1.529376,-0.159275,-0.380671,-0.690596,0.080180,-0.718783
-0.160025,0.102072,-0.480567,-1.370463,0.056148,-0.360216,-0.691232,0.088053,-0.717248
-0.134233,0.130129,-0.415894,-1.198418,0.180449,-0.271544,-0.690641,0.095091,-0.716919
-0.105737,0.160792,-0.348885,-1.026295,0.239629,-0.156533,-0.689307,0.101614,-0.717308
-0.083273,0.166217,-0.298357,-0.846662,0.247884,-0.046869,-0.687631,0.107679,-0.718031
