ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.071164,-0.012923,-0.038920,-0.346810,0.052849,0.122466,0.232272,0.659957,-0.714498
0.071536,-0.013750,-0.038131,-0.375701,0.060797,0.171492,0.233670,0.662218,-0.711945
0.066507,-0.018107,-0.047815,-0.365331,0.071581,0.195070,0.235373,0.664454,-0.709296
0.057336,-0.021676,-0.067602,-0.320071,0.077952,0.197538,0.237235,0.666436,-0.706812
0.051849,-0.020023,-0.079257,-0.246990,0.055354,0.180037,0.238984,0.668003,-0.704740
0.046701,-0.016837,-0.076546,-0.171226,0.018170,0.151812,0.240363,0.669074,-0.703254
0.044941,-0.015405,-0.074742,-0.119285,-0.009263,0.124105,0.241329,0.669748,-0.702281
0.049580,-0.008198,-0.074310,-0.097997,-0.046128,0.097840,0.241878,0.670231,-0.701630
0.053218,0.010333,-0.065540,-0.096364,-0.064378,0.096906,0.242100,0.670682,-0.701123
0.050176,0.052015,-0.086541,-0.084869,-0.025852,0.126580,0.242503,0.671068,-0.700614
0.050960,0.095232,-0.123795,-0.027179,0.064152,0.177796,0.243642,0.671125,-0.700164
0.052653,0.132223,-0.156121,0.103247,0.175749,0.226613,0.245855,0.670390,-0.700095
0.058933,0.157775,-0.174630,0.276013,0.235948,0.264780,0.249005,0.668443,-0.700843
0.065108,0.187357,-0.180841,0.460043,0.239368,0.288087,0.252550,0.665151,-0.702704
0.079942,0.234926,-0.221675,0.660092,0.208439,0.302275,0.256117,0.660444,-0.705845
0.104270,0.302547,-0.302608,0.919045,0.132219,0.388138,0.259560,0.653996,-0.710576
0.119186,0.420597,-0.440045,1.377905,0.077815,0.546662,0.263352,0.644650,-0.717686
0.138298,0.523939,-0.577225,2.139163,-0.034187,0.707030,0.267570,0.630312,-0.728775
0.175516,0.581687,-0.629027,3.168936,-0.209376,0.865101,0.271582,0.608590,-0.745561
0.182640,0.650999,-0.633111,4.337538,-0.388091,0.981562,0.274849,0.577486,-0.768745
0.208082,0.689665,-0.614192,5.481744,-0.638535,1.080348,0.276613,0.535890,-0.797688
0.219739,0.713521,-0.551635,6.485832,-0.934857,1.156400,0.275973,0.483653,-0.830613
0.220320,0.696091,-0.456321,7.267383,-1.318161,1.159009,0.271699,0.421661,-0.865090
0.215728,0.634872,-0.309931,7.834796,-1.666002,1.056385,0.262742,0.351532,-0.898550
0.199043,0.574992,-0.142590,8.167788,-1.911912,0.852081,0.249306,0.275350,-0.928455
0.203405,0.525064,0.040119,8.214274,-2.170460,0.595285,0.231730,0.195883,-0.952854
0.197171,0.476519,0.230921,7.985493,-2.424953,0.332792,0.210223,0.116285,-0.970713
0.182713,0.408793,0.380024,7.524933,-2.656200,0.044822,0.185421,0.039602,-0.981861
0.183597,0.318061,0.502007,6.874910,-2.903978,-0.266246,0.157910,-0.031639,-0.986947
0.186805,0.213574,0.637499,6.044555,-3.185090,-0.552037,0.127984,-0.095319,-0.987185
0.178832,0.089725,0.770803,5.055888,-3.489544,-0.770792,0.095750,-0.149661,-0.984090
0.138046,-0.038748,0.857854,3.972512,-3.710392,-0.897241,0.061584,-0.193598,-0.979146
0.091368,-0.126162,0.884363,2.886332,-3.789011,-0.935023,0.026628,-0.226850,-0.973566
0.056615,-0.178000,0.878917,1.874738,-3.747959,-0.913040,-0.007986,-0.249948,-0.968226
0.035445,-0.204171,0.875307,1.000587,-3.669382,-0.880703,-0.041686,-0.264045,-0.963609
0.029928,-0.225500,0.885401,0.282266,-3.540023,-0.857194,-0.074270,-0.270670,-0.959803
0.022027,-0.249416,0.883892,-0.320824,-3.300488,-0.807556,-0.105004,-0.271183,-0.956783
0.023089,-0.260150,0.856981,-0.852748,-2.967260,-0.691941,-0.133120,-0.266415,-0.954621
0.021742,-0.258280,0.828099,-1.342762,-2.556183,-0.480471,-0.158110,-0.256719,-0.953466
0.021204,-0.251995,0.780617,-1.789955,-2.045681,-0.177276,-0.179392,-0.242253,-0.953484
0.026608,-0.247190,0.714290,-2.192762,-1.471592,0.207146,-0.196301,-0.223086,-0.954829
0.037277,-0.237314,0.653062,-2.537592,-0.930795,0.641364,-0.208695,-0.199439,-0.957429
0.047074,-0.202201,0.615243,-2.819657,-0.473030,1.102099,-0.217042,-0.171685,-0.960946
0.061786,-0.144496,0.582774,-3.051159,-0.054406,1.554922,-0.221683,-0.140279,-0.964976
0.073612,-0.089793,0.528746,-3.253361,0.370802,1.955112,-0.222293,-0.105672,-0.969236
0.065426,-0.058066,0.463991,-3.434505,0.754171,2.275460,-0.218609,-0.068277,-0.973421
0.055580,-0.041301,0.431979,-3.613610,1.070109,2.513297,-0.210792,-0.028523,-0.977115
0.050552,-0.018616,0.409682,-3.819906,1.342543,2.722913,-0.199096,0.013444,-0.979888
0.039883,0.038411,0.354994,-4.063274,1.597530,2.914705,-0.183591,0.057734,-0.981306
0.039597,0.101505,0.262892,-4.295213,1.822556,3.030847,-0.164261,0.104229,-0.980895
