ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.026727,-0.046080,-0.038801,-0.365673,-0.461719,-0.131331,-0.092749,0.271484,-0.957964
-0.018285,-0.041533,-0.083736,-0.380003,-0.427679,-0.142593,-0.097453,0.274916,-0.956517
-0.022115,-0.018893,-0.124841,-0.428245,-0.338760,-0.127135,-0.101527,0.278659,-0.955009
-0.017321,-0.011724,-0.168330,-0.496874,-0.271425,-0.100860,-0.104749,0.282979,-0.953389
-0.009911,-0.017879,-0.184976,-0.572110,-0.253626,-0.087051,-0.107506,0.288006,-0.951575
-0.009997,0.012230,-0.207456,-0.611650,-0.286767,-0.062309,-0.110273,0.293617,-0.949541
-0.009339,0.041098,-0.239402,-0.609384,-0.402740,-0.040022,-0.113647,0.299402,-0.947335
-0.018878,0.061854,-0.280200,-0.584711,-0.576046,-0.068598,-0.118451,0.305044,-0.944943
-0.042584,0.103764,-0.393301,-0.472610,-0.687480,-0.152550,-0.124820,0.310024,-0.942499
-0.104333,0.222145,-0.642268,-0.096378,-0.736877,-0.289707,-0.132254,0.312645,-0.940618
-0.149096,0.367807,-0.967007,0.734918,-0.687914,-0.460803,-0.140317,0.309440,-0.940510
-0.149540,0.485876,-1.404284,2.176124,-0.315401,-0.485446,-0.146710,0.295298,-0.944074
-0.130068,0.591099,-1.862243,4.053830,0.280313,-0.339537,-0.148222,0.265102,-0.952760
-0.066099,0.749894,-2.065695,5.914449,0.856078,0.005797,-0.143160,0.216598,-0.965707
-0.003446,0.913965,-1.984427,7.433509,1.514137,0.593501,-0.131076,0.151389,-0.979745
-0.014263,1.064490,-1.707371,8.381125,2.213966,1.216193,-0.111653,0.073724,-0.991009
-0.105036,1.146867,-1.300203,8.774673,2.927572,1.751583,-0.085364,-0.010911,-0.996290
-0.257192,1.119347,-0.766983,8.695633,3.162595,1.922582,-0.055552,-0.097359,-0.993698
-0.401783,0.941996,-0.047616,8.164518,2.977959,1.619763,-0.027218,-0.180704,-0.983161
-0.452811,0.634369,0.592376,7.412960,2.105909,1.049005,-0.004770,-0.256942,-0.966415
-0.348929,0.265511,1.294450,6.599290,0.834868,0.408114,0.007361,-0.324395,-0.945893
-0.172715,-0.059957,1.800541,5.716087,-0.336330,-0.114342,0.009050,-0.382395,-0.923955
-0.064407,-0.153195,1.983442,4.605946,-0.964399,-0.423665,0.003845,-0.429981,-0.902830
-0.007455,-0.037952,1.940131,3.180984,-0.872254,-0.490207,-0.002693,-0.465145,-0.885230
0.026891,0.129607,1.787446,1.526979,-0.225087,-0.351287,-0.005696,-0.486067,-0.873903
0.024852,0.246622,1.654229,-0.132894,0.599198,-0.171268,-0.002788,-0.492120,-0.870523
0.004221,0.260523,1.596204,-1.561961,1.192987,-0.078511,0.005880,-0.484506,-0.874768
-0.029893,0.188180,1.597695,-2.600745,1.405896,-0.152433,0.018052,-0.465844,-0.884683
-0.064466,0.118183,1.557974,-3.242772,1.269760,-0.306977,0.031278,-0.439411,-0.897742
-0.086820,0.101054,1.492104,-3.637037,0.800284,-0.501601,0.042585,-0.407847,-0.912057
-0.098047,0.101494,1.408821,-3.907155,0.110619,-0.703473,0.049234,-0.372628,-0.926674
-0.092893,0.146574,1.242582,-4.079499,-0.551271,-0.853157,0.049833,-0.334654,-0.941023
-0.096294,0.229284,0.948475,-4.145643,-0.984102,-0.928064,0.045193,-0.294958,-0.954441
-0.099801,0.289270,0.615916,-4.139049,-1.144225,-0.921052,0.037316,-0.254510,-0.966350
-0.093094,0.335226,0.314611,-4.106905,-1.035854,-0.799783,0.028549,-0.213934,-0.976431
-0.082965,0.387165,0.070079,-4.108626,-0.732798,-0.622125,0.021152,-0.173283,-0.984645
-0.059369,0.401659,-0.105170,-4.150914,-0.411806,-0.494677,0.016354,-0.132127,-0.991098
-0.015811,0.348016,-0.235232,-4.087182,-0.139307,-0.399210,0.014132,-0.090783,-0.995770
0.027374,0.283049,-0.347188,-3.840661,0.052039,-0.302068,0.014023,-0.050871,-0.998607
0.058933,0.242085,-0.408185,-3.463697,0.100533,-0.218035,0.014965,-0.014058,-0.999789
0.097565,0.218006,-0.416661,-3.008581,0.031651,-0.114415,0.015686,0.018521,-0.999705
0.117119,0.195221,-0.410246,-2.577548,-0.076578,-0.005228,0.015434,0.046570,-0.998796
0.111811,0.176801,-0.399236,-2.235134,-0.164156,0.064855,0.014242,0.070636,-0.997400
0.097257,0.154487,-0.373415,-2.014348,-0.258329,0.077472,0.012179,0.091881,-0.995695
0.089298,0.111628,-0.371358,-1.782328,-0.295147,0.082519,0.009441,0.110922,-0.993784
0.069672,0.085970,-0.413971,-1.449943,-0.297186,0.089803,0.006591,0.127104,-0.991867
0.029566,0.082121,-0.432226,-1.061569,-0.293895,0.062308,0.003713,0.139620,-0.990198
0.001971,0.078794,-0.428644,-0.709282,-0.313363,0.025603,0.000790,0.148394,-0.988928
-0.000174,0.065215,-0.393549,-0.420119,-0.349979,0.018213,-0.002511,0.153962,-0.988074
-0.000381,0.043298,-0.362803,-0.220958,-0.305260,0.041365,-0.005769,0.157081,-0.987569
