ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.060752,-0.036306,-0.129696,0.384837,-0.357686,-0.021893,-0.084603,0.185033,-0.979084
-0.051740,-0.014197,-0.117537,0.275304,-0.162133,0.016734,-0.087176,0.181723,-0.979478
-0.040272,0.005086,-0.099432,0.108809,0.001004,0.072534,-0.087872,0.179851,-0.979761
-0.032979,0.022421,-0.063279,-0.050642,0.137420,0.120687,-0.087001,0.179666,-0.979873
-0.034300,0.025735,-0.034064,-0.172380,0.170390,0.130549,-0.085177,0.180900,-0.979806
-0.027345,0.011633,0.019545,-0.225549,0.106746,0.107620,-0.083556,0.183024,-0.979551
-0.017981,-0.006927,0.046687,-0.177771,0.001743,0.068846,-0.082834,0.185150,-0.979213
-0.015679,-0.028429,0.046153,-0.049203,-0.147142,0.008927,-0.083442,0.186327,-0.978938
-0.003803,-0.044921,0.056784,0.094297,-0.324326,-0.041277,-0.085797,0.186080,-0.978781
0.003195,-0.040516,0.066126,0.180819,-0.477147,-0.067505,-0.089865,0.184620,-0.978693
0.003016,-0.024475,0.058732,0.155905,-0.553937,-0.072359,-0.095148,0.182816,-0.978532
-0.005954,-0.009935,0.024931,0.012433,-0.522200,-0.067504,-0.100629,0.181856,-0.978163
-0.014069,-0.004794,-0.026704,-0.217207,-0.449324,-0.059033,-0.105544,0.182757,-0.977476
-0.020173,-0.005968,-0.078843,-0.471423,-0.335589,-0.049026,-0.109511,0.186098,-0.976409
-0.030060,0.001998,-0.155771,-0.663786,-0.250118,-0.037128,-0.112427,0.191682,-0.974996
-0.045383,0.030671,-0.244820,-0.736597,-0.233352,-0.044818,-0.114804,0.198593,-0.973335
-0.040575,0.076042,-0.347932,-0.648845,-0.322053,-0.041696,-0.117536,0.205437,-0.971587
-0.035664,0.130420,-0.463221,-0.346547,-0.521913,-0.073328,-0.121761,0.210385,-0.970006
-0.035447,0.168196,-0.631060,0.255544,-0.658976,-0.178881,-0.127837,0.210894,-0.969114
-0.067827,0.212129,-0.907871,1.226141,-0.681994,-0.363723,-0.135008,0.203567,-0.969708
-0.108969,0.300621,-1.226950,2.590814,-0.516004,-0.603707,-0.141946,0.184502,-0.972528
-0.139090,0.406673,-1.566497,4.327699,-0.094747,-0.725882,-0.146264,0.149755,-0.977845
-0.155550,0.562078,-1.800984,6.098717,0.502240,-0.643806,-0.145155,0.097132,-0.984630
-0.130120,0.720205,-1.753396,7.466480,1.061898,-0.371366,-0.137702,0.028682,-0.990058
-0.134414,0.849045,-1.448217,8.258968,1.469782,-0.034807,-0.124955,-0.050323,-0.990885
-0.204430,0.926650,-0.969879,8.485415,1.666630,0.140554,-0.109229,-0.133803,-0.984970
-0.247990,0.855272,-0.374251,8.257551,1.329359,0.150404,-0.094417,-0.216341,-0.971742
-0.235625,0.656739,0.335412,7.513873,0.731990,-0.015225,-0.084611,-0.292970,-0.952371
-0.129066,0.386224,0.842588,6.271713,0.291973,-0.147655,-0.079598,-0.358544,-0.930113
-0.004021,0.195668,1.122355,4.789002,0.062429,-0.193069,-0.077416,-0.409901,-0.908839
0.072070,0.060035,1.302332,3.319041,0.171493,-0.203251,-0.075763,-0.446723,-0.891459
0.082371,0.009776,1.322725,1.882905,0.729143,-0.132107,-0.071187,-0.469996,-0.879793
0.065836,0.033612,1.313921,0.354063,1.467156,-0.008094,-0.061167,-0.479962,-0.875155
0.072812,0.041795,1.374588,-1.155769,2.154380,0.132977,-0.045423,-0.476320,-0.878098
0.054297,0.058751,1.452981,-2.458450,2.567295,0.196785,-0.025046,-0.460057,-0.887536
0.005049,0.058726,1.528531,-3.418687,2.674617,0.166301,-0.002165,-0.433375,-0.901211
-0.016153,0.010112,1.540128,-4.008734,2.503565,0.089479,0.021143,-0.399226,-0.916609
-0.024724,-0.024482,1.513220,-4.258303,2.001806,-0.036706,0.042164,-0.360634,-0.931754
-0.052655,-0.032844,1.483532,-4.264862,1.242355,-0.216040,0.057995,-0.320213,-0.945569
-0.059890,-0.023235,1.403746,-4.107463,0.440730,-0.373706,0.066894,-0.279880,-0.957702
-0.066800,0.019726,1.250256,-3.931620,-0.306113,-0.490887,0.068661,-0.240704,-0.968167
-0.073112,0.081896,1.092044,-3.914135,-1.030170,-0.590936,0.063255,-0.202059,-0.977329
-0.068309,0.172174,0.910982,-3.990956,-1.574353,-0.634628,0.051372,-0.162698,-0.985338
-0.079872,0.276460,0.633975,-4.042815,-1.836862,-0.608531,0.035117,-0.122437,-0.991855
-0.099720,0.348597,0.328646,-4.030246,-1.800843,-0.555676,0.017353,-0.081858,-0.996493
-0.094062,0.357764,0.023096,-3.924497,-1.485319,-0.490316,0.000999,-0.041831,-0.999124
-0.078249,0.322149,-0.255330,-3.742321,-0.899831,-0.409104,-0.011015,-0.003286,-0.999934
-0.035973,0.273600,-0.459834,-3.546949,-0.268912,-0.307633,-0.016868,0.033316,-0.999303
0.013119,0.241899,-0.535601,-3.334840,0.124494,-0.213605,-0.017529,0.067855,-0.997541
0.055010,0.225636,-0.507538,-3.057866,0.249256,-0.133819,-0.015673,0.099910,-0.994873
