ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.002375,0.007303,-0.193085,-0.030840,0.106379,0.065789,-0.083029,0.080176,-0.993317
-0.006187,0.000979,-0.163785,0.032265,0.149142,0.097578,-0.081673,0.080213,-0.993426
-0.016453,-0.001483,-0.125666,0.029657,0.152314,0.103368,-0.080044,0.079929,-0.993582
-0.020150,0.005779,-0.075573,-0.037468,0.106211,0.089505,-0.078651,0.080007,-0.993687
-0.023977,0.001231,-0.036700,-0.140427,0.060995,0.045612,-0.077769,0.080938,-0.993681
-0.020779,-0.015345,-0.016925,-0.243859,0.033922,0.004313,-0.077290,0.082880,-0.993558
-0.012918,-0.032320,-0.018031,-0.312898,0.009802,-0.014629,-0.077063,0.085695,-0.993337
-0.002816,-0.041624,-0.024238,-0.332698,-0.013164,-0.013759,-0.077094,0.088927,-0.993050
0.003566,-0.041994,-0.020433,-0.341137,-0.047699,-0.000664,-0.077418,0.092272,-0.992720
0.004175,-0.037642,-0.026478,-0.346207,-0.056766,0.011490,-0.077952,0.095717,-0.992352
0.006516,-0.054047,-0.054482,-0.379421,-0.072257,0.020161,-0.078568,0.099305,-0.991950
-0.005027,-0.055365,-0.066015,-0.492438,-0.078858,0.007368,-0.079323,0.103614,-0.991449
-0.010071,-0.044724,-0.088568,-0.666013,-0.100772,-0.005379,-0.080185,0.109360,-0.990763
-0.010801,-0.042564,-0.111958,-0.870483,-0.193342,-0.017799,-0.081622,0.116997,-0.989772
-0.024460,-0.028266,-0.128204,-1.079404,-0.332498,-0.042956,-0.084258,0.126685,-0.988358
-0.036437,0.007235,-0.188705,-1.218829,-0.478443,-0.088849,-0.088365,0.138121,-0.986466
-0.055111,0.044184,-0.316399,-1.174200,-0.640697,-0.146630,-0.094059,0.150015,-0.984199
-0.091741,0.097976,-0.486490,-0.865386,-0.662968,-0.229865,-0.100962,0.160097,-0.981925
-0.119448,0.147074,-0.741515,-0.241473,-0.524844,-0.302226,-0.107297,0.165456,-0.980363
-0.125731,0.223743,-0.958001,0.606106,-0.270352,-0.319970,-0.111833,0.163403,-0.980200
-0.115861,0.308587,-1.088775,1.542297,0.094489,-0.236002,-0.113219,0.152503,-0.981796
-0.081004,0.347799,-1.126066,2.440840,0.447498,-0.095710,-0.110708,0.132564,-0.984972
-0.030875,0.353854,-1.031586,3.250247,0.682058,0.068708,-0.105096,0.104246,-0.988983
0.008741,0.376789,-0.864984,3.962316,0.971018,0.300197,-0.096738,0.068401,-0.992957
0.002492,0.434458,-0.711335,4.499580,1.228695,0.551397,-0.085545,0.026343,-0.995986
-0.009326,0.458312,-0.496400,4.821446,1.526105,0.754652,-0.071759,-0.019973,-0.997222
-0.036657,0.448300,-0.297253,4.975491,1.779392,0.908358,-0.055506,-0.068630,-0.996097
-0.091030,0.440145,-0.048900,5.006913,1.887086,0.961086,-0.037938,-0.118169,-0.992269
-0.133231,0.399812,0.239934,4.939839,1.761847,0.885065,-0.020913,-0.167435,-0.985661
-0.153452,0.318543,0.550233,4.770764,1.271137,0.685946,-0.007208,-0.215317,-0.976518
-0.160479,0.208236,0.932720,4.437488,0.380998,0.314126,-0.000211,-0.260360,-0.965512
-0.124572,0.037855,1.293626,3.890464,-0.583271,-0.183984,-0.001465,-0.300688,-0.953722
-0.067495,-0.121621,1.459026,3.172888,-1.276053,-0.653912,-0.009180,-0.334464,-0.942364
-0.013534,-0.182699,1.448505,2.362188,-1.506456,-0.947994,-0.019730,-0.360712,-0.932469
0.021009,-0.131036,1.321266,1.517895,-1.270669,-0.986480,-0.029264,-0.379111,-0.924889
0.047181,-0.007043,1.184581,0.639859,-0.766496,-0.801504,-0.035295,-0.389441,-0.920375
0.080728,0.100646,1.124372,-0.283549,-0.262211,-0.496041,-0.037439,-0.391356,-0.919477
0.112090,0.152533,1.154881,-1.251291,0.132059,-0.192995,-0.036636,-0.384390,-0.922444
0.127991,0.149880,1.193772,-2.191947,0.289833,0.002936,-0.034180,-0.368340,-0.929063
0.113514,0.099170,1.211642,-2.985025,0.214755,0.065602,-0.031865,-0.343906,-0.938463
0.060434,0.054504,1.144631,-3.619629,0.096373,0.049671,-0.030588,-0.312453,-0.949441
0.002948,0.070118,0.980265,-4.127032,-0.079106,-0.013813,-0.030506,-0.275150,-0.960917
-0.025575,0.097503,0.817915,-4.495497,-0.291067,-0.098238,-0.032195,-0.233154,-0.971907
-0.040243,0.127335,0.625205,-4.703381,-0.424499,-0.139737,-0.035517,-0.187912,-0.981543
-0.062162,0.181239,0.385984,-4.736305,-0.430359,-0.179705,-0.039568,-0.141062,-0.989210
-0.069504,0.192049,0.115631,-4.557126,-0.292459,-0.218084,-0.042999,-0.094636,-0.994583
-0.064212,0.187589,-0.139887,-4.162786,-0.077664,-0.259485,-0.044705,-0.050915,-0.997702
-0.041924,0.184400,-0.340918,-3.597220,0.105226,-0.274148,-0.044426,-0.011990,-0.998941
-0.009410,0.211079,-0.457592,-2.937538,0.158371,-0.233366,-0.042989,0.020763,-0.998860
0.028840,0.257467,-0.509538,-2.246987,0.066726,-0.132987,-0.041872,0.046717,-0.998030
