ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.018705,-0.030783,-0.114094,0.214669,0.123841,0.094632,-0.036501,0.118949,-0.992229
-0.015151,-0.029438,-0.076370,0.200088,0.041785,0.087284,-0.035585,0.116886,-0.992508
-0.010343,-0.028999,-0.042921,0.153729,-0.009618,0.077367,-0.035312,0.115120,-0.992724
-0.013890,-0.030120,-0.023472,0.056512,-0.037512,0.038118,-0.035503,0.114059,-0.992839
-0.022823,-0.036529,-0.013094,-0.062096,-0.009777,-0.000133,-0.035755,0.114090,-0.992827
-0.023401,-0.053313,-0.026731,-0.177959,0.045369,-0.037293,-0.035590,0.115295,-0.992694
-0.020436,-0.068418,-0.020695,-0.287455,0.084327,-0.062896,-0.034999,0.117613,-0.992443
-0.013830,-0.073993,-0.020694,-0.372635,0.098152,-0.073429,-0.034144,0.120899,-0.992077
-0.009466,-0.074406,-0.027023,-0.424394,0.062196,-0.087724,-0.033426,0.124883,-0.991608
-0.001382,-0.071461,-0.036984,-0.444887,-0.006008,-0.101278,-0.033240,0.129201,-0.991061
0.004014,-0.059712,-0.047609,-0.478940,-0.131739,-0.112106,-0.034028,0.133748,-0.990431
0.006783,-0.038562,-0.052906,-0.550770,-0.309059,-0.118531,-0.036370,0.138813,-0.989651
0.005146,-0.009792,-0.068596,-0.650291,-0.503231,-0.121577,-0.040562,0.144726,-0.988640
-0.003378,0.005819,-0.100692,-0.775749,-0.727794,-0.155235,-0.046884,0.151758,-0.987305
-0.016090,0.012997,-0.171529,-0.841676,-0.901872,-0.225691,-0.055321,0.159748,-0.985606
-0.041554,0.016312,-0.301960,-0.791344,-0.954964,-0.318718,-0.065029,0.167740,-0.983684
-0.079494,0.042074,-0.461600,-0.605339,-0.911447,-0.423611,-0.074971,0.174463,-0.981805
-0.095868,0.091944,-0.624990,-0.287556,-0.717640,-0.512091,-0.083941,0.178564,-0.980341
-0.106002,0.143872,-0.795600,0.147019,-0.379904,-0.548926,-0.090393,0.178852,-0.979715
-0.087250,0.215058,-0.936300,0.696768,0.050859,-0.507864,-0.092986,0.174285,-0.980295
-0.054756,0.277341,-1.025601,1.389705,0.534759,-0.388133,-0.090905,0.163668,-0.982318
-0.036300,0.319996,-1.077352,2.198371,0.973244,-0.206279,-0.083817,0.145687,-0.985774
-0.017873,0.376251,-0.994317,2.995225,1.269591,0.024820,-0.072764,0.119751,-0.990134
0.005717,0.421401,-0.819979,3.682644,1.546787,0.301307,-0.058528,0.086458,-0.994535
0.005661,0.428981,-0.654159,4.216091,1.791483,0.559403,-0.041534,0.046986,-0.998032
-0.010132,0.416739,-0.453359,4.563769,2.041885,0.787768,-0.022110,0.002969,-0.999751
-0.043186,0.427984,-0.248350,4.734787,2.231358,1.011068,-0.000744,-0.043783,-0.999041
-0.095878,0.450754,-0.017431,4.771461,2.229434,1.164856,0.021064,-0.091639,-0.995570
-0.167816,0.441682,0.284034,4.710243,1.824462,1.113341,0.040237,-0.139405,-0.989418
-0.216443,0.325734,0.671794,4.505701,0.928160,0.775813,0.052655,-0.185612,-0.981211
-0.206986,0.107161,1.053397,4.130869,-0.330939,0.207909,0.054657,-0.228377,-0.972037
-0.148232,-0.110384,1.327880,3.609083,-1.473988,-0.425098,0.045952,-0.266065,-0.962859
-0.082100,-0.232858,1.338270,3.008662,-2.024039,-0.854454,0.030510,-0.297735,-0.954161
-0.079815,-0.175343,1.138579,2.387488,-1.958323,-0.991472,0.014096,-0.323330,-0.946181
-0.080087,-0.031553,0.949092,1.708103,-1.404180,-0.920262,0.001168,-0.342730,-0.939433
-0.040382,0.077042,0.831780,0.917827,-0.595405,-0.680820,-0.005486,-0.355194,-0.934776
0.001783,0.146934,0.821192,0.035802,0.188237,-0.362619,-0.005415,-0.359733,-0.933039
0.032287,0.155732,0.915769,-0.857590,0.750876,-0.085780,-0.000061,-0.355866,-0.934537
0.053566,0.094120,1.051604,-1.687511,1.035900,0.074967,0.008477,-0.343829,-0.938994
0.051036,0.017695,1.134370,-2.399648,1.127184,0.152957,0.018468,-0.324396,-0.945741
0.045528,-0.020037,1.150499,-2.987692,1.015641,0.174479,0.028278,-0.298627,-0.953951
0.040314,-0.025966,1.144210,-3.484477,0.719011,0.146436,0.036285,-0.267445,-0.962890
0.033556,-0.012103,1.094721,-3.906735,0.288345,0.094169,0.040937,-0.231473,-0.971980
0.015377,0.016328,0.981628,-4.218739,-0.201700,-0.012698,0.041294,-0.191514,-0.980621
-0.007407,0.049388,0.807176,-4.355320,-0.605133,-0.161449,0.037360,-0.148906,-0.988145
-0.040892,0.088634,0.564415,-4.293013,-0.872536,-0.311126,0.030196,-0.105601,-0.993950
-0.066925,0.136942,0.339345,-4.073226,-1.025693,-0.465386,0.020966,-0.063501,-0.997762
-0.070132,0.157292,0.128697,-3.733007,-1.106802,-0.597310,0.010455,-0.024144,-0.999654
-0.048400,0.184554,-0.058232,-3.321219,-1.122636,-0.682003,-0.000779,0.011399,-0.999935
-0.025983,0.233210,-0.224575,-2.856099,-1.056756,-0.693012,-0.011966,0.042441,-0.999027
