ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.026734,-0.036362,0.038375,0.072468,0.084413,-0.082106,-0.046645,-0.009094,-0.998870
-0.026816,-0.027902,0.034728,-0.047197,0.181002,-0.067760,-0.045297,-0.009268,-0.998931
-0.026944,-0.020614,0.046583,-0.152690,0.248062,-0.055676,-0.043109,-0.008271,-0.999036
-0.022652,-0.018837,0.058762,-0.223334,0.269982,-0.050679,-0.040458,-0.006385,-0.999161
-0.022803,-0.019240,0.076787,-0.255748,0.226243,-0.067868,-0.037927,-0.003983,-0.999273
-0.013902,-0.027452,0.094379,-0.252060,0.134757,-0.086496,-0.036086,-0.001433,-0.999348
-0.004685,-0.033589,0.098407,-0.221395,0.023702,-0.108424,-0.035278,0.000921,-0.999377
0.000333,-0.036484,0.090246,-0.196343,-0.068189,-0.137731,-0.035520,0.002961,-0.999365
0.001878,-0.038498,0.071998,-0.207707,-0.124806,-0.175141,-0.036531,0.004914,-0.999320
-0.001645,-0.038624,0.046012,-0.252552,-0.126450,-0.209219,-0.037829,0.007130,-0.999259
-0.000073,-0.037846,0.013530,-0.329503,-0.114215,-0.236072,-0.039066,0.009953,-0.999187
0.006866,-0.032995,-0.012529,-0.443542,-0.107427,-0.242770,-0.040176,0.013723,-0.999098
0.014914,-0.031270,-0.034135,-0.587736,-0.156984,-0.225639,-0.041510,0.018789,-0.998961
0.024816,-0.031104,-0.064259,-0.735201,-0.244669,-0.186933,-0.043554,0.025352,-0.998729
0.037303,-0.042419,-0.119576,-0.857917,-0.349486,-0.144755,-0.046580,0.033295,-0.998360
0.042052,-0.057842,-0.222733,-0.937769,-0.470088,-0.119136,-0.050719,0.042278,-0.997818
0.026761,-0.057110,-0.364510,-0.955225,-0.615110,-0.121874,-0.056196,0.051754,-0.997078
-0.014595,-0.006537,-0.535222,-0.874178,-0.724170,-0.156071,-0.063041,0.060920,-0.996150
-0.065335,0.064786,-0.756040,-0.631299,-0.717922,-0.211177,-0.070438,0.068439,-0.995166
-0.089036,0.119175,-0.970264,-0.270239,-0.690490,-0.290333,-0.077621,0.072812,-0.994321
-0.093265,0.161798,-1.089926,0.176535,-0.628962,-0.389360,-0.084546,0.073050,-0.993738
-0.071531,0.180503,-1.161991,0.670177,-0.436339,-0.457102,-0.090304,0.068475,-0.993557
-0.063573,0.181633,-1.263942,1.241801,0.076873,-0.493163,-0.092662,0.058510,-0.993977
-0.074171,0.196380,-1.349702,1.787111,0.823370,-0.471388,-0.088411,0.042863,-0.995161
-0.067294,0.240846,-1.260642,2.249680,1.439926,-0.363601,-0.077116,0.022246,-0.996774
-0.065347,0.289194,-0.968274,2.617187,1.814875,-0.241868,-0.060645,-0.002451,-0.998156
-0.073848,0.326673,-0.591504,2.879985,1.918724,-0.104688,-0.041661,-0.030210,-0.998675
-0.072902,0.355655,-0.181097,3.059363,1.653626,0.024690,-0.023458,-0.060062,-0.997919
-0.054938,0.337358,0.263956,3.175520,1.017798,0.037569,-0.009912,-0.091371,-0.995768
-0.039165,0.244800,0.670371,3.168053,0.290665,-0.106709,-0.003407,-0.123187,-0.992378
-0.018601,0.110546,0.900103,3.019436,-0.162051,-0.309463,-0.002700,-0.154079,-0.988055
-0.025459,0.020804,0.961098,2.727333,-0.261378,-0.490280,-0.004326,-0.182685,-0.983162
-0.026879,0.007304,0.997151,2.258473,-0.069995,-0.577309,-0.005042,-0.207392,-0.978245
-0.004014,0.056914,1.038746,1.664644,0.255781,-0.513347,-0.002928,-0.226713,-0.973957
0.030182,0.129981,1.127937,1.024877,0.501172,-0.339031,0.001877,-0.239874,-0.970802
0.057097,0.188889,1.264761,0.380449,0.513008,-0.145886,0.007570,-0.246705,-0.969061
0.088030,0.202452,1.394637,-0.181682,0.353640,0.028637,0.011991,-0.247572,-0.968795
0.105793,0.174005,1.429219,-0.549408,0.113149,0.138078,0.014095,-0.243890,-0.969701
0.102044,0.113585,1.387661,-0.729977,-0.175580,0.163954,0.013434,-0.237562,-0.971280
0.085286,0.072864,1.311128,-0.799981,-0.474937,0.163307,0.009853,-0.230044,-0.973130
0.065892,0.076110,1.210933,-0.809219,-0.715768,0.187339,0.003582,-0.222167,-0.975002
0.047299,0.095007,1.083344,-0.882191,-0.836736,0.262545,-0.004605,-0.213934,-0.976837
0.028483,0.130250,0.943000,-1.122848,-0.821238,0.374860,-0.013530,-0.204163,-0.978843
-0.002211,0.159983,0.785999,-1.559968,-0.625341,0.493460,-0.021623,-0.190973,-0.981357
-0.032738,0.167291,0.597588,-2.063008,-0.309642,0.584765,-0.027275,-0.172876,-0.984566
-0.039713,0.152610,0.408715,-2.486138,-0.001533,0.648376,-0.029822,-0.150047,-0.988229
-0.031283,0.120227,0.221624,-2.726692,0.239369,0.680326,-0.029447,-0.123782,-0.991872
-0.046809,0.107497,0.076428,-2.772598,0.288802,0.627543,-0.027440,-0.095961,-0.995007
-0.064534,0.086343,-0.016767,-2.584899,0.169236,0.510514,-0.025508,-0.068840,-0.997302
-0.068553,0.055637,-0.092786,-2.245930,-0.113763,0.350378,-0.025395,-0.044421,-0.998690
