ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.046780,-0.073859,-0.086173,-0.041943,0.180551,0.001393,-0.042667,0.114677,-0.992486
-0.053926,-0.069860,-0.078243,0.032970,0.170715,-0.056731,-0.040923,0.114691,-0.992558
-0.042608,-0.059080,-0.043621,0.069454,0.119026,-0.082257,-0.039545,0.114119,-0.992680
-0.034753,-0.044815,-0.003694,0.064137,0.068000,-0.081208,-0.038718,0.113388,-0.992796
-0.027866,-0.026997,0.015137,0.033296,0.045493,-0.073613,-0.038266,0.112859,-0.992874
-0.026306,-0.020117,0.023764,-0.003500,0.058410,-0.062040,-0.037842,0.112677,-0.992911
-0.028324,-0.024824,0.031401,-0.061769,0.079900,-0.063921,-0.037213,0.112959,-0.992903
-0.022260,-0.031423,0.045438,-0.154830,0.069520,-0.085622,-0.036532,0.113988,-0.992810
-0.008338,-0.043010,0.047160,-0.246442,0.019355,-0.104854,-0.036172,0.115963,-0.992595
0.000573,-0.050823,0.039831,-0.293390,-0.033931,-0.109797,-0.036400,0.118648,-0.992269
-0.001017,-0.047243,0.022142,-0.320216,-0.048341,-0.114084,-0.036947,0.121660,-0.991884
-0.005300,-0.035006,-0.015554,-0.372949,-0.078713,-0.116014,-0.037699,0.125049,-0.991434
-0.001569,-0.024320,-0.055453,-0.464998,-0.146257,-0.116280,-0.038958,0.129164,-0.990858
-0.002753,-0.007354,-0.110594,-0.599563,-0.211448,-0.115809,-0.040887,0.134399,-0.990083
0.001170,0.019729,-0.194558,-0.761491,-0.291609,-0.113938,-0.043528,0.141114,-0.989036
0.006395,0.047994,-0.304140,-0.906769,-0.400624,-0.119671,-0.047136,0.149395,-0.987653
0.001607,0.085163,-0.468932,-0.913560,-0.461805,-0.107599,-0.051655,0.158490,-0.986008
-0.030219,0.165526,-0.656614,-0.722700,-0.420897,-0.126810,-0.056268,0.166658,-0.984408
-0.064696,0.254864,-0.836326,-0.321045,-0.282936,-0.203203,-0.060121,0.171863,-0.983285
-0.083707,0.294906,-1.015914,0.317619,0.011400,-0.275472,-0.061969,0.171860,-0.983170
-0.062637,0.300579,-1.140647,1.139929,0.361159,-0.270271,-0.060578,0.164555,-0.984506
-0.019326,0.302940,-1.135448,2.035801,0.598698,-0.164944,-0.056067,0.148690,-0.987293
0.025812,0.331553,-0.994529,2.898487,0.713887,0.041381,-0.049601,0.124044,-0.991036
0.042797,0.383723,-0.785134,3.574838,0.791858,0.305557,-0.041912,0.091635,-0.994910
0.055331,0.389124,-0.569780,3.978736,0.885049,0.544395,-0.033236,0.053778,-0.998000
0.031543,0.353878,-0.356882,4.116070,1.035632,0.700437,-0.023410,0.013142,-0.999640
-0.023275,0.319400,-0.146870,4.036116,1.189980,0.750590,-0.012263,-0.027820,-0.999538
-0.080699,0.271371,0.071156,3.831529,1.253935,0.689371,-0.000249,-0.067330,-0.997731
-0.115742,0.209615,0.299607,3.614687,1.144215,0.553935,0.011341,-0.104634,-0.994446
-0.122302,0.164045,0.540116,3.447846,0.830361,0.401975,0.020740,-0.139921,-0.989945
-0.103062,0.133657,0.776953,3.299697,0.335950,0.238261,0.026128,-0.173497,-0.984488
-0.063252,0.094471,0.971956,3.154574,-0.291727,0.099523,0.026051,-0.205387,-0.978334
-0.031512,0.055770,1.108345,3.000640,-0.863949,-0.013094,0.020190,-0.235595,-0.971642
-0.013722,0.018982,1.149318,2.818654,-1.207285,-0.103934,0.010090,-0.263931,-0.964489
-0.004732,0.016839,1.138073,2.589742,-1.307949,-0.153617,-0.001814,-0.290093,-0.956997
0.000743,0.045832,1.128801,2.297797,-1.245902,-0.156829,-0.013637,-0.313577,-0.949465
0.014120,0.074952,1.141349,1.925388,-1.093021,-0.113916,-0.024389,-0.333757,-0.942344
0.018522,0.103078,1.158162,1.459721,-0.876220,-0.034447,-0.033445,-0.349812,-0.936223
0.035677,0.095105,1.153019,0.890225,-0.698989,0.055356,-0.040819,-0.360913,-0.931706
0.043958,0.101665,1.177821,0.161911,-0.599449,0.087344,-0.047131,-0.365916,-0.929454
0.074502,0.106257,1.191321,-0.751668,-0.632215,0.063805,-0.053094,-0.363200,-0.930197
0.071409,0.082854,1.158732,-1.742903,-0.680320,0.048490,-0.059508,-0.351470,-0.934306
0.016028,0.070450,1.053986,-2.709538,-0.581781,0.008568,-0.065665,-0.330429,-0.941544
-0.029514,0.062139,0.852035,-3.465035,-0.344343,-0.046688,-0.069958,-0.300969,-0.951064
-0.033800,0.052491,0.536065,-3.979097,-0.039016,-0.065526,-0.071760,-0.264954,-0.961587
-0.102021,0.078044,0.354866,-4.179436,0.382416,-0.054008,-0.069961,-0.225215,-0.971794
-0.077087,0.098171,0.128354,-4.219541,0.708760,-0.079808,-0.064346,-0.183925,-0.980832
-0.065463,0.122353,-0.013699,-4.089856,0.893437,-0.120556,-0.056210,-0.142739,-0.988163
-0.074436,0.139316,-0.111333,-3.830486,1.041820,-0.171192,-0.046338,-0.103289,-0.993571
-0.058213,0.145725,-0.208859,-3.543426,1.008202,-0.258875,-0.035720,-0.066455,-0.997150
