ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.018149,-0.024266,-0.139799,0.294171,-0.005993,0.165438,-0.069849,0.137914,-0.987978
-0.026749,-0.023868,-0.084830,0.238630,-0.022134,0.149113,-0.069778,0.135365,-0.988336
-0.034958,-0.025785,-0.043158,0.166521,-0.019860,0.125540,-0.069809,0.133437,-0.988596
-0.042726,-0.036412,-0.024366,0.075688,0.020558,0.093824,-0.069701,0.132298,-0.988756
-0.050688,-0.058266,-0.023711,-0.030065,0.109741,0.049752,-0.068971,0.132119,-0.988831
-0.049407,-0.076320,-0.018207,-0.141517,0.160271,0.008673,-0.067552,0.132991,-0.988812
-0.040175,-0.076908,0.007878,-0.213429,0.173409,-0.017724,-0.065873,0.134785,-0.988683
-0.030786,-0.066377,0.020555,-0.235265,0.150853,-0.027761,-0.064292,0.137010,-0.988481
-0.028111,-0.054004,0.017141,-0.240855,0.129355,-0.043281,-0.062954,0.139347,-0.988240
-0.026890,-0.043349,0.006937,-0.261771,0.081747,-0.060362,-0.061947,0.141799,-0.987955
-0.020369,-0.039645,0.000566,-0.297707,0.006586,-0.079474,-0.061601,0.144535,-0.987580
-0.017997,-0.035547,-0.019370,-0.356650,-0.057149,-0.103583,-0.062005,0.147714,-0.987085
-0.015579,-0.021305,-0.065237,-0.445262,-0.111258,-0.112651,-0.063004,0.151615,-0.986430
-0.016465,0.003204,-0.122968,-0.547621,-0.189140,-0.113741,-0.064651,0.156449,-0.985568
-0.030246,0.034955,-0.192677,-0.676484,-0.222125,-0.168171,-0.066968,0.162418,-0.984447
-0.051503,0.044006,-0.330051,-0.760129,-0.169285,-0.233855,-0.069255,0.169434,-0.983105
-0.068468,0.073741,-0.496039,-0.723023,-0.158373,-0.291226,-0.071318,0.176672,-0.981683
-0.080775,0.171204,-0.652622,-0.459744,-0.119262,-0.336131,-0.073278,0.182449,-0.980481
-0.061436,0.263056,-0.830016,0.029989,-0.073883,-0.326184,-0.074840,0.184408,-0.979996
-0.032885,0.324781,-0.970503,0.664005,0.026076,-0.254844,-0.075712,0.180850,-0.980592
-0.015085,0.386452,-1.077658,1.370279,0.254086,-0.147100,-0.074728,0.170662,-0.982492
-0.009860,0.411467,-1.133837,2.050008,0.558450,-0.041668,-0.070920,0.153642,-0.985578
-0.023507,0.412820,-1.113974,2.652509,0.882850,0.042241,-0.063728,0.130225,-0.989434
-0.033405,0.428346,-0.998006,3.178918,1.102988,0.142581,-0.053677,0.101180,-0.993419
-0.037073,0.435140,-0.793028,3.618497,1.278464,0.246502,-0.041571,0.067195,-0.996873
-0.033538,0.410683,-0.594906,3.951975,1.385594,0.336426,-0.028031,0.029228,-0.999180
-0.039648,0.374257,-0.372704,4.167819,1.460241,0.414179,-0.013682,-0.011586,-0.999839
-0.063449,0.341644,-0.148646,4.263428,1.462701,0.468425,0.000964,-0.054000,-0.998540
-0.102181,0.301209,0.120503,4.233360,1.370954,0.434782,0.014900,-0.096741,-0.995198
-0.153858,0.230718,0.420125,4.045820,1.171545,0.263255,0.027210,-0.138234,-0.990026
-0.182690,0.139838,0.676211,3.739595,0.981774,0.042093,0.037625,-0.176993,-0.983493
-0.176600,0.056263,0.859608,3.330403,0.831837,-0.168564,0.046686,-0.211857,-0.976185
-0.143202,-0.003250,0.993796,2.854780,0.721697,-0.304256,0.054808,-0.242004,-0.968726
-0.101095,-0.026033,1.086203,2.357824,0.644403,-0.337139,0.062231,-0.267088,-0.961661
-0.066619,-0.020498,1.146356,1.868500,0.599767,-0.305338,0.069106,-0.287241,-0.955362
-0.054176,0.003419,1.188425,1.385868,0.558211,-0.258598,0.075508,-0.302628,-0.950113
-0.042211,0.028336,1.233305,0.918381,0.477237,-0.192979,0.081182,-0.313431,-0.946135
-0.023715,0.032533,1.283985,0.445392,0.354336,-0.118439,0.085650,-0.319795,-0.943608
-0.006384,0.029192,1.321736,-0.060505,0.165623,-0.047011,0.088431,-0.321596,-0.942739
-0.000818,0.040270,1.349841,-0.628403,-0.092915,-0.008345,0.088877,-0.318330,-0.943804
0.005428,0.056293,1.324896,-1.151732,-0.294306,0.009799,0.086980,-0.309802,-0.946814
0.010844,0.051761,1.205641,-1.545810,-0.425554,0.040801,0.083456,-0.296878,-0.951262
0.004999,0.053499,1.082554,-1.873989,-0.582579,0.074550,0.078482,-0.280504,-0.956639
0.009903,0.073328,0.995127,-2.190989,-0.762953,0.088071,0.071747,-0.260935,-0.962687
0.016120,0.091549,0.887640,-2.483867,-0.940278,0.110861,0.063226,-0.238277,-0.969137
0.015985,0.119055,0.756184,-2.743495,-1.073889,0.122508,0.053061,-0.212743,-0.975666
0.015744,0.133910,0.578011,-2.894475,-1.120489,0.138797,0.041934,-0.184966,-0.981850
0.008533,0.145219,0.382837,-2.914704,-1.120305,0.148810,0.030606,-0.156190,-0.987253
0.000001,0.146173,0.226031,-2.854417,-1.134049,0.148650,0.019179,-0.127480,-0.991656
0.000121,0.158391,0.092523,-2.736584,-1.140595,0.161217,0.007630,-0.099537,-0.995005
