ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.008476,-0.082258,-0.113106,0.252378,0.234678,0.179473,-0.089134,0.170515,-0.981315
-0.031228,-0.082356,-0.074502,0.171255,0.381748,0.173796,-0.085746,0.168554,-0.981956
-0.036800,-0.069855,-0.024015,0.059580,0.438568,0.162107,-0.081349,0.167557,-0.982500
-0.040565,-0.065636,0.035223,-0.037211,0.399237,0.129185,-0.076897,0.167580,-0.982855
-0.043723,-0.069515,0.087954,-0.124599,0.266058,0.062439,-0.073388,0.168454,-0.982974
-0.034920,-0.068432,0.127982,-0.197142,0.055304,-0.009929,-0.071663,0.170056,-0.982825
-0.022026,-0.069454,0.151353,-0.264953,-0.180492,-0.086897,-0.072411,0.172314,-0.982377
-0.004796,-0.078108,0.115650,-0.290813,-0.280295,-0.128276,-0.074992,0.175002,-0.981708
-0.006379,-0.061836,0.002316,-0.304413,-0.216925,-0.133678,-0.077758,0.177833,-0.980984
-0.002744,-0.044037,-0.104397,-0.319688,-0.117336,-0.096964,-0.079607,0.180817,-0.980290
0.010663,-0.021426,-0.153319,-0.350070,-0.088969,-0.021482,-0.080671,0.184054,-0.979600
0.015084,0.016120,-0.173262,-0.402566,-0.137340,0.053137,-0.081734,0.187768,-0.978807
0.015430,0.039380,-0.211801,-0.483244,-0.223521,0.116827,-0.083301,0.192172,-0.977819
0.013128,0.040019,-0.272575,-0.595381,-0.335515,0.140022,-0.085806,0.197576,-0.976525
-0.011643,0.058167,-0.371516,-0.709301,-0.434783,0.126841,-0.089278,0.204086,-0.974873
-0.058552,0.131982,-0.502506,-0.816490,-0.606251,0.088103,-0.094158,0.211692,-0.972790
-0.107567,0.289180,-0.654364,-0.747962,-0.733559,0.047649,-0.100624,0.219578,-0.970392
-0.113672,0.403943,-0.892963,-0.316996,-0.663463,0.023109,-0.107520,0.225055,-0.968395
-0.110480,0.399113,-1.184858,0.460581,-0.253058,-0.010991,-0.112176,0.224529,-0.967989
-0.076648,0.344047,-1.435290,1.405316,0.264464,-0.037280,-0.112134,0.215432,-0.970059
-0.054278,0.344739,-1.458844,2.331291,0.640887,-0.028009,-0.107664,0.197071,-0.974460
-0.029712,0.383886,-1.288655,3.166494,0.863308,0.047438,-0.100186,0.169978,-0.980342
-0.010195,0.419448,-1.033677,3.821523,1.019598,0.154565,-0.090712,0.135377,-0.986633
-0.021960,0.432528,-0.748506,4.218333,1.152937,0.219758,-0.079694,0.095365,-0.992247
-0.043325,0.382351,-0.433303,4.388412,1.217996,0.246067,-0.067576,0.052373,-0.996339
-0.080809,0.325911,-0.071543,4.389208,1.128862,0.186574,-0.055590,0.008378,-0.998419
-0.120836,0.256048,0.321312,4.236353,0.906072,0.018608,-0.045347,-0.034963,-0.998359
-0.120008,0.130070,0.640629,3.993213,0.705682,-0.160243,-0.037280,-0.076298,-0.996388
-0.086362,0.027465,0.848483,3.729134,0.595944,-0.284069,-0.030597,-0.115019,-0.992892
-0.047671,-0.033436,1.007148,3.432424,0.553988,-0.371413,-0.024458,-0.150829,-0.988257
-0.026116,-0.045351,1.162574,3.055695,0.541407,-0.427255,-0.018364,-0.183133,-0.982917
-0.018505,-0.011200,1.320166,2.573277,0.541069,-0.450646,-0.012149,-0.211013,-0.977408
0.005145,0.028254,1.447761,1.993594,0.542151,-0.418043,-0.005847,-0.233484,-0.972343
0.041219,0.049348,1.556271,1.361559,0.477815,-0.333520,0.000132,-0.249894,-0.968273
0.077698,0.052046,1.657409,0.683617,0.259669,-0.229544,0.004516,-0.259855,-0.965637
0.089983,0.078362,1.730331,-0.027005,-0.071414,-0.113894,0.005949,-0.263039,-0.964767
0.078301,0.129712,1.717154,-0.685292,-0.375942,-0.022837,0.003867,-0.259503,-0.965735
0.059799,0.148082,1.570083,-1.234495,-0.525468,0.061751,-0.000641,-0.250118,-0.968215
0.025344,0.155079,1.343541,-1.728415,-0.615614,0.152890,-0.006484,-0.235629,-0.971821
0.010902,0.192574,1.124698,-2.130238,-0.610453,0.270817,-0.013023,-0.216622,-0.976169
-0.005661,0.240029,0.875925,-2.401847,-0.544717,0.390844,-0.019440,-0.194207,-0.980768
-0.023858,0.232920,0.635905,-2.597977,-0.369083,0.476360,-0.024833,-0.169367,-0.985240
-0.031466,0.200876,0.399022,-2.768657,-0.120292,0.505801,-0.028059,-0.142588,-0.989384
-0.055827,0.179160,0.191528,-2.907055,0.120816,0.466505,-0.028692,-0.114081,-0.993057
-0.064513,0.127528,0.032347,-2.957495,0.238706,0.360405,-0.027147,-0.084590,-0.996046
-0.081033,0.094487,-0.038011,-2.944129,0.098560,0.195177,-0.025550,-0.054859,-0.998167
-0.087137,0.104901,-0.067168,-2.816331,-0.184731,0.013844,-0.025946,-0.025815,-0.999330
-0.072305,0.112611,-0.121153,-2.577264,-0.562504,-0.151851,-0.029669,0.001327,-0.999559
-0.067311,0.122253,-0.204922,-2.279835,-0.895032,-0.261901,-0.037105,0.025697,-0.998981
-0.073267,0.154485,-0.333548,-1.981921,-1.071665,-0.318120,-0.047186,0.046962,-0.997782
