ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.055952,-0.103660,0.025106,-0.155642,0.002424,-0.028335,-0.075991,0.063865,-0.995061
-0.053015,-0.083411,0.029251,-0.074564,-0.102392,-0.069759,-0.076532,0.064949,-0.994950
-0.049992,-0.072994,0.034185,-0.089938,-0.184658,-0.106210,-0.078044,0.065640,-0.994787
-0.053498,-0.061321,0.047917,-0.216775,-0.218511,-0.141156,-0.080169,0.067013,-0.994526
-0.047213,-0.056591,0.050173,-0.422216,-0.223438,-0.150197,-0.082487,0.070049,-0.994127
-0.039627,-0.057527,0.047138,-0.663024,-0.202376,-0.140014,-0.084748,0.075350,-0.993549
-0.039311,-0.054755,0.023032,-0.896081,-0.157144,-0.113000,-0.086636,0.083030,-0.992774
-0.035474,-0.052247,-0.000458,-1.127484,-0.157168,-0.100513,-0.088260,0.093018,-0.991745
-0.042390,-0.049966,-0.008333,-1.358905,-0.172051,-0.125533,-0.090010,0.105341,-0.990354
-0.054952,-0.046497,-0.080235,-1.500874,-0.175770,-0.199469,-0.091960,0.119496,-0.988567
-0.082788,-0.044058,-0.207884,-1.516379,-0.171775,-0.310771,-0.094016,0.134329,-0.986467
-0.110683,-0.005492,-0.340416,-1.387630,-0.196400,-0.458119,-0.096348,0.148452,-0.984215
-0.112568,0.068742,-0.475840,-1.082473,-0.280250,-0.596018,-0.099514,0.160262,-0.982045
-0.098349,0.178740,-0.623099,-0.554847,-0.313262,-0.664784,-0.103586,0.167849,-0.980355
-0.071645,0.274418,-0.801487,0.242880,-0.164486,-0.619962,-0.107188,0.168865,-0.979793
-0.023653,0.342314,-1.011284,1.268225,0.173795,-0.466667,-0.108137,0.160921,-0.981025
0.021147,0.399693,-1.194908,2.419993,0.612278,-0.253694,-0.104856,0.142361,-0.984245
0.060354,0.476631,-1.281871,3.627387,1.066232,0.082766,-0.096624,0.112236,-0.988973
0.069393,0.590509,-1.236880,4.711632,1.500893,0.506017,-0.083584,0.070761,-0.993985
0.031725,0.685417,-1.071915,5.430782,1.905514,0.907666,-0.066164,0.020226,-0.997604
0.007835,0.727431,-0.803033,5.737821,2.180761,1.271662,-0.045647,-0.035460,-0.998328
-0.018238,0.728668,-0.446178,5.734591,2.169897,1.570304,-0.024533,-0.092651,-0.995396
-0.088754,0.658722,-0.019871,5.506002,1.779589,1.621066,-0.006568,-0.148620,-0.988873
-0.142899,0.476748,0.439081,5.101003,1.092296,1.326574,0.005188,-0.201220,-0.979532
-0.138252,0.208553,0.845664,4.587810,0.137051,0.796788,0.008934,-0.248806,-0.968512
-0.109546,-0.048871,1.168793,4.043300,-0.776510,0.231383,0.004291,-0.290607,-0.956833
-0.068032,-0.192020,1.287636,3.485354,-1.188513,-0.177202,-0.005531,-0.326626,-0.945137
-0.045694,-0.201857,1.194693,2.869045,-1.048301,-0.365420,-0.015372,-0.356752,-0.934073
-0.030787,-0.126947,1.118694,2.110530,-0.617550,-0.358127,-0.021886,-0.380194,-0.924648
-0.000770,-0.019528,1.144025,1.166518,-0.064353,-0.180728,-0.024010,-0.395541,-0.918134
0.030821,0.067844,1.227177,0.097487,0.494483,0.055753,-0.021726,-0.401416,-0.915638
0.053179,0.070860,1.339765,-0.958632,0.756679,0.187594,-0.016283,-0.397383,-0.917508
0.032030,-0.007108,1.501945,-1.923995,0.697362,0.125497,-0.010072,-0.383944,-0.923301
-0.010404,-0.082884,1.577472,-2.730729,0.380226,-0.062955,-0.005038,-0.362123,-0.932117
-0.035880,-0.096885,1.548528,-3.317598,-0.107401,-0.294942,-0.003106,-0.333473,-0.942754
-0.056204,-0.047398,1.398050,-3.672519,-0.521570,-0.470004,-0.004953,-0.300044,-0.953912
-0.090493,0.041030,1.138444,-3.922751,-0.829378,-0.564894,-0.010048,-0.263411,-0.964631
-0.084300,0.125038,0.877421,-4.134031,-0.999257,-0.603395,-0.017598,-0.224174,-0.974390
-0.065707,0.196844,0.600711,-4.267023,-1.055279,-0.593115,-0.026563,-0.182882,-0.982776
-0.065699,0.266716,0.310609,-4.257071,-0.951747,-0.529301,-0.035695,-0.140678,-0.989412
-0.062012,0.318509,0.021045,-4.081171,-0.745301,-0.459966,-0.043609,-0.099179,-0.994114
-0.036612,0.332289,-0.227937,-3.739798,-0.505652,-0.378615,-0.049509,-0.060118,-0.996963
-0.008525,0.345975,-0.410420,-3.266942,-0.314068,-0.278389,-0.053456,-0.025052,-0.998256
0.017006,0.342962,-0.531420,-2.702963,-0.179310,-0.162394,-0.055871,0.004847,-0.998426
0.056688,0.306461,-0.605242,-2.111802,-0.106785,-0.043622,-0.057284,0.028958,-0.997938
0.080561,0.271643,-0.638163,-1.558741,-0.013487,0.079388,-0.057933,0.047343,-0.997197
0.079860,0.247525,-0.663529,-1.129113,0.124644,0.198994,-0.057277,0.060795,-0.996506
0.067667,0.208219,-0.624333,-0.908946,0.154942,0.265678,-0.055643,0.071017,-0.995922
0.034939,0.169243,-0.506564,-0.840203,0.139012,0.259028,-0.053982,0.079857,-0.995344
0.001828,0.129866,-0.427619,-0.817053,0.115931,0.216533,-0.052457,0.088274,-0.994714
