ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.044324,-0.015284,-0.008727,-0.194444,0.057843,-0.041370,-0.058429,0.090098,-0.994217
-0.027539,-0.019263,-0.010250,-0.186227,0.032057,-0.056640,-0.058033,0.091986,-0.994068
-0.011361,-0.023795,-0.016414,-0.173014,0.018307,-0.054399,-0.057823,0.093742,-0.993916
-0.000473,-0.021943,-0.014053,-0.166142,0.001192,-0.040732,-0.057770,0.095414,-0.993760
0.006602,-0.019466,-0.009265,-0.148413,-0.011936,-0.029567,-0.057871,0.096966,-0.993604
0.002089,-0.023255,-0.006710,-0.139395,-0.002314,-0.034563,-0.057998,0.098374,-0.993458
-0.008784,-0.025694,-0.009357,-0.165222,0.020157,-0.047725,-0.057958,0.099852,-0.993313
-0.009411,-0.018106,-0.014977,-0.201605,0.026547,-0.046271,-0.057758,0.101664,-0.993141
-0.007852,-0.011396,-0.021419,-0.239458,0.011275,-0.049170,-0.057593,0.103849,-0.992924
-0.006875,-0.003034,-0.033515,-0.259139,-0.028870,-0.065039,-0.057746,0.106321,-0.992654
0.003259,-0.002048,-0.058116,-0.248471,-0.085420,-0.070100,-0.058374,0.108830,-0.992345
0.013715,-0.006458,-0.087538,-0.232247,-0.163653,-0.066267,-0.059690,0.111180,-0.992006
0.009081,0.002428,-0.117014,-0.225615,-0.227584,-0.051493,-0.061724,0.113417,-0.991628
-0.009922,0.024165,-0.179531,-0.253723,-0.255776,-0.050698,-0.064221,0.115758,-0.991199
-0.043658,0.049905,-0.285662,-0.310430,-0.232777,-0.093339,-0.066755,0.118522,-0.990705
-0.062235,0.073348,-0.421360,-0.320838,-0.197590,-0.164373,-0.069067,0.121629,-0.990170
-0.054869,0.087646,-0.567433,-0.241521,-0.135810,-0.220341,-0.071000,0.124344,-0.989696
-0.038642,0.131765,-0.712928,-0.056106,-0.033509,-0.219426,-0.072152,0.125758,-0.989434
-0.016455,0.181597,-0.826508,0.265359,0.112556,-0.162966,-0.072077,0.124663,-0.989578
-0.006333,0.212798,-0.908693,0.725249,0.360260,-0.055039,-0.069961,0.119722,-0.990339
0.004936,0.226297,-0.971704,1.279860,0.674332,0.067340,-0.064781,0.109778,-0.991843
0.006047,0.228567,-0.959409,1.889759,0.930591,0.192459,-0.056569,0.094034,-0.993961
-0.011440,0.246559,-0.844208,2.477906,1.063105,0.282688,-0.046345,0.072274,-0.996308
-0.019644,0.268610,-0.655681,2.974479,1.141518,0.348650,-0.035089,0.044974,-0.998372
-0.031664,0.256106,-0.436586,3.310712,1.108152,0.368983,-0.023588,0.013395,-0.999632
-0.055962,0.228811,-0.154050,3.459195,0.917057,0.316567,-0.013313,-0.020681,-0.999698
-0.096178,0.184968,0.164911,3.412484,0.600679,0.172144,-0.005751,-0.055313,-0.998452
-0.131890,0.111063,0.447751,3.188392,0.305394,-0.036418,-0.001304,-0.088495,-0.996076
-0.126761,0.023788,0.615915,2.872259,0.148850,-0.230073,0.000998,-0.118835,-0.992914
-0.106942,-0.023729,0.690775,2.539532,0.141224,-0.331247,0.002724,-0.145780,-0.989313
-0.081128,-0.023147,0.718472,2.261547,0.274228,-0.329697,0.005276,-0.169586,-0.985501
-0.059161,0.008859,0.757754,1.998946,0.432301,-0.259522,0.009356,-0.190636,-0.981616
-0.033743,0.039290,0.851837,1.709392,0.494800,-0.165083,0.014425,-0.208906,-0.977829
0.000535,0.052793,0.978764,1.404837,0.464302,-0.058120,0.019424,-0.224179,-0.974354
0.023506,0.046004,1.089656,1.072047,0.360033,0.056045,0.023522,-0.236342,-0.971385
0.025438,0.037340,1.193582,0.642054,0.091951,0.118137,0.025618,-0.244813,-0.969232
0.009907,0.042513,1.318827,0.078225,-0.306933,0.102970,0.024319,-0.248415,-0.968348
-0.002674,0.032802,1.378258,-0.557047,-0.672646,0.034903,0.019291,-0.246120,-0.969047
-0.010425,0.006662,1.302984,-1.172835,-0.871723,-0.047826,0.011661,-0.237619,-0.971289
-0.025104,-0.009941,1.107787,-1.684811,-0.945787,-0.115889,0.002871,-0.223564,-0.974685
-0.032464,0.010073,0.898122,-2.086078,-0.900639,-0.136508,-0.005973,-0.204973,-0.978749
-0.033220,0.053185,0.684181,-2.369465,-0.800237,-0.123718,-0.014113,-0.182931,-0.983025
-0.023030,0.078798,0.497823,-2.551760,-0.704365,-0.116301,-0.021357,-0.158510,-0.987126
-0.007528,0.098388,0.336563,-2.636492,-0.657991,-0.106576,-0.027934,-0.132659,-0.990768
-0.001822,0.134812,0.189396,-2.579007,-0.616606,-0.095836,-0.034188,-0.106568,-0.993717
0.010454,0.159669,0.043192,-2.392376,-0.550247,-0.066254,-0.039949,-0.081666,-0.995859
0.028912,0.159601,-0.085552,-2.158976,-0.503810,-0.003849,-0.045193,-0.058862,-0.997243
0.038813,0.160245,-0.176206,-1.932382,-0.494671,0.068439,-0.050196,-0.038342,-0.998003
0.042280,0.158543,-0.244327,-1.746471,-0.453044,0.123510,-0.055021,-0.019855,-0.998288
0.035202,0.152386,-0.326621,-1.600979,-0.378438,0.172574,-0.059250,-0.003002,-0.998239
