ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.013720,-0.034656,0.003303,-0.061153,-0.006132,0.035554,-0.043775,-0.028530,-0.998634
-0.017295,-0.029724,0.005821,-0.019706,-0.042151,0.016015,-0.044046,-0.028122,-0.998634
-0.018229,-0.024735,0.007510,-0.003762,-0.056739,-0.001807,-0.044561,-0.028015,-0.998614
-0.016668,-0.017048,0.004524,-0.012888,-0.064989,-0.009058,-0.045175,-0.027950,-0.998588
-0.012947,-0.014387,0.006422,-0.034618,-0.067446,-0.005731,-0.045845,-0.027727,-0.998564
-0.010679,-0.013139,0.008051,-0.075922,-0.075291,-0.008626,-0.046556,-0.027205,-0.998545
-0.013432,-0.011602,0.012648,-0.131177,-0.090973,-0.021652,-0.047390,-0.026179,-0.998533
-0.013084,-0.013192,0.013585,-0.187354,-0.115988,-0.037849,-0.048409,-0.024604,-0.998525
-0.014515,-0.021749,0.017372,-0.264391,-0.146495,-0.065925,-0.049725,-0.022379,-0.998512
-0.018941,-0.026242,0.016978,-0.374877,-0.168737,-0.102791,-0.051280,-0.019229,-0.998499
-0.014355,-0.031937,0.006906,-0.502280,-0.178912,-0.127844,-0.053012,-0.014877,-0.998483
-0.007289,-0.037121,-0.020943,-0.622866,-0.195100,-0.133650,-0.054860,-0.009281,-0.998451
-0.007996,-0.030921,-0.060867,-0.712826,-0.250934,-0.131082,-0.057052,-0.002633,-0.998368
-0.025781,-0.009101,-0.099355,-0.809695,-0.365454,-0.153549,-0.060111,0.004905,-0.998180
-0.038577,-0.001899,-0.149977,-0.922464,-0.482015,-0.223096,-0.064374,0.013481,-0.997835
-0.058954,-0.011528,-0.251966,-0.999308,-0.616906,-0.326169,-0.069937,0.022988,-0.997286
-0.084614,0.001707,-0.387266,-0.915631,-0.699617,-0.486120,-0.076748,0.032442,-0.996523
-0.104160,0.033005,-0.587351,-0.546718,-0.594295,-0.627473,-0.083569,0.039521,-0.995718
-0.096882,0.082889,-0.830327,0.112416,-0.371987,-0.670733,-0.088680,0.041287,-0.995204
-0.080511,0.166980,-1.029297,1.012799,-0.028777,-0.647936,-0.091043,0.035214,-0.995224
-0.055357,0.245646,-1.181027,2.077123,0.413332,-0.551417,-0.089266,0.019232,-0.995822
-0.030408,0.328358,-1.206927,3.108527,0.798074,-0.402914,-0.083239,-0.007236,-0.996503
-0.002695,0.386499,-1.129161,4.039307,1.296906,-0.168464,-0.072806,-0.043359,-0.996403
0.010455,0.453449,-1.045861,4.797833,1.879865,0.185969,-0.056918,-0.087771,-0.994513
-0.020198,0.545333,-0.846678,5.269646,2.368108,0.579740,-0.035985,-0.137999,-0.989778
-0.065885,0.622497,-0.470747,5.449368,2.341794,0.911367,-0.013506,-0.191177,-0.981463
-0.095726,0.645974,0.119870,5.330475,1.511188,1.041708,0.003670,-0.244179,-0.969723
-0.077519,0.509396,0.749559,4.958096,0.238937,0.874575,0.009633,-0.294216,-0.955690
-0.043502,0.219117,1.137171,4.379561,-0.939904,0.458089,0.003890,-0.338883,-0.940821
-0.025264,-0.050072,1.238488,3.653225,-1.436862,-0.006564,-0.008504,-0.376670,-0.926309
-0.028083,-0.156856,1.082564,2.812379,-1.259555,-0.315814,-0.020592,-0.406667,-0.913345
-0.045727,-0.115768,0.912619,1.891639,-0.670014,-0.433032,-0.027973,-0.428299,-0.903204
-0.036164,-0.006205,0.846236,0.869327,0.059841,-0.361834,-0.028961,-0.440984,-0.897048
-0.022696,0.112388,0.890312,-0.238389,0.731996,-0.173288,-0.024118,-0.443916,-0.895744
0.008303,0.154172,0.986446,-1.289073,1.206392,0.017963,-0.014864,-0.436948,-0.899364
0.017713,0.109176,1.076511,-2.114008,1.318022,0.086140,-0.003492,-0.421310,-0.906910
0.026316,0.029735,1.120224,-2.558978,1.145739,0.057934,0.007650,-0.399638,-0.916641
0.020816,-0.006485,1.073383,-2.639297,0.735531,-0.030951,0.016431,-0.375366,-0.926731
0.009727,-0.022599,1.008003,-2.466549,0.153937,-0.178022,0.020989,-0.351302,-0.936027
0.009386,-0.036972,0.884091,-2.125633,-0.406644,-0.316889,0.020613,-0.329483,-0.943936
-0.008110,-0.019723,0.725295,-1.783303,-0.932945,-0.406701,0.015358,-0.310858,-0.950332
-0.017080,0.038108,0.589774,-1.605915,-1.305492,-0.404274,0.005758,-0.294699,-0.955573
-0.036163,0.130634,0.417047,-1.663640,-1.422767,-0.336741,-0.006470,-0.279086,-0.960244
-0.041084,0.191521,0.223235,-1.892418,-1.243689,-0.248032,-0.018807,-0.261986,-0.964889
-0.037529,0.183030,0.010943,-2.175037,-0.783995,-0.142819,-0.028283,-0.242234,-0.969805
-0.033762,0.152896,-0.182103,-2.382550,-0.174483,-0.044877,-0.032812,-0.219897,-0.974971
-0.020961,0.121997,-0.324697,-2.444237,0.392360,0.036425,-0.031590,-0.196062,-0.980082
-0.002939,0.103925,-0.372147,-2.341707,0.686324,0.102349,-0.026221,-0.172300,-0.984696
0.019924,0.096217,-0.337687,-2.090707,0.762931,0.156441,-0.019146,-0.150203,-0.988470
0.037939,0.089244,-0.315655,-1.752002,0.663297,0.192836,-0.012182,-0.131007,-0.991307
