ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.033665,-0.034637,-0.049560,-0.007072,0.371691,0.081804,-0.068890,0.113999,-0.991090
-0.049902,-0.043749,-0.017788,-0.090584,0.386453,0.012592,-0.065043,0.114504,-0.991291
-0.052122,-0.045520,0.001613,-0.173540,0.307222,-0.053933,-0.061571,0.115832,-0.991359
-0.040708,-0.039760,0.033734,-0.210433,0.194377,-0.086911,-0.059115,0.117733,-0.991284
-0.025633,-0.029057,0.045065,-0.210059,0.021192,-0.098196,-0.058122,0.119801,-0.991095
-0.008615,-0.027818,0.054413,-0.185076,-0.155380,-0.083187,-0.058920,0.121721,-0.990814
0.002145,-0.035031,0.041919,-0.179477,-0.251668,-0.067193,-0.061121,0.123456,-0.990466
-0.002859,-0.037980,-0.006938,-0.235296,-0.234559,-0.064679,-0.063670,0.125444,-0.990056
-0.011321,-0.040869,-0.062266,-0.327960,-0.160973,-0.083542,-0.065766,0.128180,-0.989568
-0.014381,-0.053821,-0.107522,-0.432381,-0.080085,-0.096182,-0.067086,0.131901,-0.988990
-0.007880,-0.039944,-0.153415,-0.511331,-0.044839,-0.091152,-0.067773,0.136578,-0.988308
0.009803,-0.026661,-0.199077,-0.508457,-0.108996,-0.084416,-0.068611,0.141636,-0.987538
0.025455,-0.023584,-0.234313,-0.466474,-0.247954,-0.062814,-0.070454,0.146417,-0.986711
0.018105,0.014717,-0.286888,-0.462621,-0.432847,-0.030102,-0.073922,0.150964,-0.985772
0.006387,0.061726,-0.376137,-0.491619,-0.650318,0.016687,-0.079233,0.155667,-0.984627
-0.018064,0.090852,-0.504058,-0.466171,-0.899439,0.003427,-0.086916,0.160507,-0.983201
-0.046697,0.123346,-0.705295,-0.214484,-0.979100,-0.094516,-0.096430,0.164024,-0.981732
-0.073190,0.177179,-1.039598,0.403359,-0.838603,-0.196072,-0.105765,0.163184,-0.980910
-0.105381,0.249698,-1.375816,1.381079,-0.458910,-0.272412,-0.112713,0.154294,-0.981575
-0.100214,0.324232,-1.607954,2.489017,0.098630,-0.263762,-0.114935,0.134844,-0.984178
-0.058375,0.378654,-1.654037,3.468322,0.583152,-0.134650,-0.111684,0.104913,-0.988190
-0.024100,0.433631,-1.455937,4.159657,0.933040,0.064481,-0.104180,0.066689,-0.992320
-0.036159,0.465890,-1.173297,4.553491,1.307771,0.228559,-0.092946,0.023078,-0.995404
-0.086628,0.431401,-0.898031,4.624007,1.684010,0.291383,-0.077907,-0.022862,-0.996698
-0.136022,0.370137,-0.588189,4.450637,2.042934,0.267915,-0.059351,-0.068241,-0.995902
-0.169228,0.304346,-0.289993,4.185486,2.253025,0.186097,-0.037910,-0.111353,-0.993058
-0.178811,0.265252,0.047356,3.941867,2.172090,0.059402,-0.015800,-0.151772,-0.988289
-0.164978,0.249060,0.410439,3.765434,1.798596,-0.069577,0.004029,-0.189932,-0.981789
-0.108684,0.214836,0.707877,3.631193,1.290222,-0.113228,0.019450,-0.226280,-0.973868
-0.057687,0.209211,0.909594,3.460314,0.834883,-0.072185,0.029961,-0.260877,-0.964907
-0.038640,0.208068,1.037950,3.161422,0.543094,0.002529,0.036611,-0.292937,-0.955430
-0.043985,0.196885,1.130648,2.695320,0.419363,0.058977,0.041025,-0.321061,-0.946169
-0.066993,0.187236,1.214269,2.065817,0.426921,0.070580,0.044715,-0.343715,-0.938009
-0.084666,0.171436,1.296729,1.297724,0.513787,0.037187,0.048914,-0.359622,-0.931815
-0.097735,0.146959,1.375969,0.460749,0.590018,-0.056265,0.054094,-0.367860,-0.928306
-0.108338,0.103595,1.444782,-0.352737,0.587419,-0.186638,0.060120,-0.368244,-0.927784
-0.092847,0.076433,1.478818,-1.003555,0.399328,-0.284572,0.065732,-0.361620,-0.930006
-0.074738,0.105156,1.482573,-1.366215,0.052150,-0.343893,0.069046,-0.350120,-0.934157
-0.073559,0.152640,1.439125,-1.482027,-0.365325,-0.358699,0.068829,-0.336356,-0.939216
-0.047817,0.180349,1.367707,-1.522612,-0.810235,-0.305724,0.064373,-0.321905,-0.944581
-0.019754,0.178700,1.283597,-1.634391,-1.183624,-0.233566,0.055643,-0.306752,-0.950162
-0.009593,0.167905,1.164444,-1.832383,-1.464322,-0.171420,0.043483,-0.290098,-0.956009
-0.015349,0.169426,1.031487,-2.131572,-1.644746,-0.104855,0.028808,-0.270988,-0.962151
-0.026703,0.189993,0.878336,-2.527939,-1.691230,-0.055801,0.012741,-0.248388,-0.968577
-0.036046,0.211740,0.701722,-2.941478,-1.636461,-0.017772,-0.003504,-0.221612,-0.975129
-0.030161,0.213613,0.517440,-3.326546,-1.508364,0.012359,-0.019018,-0.190725,-0.981459
-0.016013,0.202964,0.311804,-3.610680,-1.296250,0.053182,-0.032998,-0.156303,-0.987158
-0.017912,0.198507,0.106699,-3.773900,-1.055882,0.064330,-0.044787,-0.119436,-0.991831
-0.035779,0.207839,-0.084931,-3.736561,-0.826151,0.039057,-0.054248,-0.081724,-0.995178
-0.040427,0.217810,-0.267799,-3.436826,-0.635401,0.003777,-0.061532,-0.045599,-0.997063
