ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.028624,-0.077910,-0.060570,-0.410387,-0.142734,-0.016851,-0.069490,0.138060,-0.987983
-0.030265,-0.068781,-0.054222,-0.347866,-0.240438,-0.061518,-0.071481,0.141795,-0.987312
-0.027117,-0.056379,-0.058090,-0.306130,-0.286828,-0.087727,-0.074247,0.144957,-0.986648
-0.022513,-0.052779,-0.069757,-0.324011,-0.299899,-0.095916,-0.077295,0.147964,-0.985968
-0.015605,-0.056533,-0.068577,-0.413343,-0.289343,-0.109335,-0.080419,0.151504,-0.985180
-0.021574,-0.054086,-0.065560,-0.547178,-0.220207,-0.086405,-0.083116,0.156153,-0.984230
-0.035212,-0.028938,-0.074731,-0.721004,-0.171022,-0.059645,-0.085134,0.162346,-0.983054
-0.028609,-0.023215,-0.081696,-0.874851,-0.163491,-0.060456,-0.086900,0.170218,-0.981567
-0.021642,-0.038823,-0.124678,-0.939206,-0.139051,-0.084302,-0.088496,0.179174,-0.979829
-0.021472,-0.041899,-0.194584,-0.902435,-0.136339,-0.129710,-0.090024,0.188215,-0.977993
-0.013634,-0.030280,-0.255392,-0.766167,-0.189935,-0.169517,-0.091881,0.196341,-0.976221
-0.011371,-0.010473,-0.313357,-0.550255,-0.294041,-0.206398,-0.094616,0.202658,-0.974668
-0.012975,0.029909,-0.370940,-0.301180,-0.413669,-0.232759,-0.098536,0.206603,-0.973451
-0.028929,0.088861,-0.424857,-0.094448,-0.543068,-0.250109,-0.103731,0.208258,-0.972558
-0.053946,0.158147,-0.505007,0.103192,-0.604431,-0.270933,-0.109964,0.207957,-0.971937
-0.080365,0.215244,-0.675539,0.434737,-0.505787,-0.324344,-0.116138,0.205151,-0.971815
-0.111024,0.279908,-0.947084,1.094603,-0.123496,-0.361724,-0.120146,0.197494,-0.972914
-0.136077,0.345607,-1.228833,2.085264,0.533218,-0.382013,-0.118913,0.181615,-0.976154
-0.132972,0.365991,-1.376394,3.219071,1.134038,-0.354025,-0.111199,0.155082,-0.981623
-0.094858,0.393036,-1.286598,4.244552,1.515821,-0.224035,-0.098395,0.117660,-0.988167
-0.061448,0.464029,-1.065139,5.038653,1.838390,0.031780,-0.081756,0.071127,-0.994111
-0.074359,0.552161,-0.826989,5.536654,2.160296,0.332369,-0.061688,0.018076,-0.997932
-0.092900,0.596732,-0.579415,5.750742,2.526405,0.654484,-0.038218,-0.038519,-0.998527
-0.120409,0.606012,-0.353206,5.777238,2.836872,0.966626,-0.011809,-0.096231,-0.995289
-0.180993,0.594380,-0.069621,5.659281,2.890126,1.108946,0.015694,-0.153385,-0.988042
-0.262553,0.509425,0.343603,5.396018,2.363918,0.934127,0.040233,-0.208430,-0.977209
-0.294974,0.313330,0.872333,4.948801,1.142736,0.413886,0.056052,-0.259390,-0.964145
-0.226997,0.041862,1.361518,4.306126,-0.222473,-0.281220,0.060204,-0.304100,-0.950736
-0.095969,-0.189731,1.530415,3.544451,-1.135754,-0.798040,0.055091,-0.341076,-0.938420
-0.006708,-0.226634,1.414524,2.730439,-1.253225,-0.948244,0.046701,-0.370106,-0.927815
-0.003945,-0.084112,1.209329,1.831260,-0.882334,-0.816561,0.040001,-0.390970,-0.919534
0.005938,0.078205,1.106476,0.863664,-0.271013,-0.551425,0.037367,-0.403156,-0.914368
0.039962,0.163330,1.076325,-0.113298,0.332136,-0.221157,0.039322,-0.406448,-0.912827
0.050794,0.191953,1.132022,-1.036551,0.695812,0.060790,0.044497,-0.401105,-0.914951
0.044326,0.182790,1.228355,-1.873668,0.850568,0.224427,0.051148,-0.387685,-0.920372
0.041391,0.150087,1.274013,-2.556798,0.779699,0.312389,0.057837,-0.367128,-0.928371
0.038768,0.109283,1.284552,-3.059851,0.500487,0.363297,0.062749,-0.340881,-0.938010
0.031794,0.091906,1.259743,-3.419639,0.056889,0.372375,0.064244,-0.310305,-0.948464
0.031520,0.097672,1.182986,-3.679327,-0.473374,0.358448,0.061208,-0.276444,-0.959079
0.009546,0.127229,1.067546,-3.901912,-1.024332,0.321092,0.053030,-0.239869,-0.969356
-0.025828,0.159608,0.926422,-4.128007,-1.456202,0.235220,0.040141,-0.200669,-0.978836
-0.054243,0.186420,0.722019,-4.346365,-1.693243,0.090263,0.024137,-0.158786,-0.987018
-0.079423,0.194789,0.461794,-4.408844,-1.662217,-0.066102,0.007203,-0.115046,-0.993334
-0.102923,0.189137,0.170535,-4.270172,-1.431014,-0.192600,-0.008222,-0.071476,-0.997408
-0.109255,0.196550,-0.059235,-4.006660,-1.174064,-0.297407,-0.021192,-0.029909,-0.999328
-0.096808,0.219005,-0.181894,-3.728099,-0.943092,-0.369781,-0.031762,0.008855,-0.999456
-0.049389,0.256229,-0.251456,-3.495244,-0.809512,-0.355334,-0.040592,0.044980,-0.998163
-0.005621,0.298089,-0.293790,-3.251788,-0.745716,-0.238808,-0.048563,0.078696,-0.995715
0.015916,0.321043,-0.338431,-2.949808,-0.700160,-0.113989,-0.055940,0.109651,-0.992395
0.032103,0.294347,-0.410978,-2.564637,-0.657708,-0.033451,-0.062803,0.137142,-0.988559
