ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.016585,-0.002748,-0.080746,0.165935,-0.043154,0.116988,-0.027803,0.029436,-0.999180
-0.017155,-0.009991,-0.057535,0.179819,-0.084592,0.126928,-0.028423,0.027706,-0.999212
-0.022226,-0.018253,-0.037652,0.154074,-0.111766,0.118562,-0.029380,0.026050,-0.999229
-0.032457,-0.026112,-0.017836,0.100431,-0.138383,0.093443,-0.030623,0.024785,-0.999224
-0.040511,-0.032473,-0.013466,0.037418,-0.123673,0.049963,-0.031953,0.024111,-0.999198
-0.043721,-0.052970,-0.033379,-0.026736,-0.069275,-0.001566,-0.032924,0.024070,-0.999168
-0.038558,-0.062645,-0.047980,-0.070767,-0.031343,-0.036030,-0.033417,0.024575,-0.999139
-0.025052,-0.055369,-0.050264,-0.068649,-0.018983,-0.049134,-0.033664,0.025294,-0.999113
-0.021835,-0.043077,-0.054985,-0.040208,-0.025253,-0.046984,-0.033890,0.025819,-0.999092
-0.012633,-0.027845,-0.056214,-0.028069,-0.067755,-0.028477,-0.034333,0.026137,-0.999069
-0.007726,-0.019712,-0.049558,-0.036161,-0.130741,-0.011187,-0.035334,0.026442,-0.999026
-0.003169,-0.021197,-0.050746,-0.063535,-0.206221,0.003962,-0.037007,0.026935,-0.998952
-0.003519,-0.031450,-0.057065,-0.149543,-0.298135,0.008419,-0.039526,0.027956,-0.998827
-0.017912,-0.024415,-0.073158,-0.283511,-0.402479,-0.024681,-0.043031,0.030122,-0.998620
-0.044868,-0.000622,-0.137533,-0.410157,-0.594214,-0.111448,-0.047936,0.033581,-0.998286
-0.071091,0.041270,-0.214239,-0.439428,-0.738964,-0.225224,-0.054748,0.037862,-0.997782
-0.083403,0.098855,-0.368862,-0.302302,-0.828448,-0.327058,-0.062730,0.041526,-0.997166
-0.070192,0.136224,-0.524354,0.005109,-0.865929,-0.416381,-0.071471,0.042900,-0.996520
-0.041973,0.153032,-0.706645,0.577918,-0.670800,-0.452473,-0.079533,0.039809,-0.996037
-0.019761,0.180857,-0.927946,1.328546,-0.280881,-0.430466,-0.084503,0.029928,-0.995974
-0.021019,0.245988,-1.064651,2.128004,0.183147,-0.367983,-0.085137,0.012328,-0.996293
-0.017595,0.324503,-1.106182,2.952035,0.618223,-0.231781,-0.081083,-0.013437,-0.996617
0.020511,0.380278,-0.988542,3.613086,1.036703,-0.000547,-0.072787,-0.046553,-0.996260
0.033965,0.416025,-0.830939,4.069256,1.405919,0.258766,-0.060606,-0.085062,-0.994531
0.024097,0.433544,-0.599678,4.303769,1.670288,0.453815,-0.045582,-0.126781,-0.990883
-0.015594,0.409559,-0.307621,4.345596,1.807520,0.566139,-0.028992,-0.169675,-0.985073
-0.080932,0.362396,0.000102,4.230993,1.716298,0.556756,-0.012528,-0.211959,-0.977198
-0.123909,0.271154,0.345164,4.004934,1.378163,0.413585,0.001579,-0.252248,-0.967661
-0.128850,0.145826,0.667654,3.690205,0.858347,0.183004,0.011677,-0.289579,-0.957083
-0.098997,0.028544,0.939572,3.230596,0.242638,-0.057140,0.016752,-0.322764,-0.946331
-0.062055,-0.057934,1.125117,2.642281,-0.237101,-0.250306,0.017164,-0.350605,-0.936366
-0.038978,-0.094324,1.179353,1.953993,-0.511232,-0.367096,0.014656,-0.372153,-0.928056
-0.041387,-0.076239,1.164498,1.215535,-0.462912,-0.386497,0.011388,-0.386865,-0.922066
-0.044576,-0.029067,1.101904,0.409092,-0.181163,-0.315537,0.009725,-0.394394,-0.918890
-0.034217,0.008339,1.063334,-0.436161,0.202168,-0.188674,0.010810,-0.394249,-0.918940
-0.017581,0.006352,1.056773,-1.239828,0.503566,-0.122511,0.014758,-0.386418,-0.922206
-0.004512,-0.049534,1.079139,-1.879655,0.612244,-0.147506,0.020549,-0.371746,-0.928107
0.000213,-0.085391,1.063854,-2.269512,0.536132,-0.165306,0.026643,-0.352124,-0.935574
-0.006661,-0.053608,1.028777,-2.467631,0.250144,-0.209771,0.031106,-0.329616,-0.943602
0.004677,-0.026116,0.978636,-2.571596,-0.208367,-0.262780,0.032142,-0.305473,-0.951658
0.004649,0.029583,0.879533,-2.591497,-0.756049,-0.269991,0.028325,-0.280528,-0.959428
-0.013989,0.120817,0.716720,-2.518967,-1.191082,-0.243719,0.019422,-0.255674,-0.966568
-0.035992,0.187559,0.479109,-2.405855,-1.347927,-0.197426,0.007427,-0.231626,-0.972777
-0.047038,0.222378,0.221173,-2.293287,-1.291468,-0.153682,-0.005254,-0.208569,-0.977994
-0.037695,0.209844,0.005559,-2.175623,-1.019952,-0.076932,-0.016535,-0.186559,-0.982305
-0.021421,0.191368,-0.174444,-2.100075,-0.628420,-0.002590,-0.024675,-0.165443,-0.985911
-0.007127,0.182519,-0.301923,-2.042991,-0.222526,0.055264,-0.028914,-0.144845,-0.989032
0.002002,0.175024,-0.370059,-1.947318,0.092849,0.093383,-0.029575,-0.124914,-0.991727
0.003660,0.156812,-0.382154,-1.802496,0.247531,0.100957,-0.027906,-0.106137,-0.993960
0.015839,0.139017,-0.364773,-1.625199,0.279663,0.097742,-0.025285,-0.088937,-0.995716
