ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.003758,-0.000828,0.048564,-0.233016,0.066849,-0.055453,-0.058391,0.016102,-0.998164
0.001470,0.004653,0.052610,-0.230128,0.029236,-0.049640,-0.057912,0.018418,-0.998152
0.001377,0.013845,0.043466,-0.203468,-0.003679,-0.054307,-0.057789,0.020579,-0.998117
0.003867,0.010417,0.037458,-0.173031,-0.052768,-0.069210,-0.058082,0.022420,-0.998060
0.007960,0.003022,0.034860,-0.153241,-0.093016,-0.083266,-0.058833,0.024001,-0.997979
0.013365,0.003944,0.027857,-0.162422,-0.132189,-0.083598,-0.059981,0.025521,-0.997873
0.011896,0.012402,0.026632,-0.202391,-0.170023,-0.083445,-0.061533,0.027286,-0.997732
0.013874,0.020342,0.015792,-0.255528,-0.171798,-0.075220,-0.063297,0.029540,-0.997557
0.017613,0.017488,-0.008165,-0.315529,-0.165628,-0.052291,-0.065022,0.032363,-0.997359
0.017767,0.015835,-0.030845,-0.375004,-0.138499,-0.029112,-0.066565,0.035801,-0.997140
0.023316,0.014124,-0.063414,-0.427188,-0.107881,-0.008344,-0.067795,0.039816,-0.996904
0.025009,0.007264,-0.096281,-0.472792,-0.093110,0.011291,-0.068801,0.044326,-0.996645
0.026460,0.004733,-0.137528,-0.504387,-0.088237,0.031371,-0.069688,0.049253,-0.996352
0.023435,0.007572,-0.186675,-0.529223,-0.145591,0.057231,-0.070798,0.054455,-0.996003
0.011741,0.019789,-0.229838,-0.571129,-0.237202,0.051224,-0.072669,0.060000,-0.995550
-0.006649,0.046589,-0.319318,-0.576159,-0.332648,-0.000526,-0.075550,0.065823,-0.994967
-0.035738,0.064491,-0.466287,-0.454117,-0.369113,-0.108444,-0.079131,0.071038,-0.994330
-0.072266,0.106183,-0.644329,-0.126896,-0.309614,-0.241606,-0.082733,0.073947,-0.993824
-0.083616,0.153871,-0.824892,0.416411,-0.145521,-0.311049,-0.085253,0.072386,-0.993726
-0.072110,0.200205,-0.960383,1.099957,0.153556,-0.304193,-0.085559,0.064596,-0.994237
-0.040286,0.247758,-1.051754,1.847787,0.510933,-0.169791,-0.082364,0.049652,-0.995365
0.000482,0.289901,-1.027205,2.522217,0.874833,0.064217,-0.075463,0.027604,-0.996766
0.025587,0.331410,-0.916958,3.023137,1.360220,0.352818,-0.064330,-0.000172,-0.997929
0.018468,0.375360,-0.808566,3.399270,1.873248,0.661064,-0.048193,-0.032204,-0.998319
-0.007185,0.377982,-0.612027,3.658400,2.310046,0.955274,-0.027513,-0.067373,-0.997348
-0.039373,0.357742,-0.341147,3.805098,2.480792,1.168284,-0.004236,-0.104644,-0.994501
-0.100562,0.330105,0.019357,3.844227,2.298091,1.191594,0.018332,-0.142971,-0.989557
-0.165411,0.230525,0.421470,3.763010,1.740168,0.991617,0.036825,-0.181071,-0.982780
-0.198569,0.064026,0.809130,3.573040,0.838437,0.590815,0.048072,-0.217590,-0.974856
-0.183134,-0.112055,1.130533,3.267075,-0.158854,0.086989,0.050551,-0.251226,-0.966608
-0.158599,-0.211056,1.300661,2.804956,-0.909758,-0.364710,0.045531,-0.280658,-0.958727
-0.126854,-0.205603,1.282947,2.211711,-1.166076,-0.614393,0.036720,-0.304605,-0.951771
-0.091181,-0.134867,1.145382,1.548822,-1.034989,-0.652216,0.028102,-0.322378,-0.946194
-0.069110,-0.049316,1.038182,0.853430,-0.669309,-0.568311,0.021915,-0.333634,-0.942448
-0.049041,0.009841,0.974361,0.137425,-0.206514,-0.417052,0.019469,-0.338255,-0.940853
-0.026451,0.041350,0.976326,-0.621458,0.092630,-0.251422,0.020225,-0.335921,-0.941673
-0.000391,0.045163,1.055778,-1.323465,0.119617,-0.154788,0.022043,-0.326550,-0.944923
0.009672,0.030997,1.088814,-1.801065,-0.035107,-0.126790,0.022967,-0.311484,-0.949974
-0.009466,0.027237,1.023371,-2.098021,-0.309753,-0.140800,0.021795,-0.292694,-0.955958
-0.022670,0.051047,0.922261,-2.327407,-0.631730,-0.154186,0.017650,-0.271307,-0.962331
-0.029195,0.102665,0.778571,-2.528803,-0.906617,-0.173733,0.010580,-0.247669,-0.968787
-0.027198,0.139489,0.586035,-2.647525,-1.061619,-0.179925,0.001258,-0.222283,-0.974981
-0.036960,0.165462,0.358602,-2.658410,-1.031019,-0.166092,-0.008786,-0.196147,-0.980535
-0.039643,0.176002,0.126374,-2.601921,-0.846549,-0.160655,-0.017837,-0.170127,-0.985261
-0.017825,0.174860,-0.071675,-2.469209,-0.614704,-0.141868,-0.024824,-0.144922,-0.989132
0.002054,0.180082,-0.207204,-2.264588,-0.415604,-0.102904,-0.029764,-0.121320,-0.992167
0.022380,0.189400,-0.302242,-1.961479,-0.268063,-0.040820,-0.033061,-0.100181,-0.994420
0.042247,0.197737,-0.352241,-1.618063,-0.224652,0.032253,-0.035442,-0.082273,-0.995979
0.051263,0.185003,-0.358828,-1.294194,-0.227712,0.101797,-0.037775,-0.067678,-0.996992
0.045244,0.174506,-0.363839,-1.036212,-0.213264,0.167029,-0.040086,-0.055991,-0.997626
