ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.019717,-0.028971,-0.294701,-0.002852,-0.109861,0.113777,-0.132596,0.107599,-0.985313
-0.026386,-0.043177,-0.241792,-0.014395,-0.027245,0.120836,-0.133160,0.107813,-0.985213
-0.040359,-0.057530,-0.210388,-0.073039,0.050053,0.093021,-0.132935,0.108357,-0.985184
-0.061299,-0.053507,-0.184548,-0.158338,0.103121,0.038884,-0.132091,0.109599,-0.985160
-0.062557,-0.043014,-0.160151,-0.217146,0.119624,-0.009654,-0.130955,0.111511,-0.985097
-0.052152,-0.043504,-0.140209,-0.233510,0.105806,-0.033651,-0.129840,0.113741,-0.984990
-0.034792,-0.039597,-0.126098,-0.214103,0.077183,-0.030376,-0.128966,0.115937,-0.984848
-0.020928,-0.024620,-0.124748,-0.161989,0.040730,0.009042,-0.128394,0.117791,-0.984703
-0.008903,-0.026691,-0.133079,-0.102655,0.019707,0.042023,-0.128091,0.119129,-0.984582
-0.011328,-0.036259,-0.155904,-0.072595,0.028259,0.050824,-0.127817,0.120030,-0.984508
-0.018874,-0.042233,-0.186528,-0.076000,0.037557,0.048432,-0.127428,0.120816,-0.984462
-0.027515,-0.045922,-0.213964,-0.112563,0.039613,0.021655,-0.126995,0.121774,-0.984400
-0.041984,-0.035988,-0.252089,-0.177958,0.060352,-0.002023,-0.126503,0.123208,-0.984285
-0.055292,-0.015907,-0.323947,-0.248452,0.070822,-0.000694,-0.125876,0.125328,-0.984098
-0.071481,0.010760,-0.410330,-0.284339,0.015265,0.009006,-0.125373,0.127989,-0.983819
-0.077952,0.055976,-0.491078,-0.260182,-0.113630,0.013464,-0.125844,0.130762,-0.983394
-0.098865,0.115630,-0.608774,-0.096410,-0.216891,-0.002982,-0.127499,0.132631,-0.982931
-0.124685,0.155371,-0.785309,0.229394,-0.246514,-0.079734,-0.129908,0.132028,-0.982697
-0.146650,0.194006,-0.990885,0.760486,-0.080428,-0.194585,-0.131884,0.127100,-0.983083
-0.158123,0.239258,-1.219235,1.506130,0.306749,-0.261168,-0.131137,0.115676,-0.984592
-0.141448,0.271548,-1.353037,2.344230,0.769515,-0.281697,-0.126084,0.096234,-0.987341
-0.099082,0.279291,-1.326676,3.102669,1.141563,-0.236006,-0.116738,0.068717,-0.990783
-0.073438,0.345732,-1.122474,3.664366,1.365333,-0.115808,-0.104235,0.034609,-0.993950
-0.075040,0.413535,-0.857570,4.013297,1.544481,-0.008108,-0.089694,-0.004004,-0.995961
-0.090602,0.380087,-0.584995,4.116230,1.690450,0.009216,-0.073445,-0.044882,-0.996289
-0.106539,0.315960,-0.299534,4.025581,1.814558,-0.049450,-0.055906,-0.085751,-0.994747
-0.107169,0.262513,-0.051437,3.879444,1.890207,-0.106202,-0.037225,-0.125260,-0.991425
-0.106316,0.236508,0.206519,3.752233,1.775759,-0.145902,-0.018669,-0.163235,-0.986410
-0.094626,0.229440,0.495489,3.641286,1.515074,-0.152527,-0.002069,-0.199807,-0.979833
-0.056639,0.227102,0.728182,3.513113,1.188220,-0.082952,0.011489,-0.234945,-0.971941
-0.025726,0.214372,0.915391,3.305504,0.876226,0.011657,0.021561,-0.268205,-0.963121
-0.008883,0.178905,1.055594,2.930851,0.715398,0.076560,0.029009,-0.298397,-0.954001
-0.019357,0.142903,1.134748,2.374609,0.688730,0.117247,0.035303,-0.323857,-0.945447
-0.040501,0.134608,1.215743,1.649803,0.778028,0.125711,0.041798,-0.343059,-0.938384
-0.052174,0.126402,1.289473,0.819470,0.892314,0.134132,0.049214,-0.354780,-0.933654
-0.044203,0.105135,1.367054,-0.029912,0.914393,0.150545,0.057265,-0.358552,-0.931752
-0.043799,0.080928,1.454871,-0.829097,0.762155,0.144345,0.064688,-0.354563,-0.932792
-0.052550,0.063697,1.514379,-1.493234,0.421314,0.072228,0.069975,-0.343619,-0.936499
-0.059351,0.048971,1.517949,-1.920326,-0.056688,-0.077170,0.071696,-0.327321,-0.942189
-0.070528,0.029052,1.420524,-2.089751,-0.488529,-0.241534,0.069581,-0.308028,-0.948829
-0.085089,0.023465,1.263303,-2.155082,-0.932730,-0.398001,0.063742,-0.287457,-0.955670
-0.078736,0.036630,1.123173,-2.187564,-1.276465,-0.495196,0.054276,-0.266244,-0.962376
-0.071734,0.083986,0.950910,-2.267855,-1.522274,-0.520016,0.041949,-0.244417,-0.968763
-0.064559,0.143401,0.795790,-2.467959,-1.680366,-0.507165,0.027435,-0.221160,-0.974852
-0.054671,0.199143,0.630831,-2.759912,-1.662719,-0.446830,0.011855,-0.195389,-0.980654
-0.048773,0.242956,0.418751,-3.040929,-1.493206,-0.362076,-0.003061,-0.166646,-0.986012
-0.036226,0.255374,0.189658,-3.225436,-1.200552,-0.274053,-0.016081,-0.135455,-0.990653
-0.028993,0.251466,-0.027566,-3.305802,-0.829224,-0.179983,-0.025939,-0.102830,-0.994361
-0.018837,0.252192,-0.192675,-3.304394,-0.505455,-0.083116,-0.032478,-0.069727,-0.997037
-0.004798,0.238254,-0.303684,-3.227567,-0.208461,0.002289,-0.036035,-0.036914,-0.998669
