ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.052873,-0.091938,-0.189275,0.240125,0.395398,0.072370,-0.045592,0.088627,-0.995021
-0.059110,-0.080693,-0.121784,0.180347,0.280347,0.026978,-0.042132,0.086537,-0.995357
-0.054446,-0.066849,-0.068801,0.142354,0.212309,-0.008918,-0.039762,0.084961,-0.995591
-0.053888,-0.068377,-0.094588,0.160346,0.246254,-0.031307,-0.037497,0.083468,-0.995805
-0.055056,-0.063537,-0.122615,0.214155,0.265752,-0.030939,-0.034940,0.081604,-0.996052
-0.049544,-0.057976,-0.102175,0.307882,0.266612,-0.020595,-0.032289,0.079003,-0.996351
-0.044341,-0.048102,-0.075131,0.402104,0.232833,0.007724,-0.029740,0.075431,-0.996707
-0.037179,-0.047849,-0.028961,0.432397,0.113093,0.021542,-0.027976,0.071195,-0.997070
-0.032621,-0.050300,0.030741,0.337097,-0.038585,-0.006716,-0.027590,0.067252,-0.997354
-0.043866,-0.050088,0.064606,0.131772,-0.179352,-0.074033,-0.028720,0.064843,-0.997482
-0.048820,-0.070515,0.059230,-0.124815,-0.264455,-0.155796,-0.031045,0.064778,-0.997417
-0.035518,-0.091586,0.005276,-0.357507,-0.320211,-0.201785,-0.034108,0.067172,-0.997158
-0.021769,-0.089004,-0.061013,-0.554079,-0.376286,-0.230769,-0.037756,0.071701,-0.996711
-0.005563,-0.072089,-0.150984,-0.670950,-0.457653,-0.239253,-0.042060,0.077812,-0.996080
0.017206,-0.046488,-0.275724,-0.700151,-0.636481,-0.252476,-0.047678,0.084620,-0.995272
0.019385,-0.012089,-0.423361,-0.610145,-0.764724,-0.280890,-0.055014,0.091130,-0.994318
-0.005807,0.058981,-0.650310,-0.385116,-0.784041,-0.289992,-0.063056,0.096003,-0.993382
-0.038660,0.169663,-0.868459,-0.060754,-0.787428,-0.306741,-0.071219,0.098098,-0.992625
-0.065414,0.267311,-1.034873,0.388006,-0.647191,-0.315179,-0.078812,0.096306,-0.992227
-0.074310,0.309645,-1.199596,0.980620,-0.318569,-0.291626,-0.084030,0.089327,-0.992451
-0.061390,0.313469,-1.338129,1.708190,0.214709,-0.270184,-0.084927,0.075722,-0.993506
-0.064193,0.325301,-1.421546,2.491916,0.855024,-0.234906,-0.079743,0.054506,-0.995324
-0.041877,0.345861,-1.354372,3.183082,1.371502,-0.111552,-0.068566,0.025813,-0.997313
-0.030367,0.400239,-1.075862,3.634314,1.697132,0.054607,-0.053053,-0.008576,-0.998555
-0.029098,0.447511,-0.729768,3.884465,1.863202,0.240047,-0.035141,-0.046388,-0.998305
-0.045244,0.439651,-0.391481,3.950854,1.921703,0.369805,-0.016310,-0.085738,-0.996184
-0.073768,0.392425,-0.065536,3.860322,1.899337,0.387041,0.002448,-0.124846,-0.992173
-0.114764,0.313481,0.230049,3.685763,1.797748,0.308110,0.020388,-0.162464,-0.986504
-0.151091,0.230358,0.507624,3.490710,1.615951,0.171605,0.036895,-0.198024,-0.979502
-0.151203,0.148904,0.763075,3.278782,1.381979,0.061695,0.051365,-0.231301,-0.971525
-0.148297,0.094332,0.978658,3.025414,1.116500,-0.033856,0.063519,-0.262011,-0.962972
-0.147957,0.041054,1.178842,2.704858,0.844977,-0.163791,0.073189,-0.289619,-0.954340
-0.145558,-0.009153,1.312041,2.264925,0.704250,-0.248051,0.081166,-0.313295,-0.946181
-0.146072,0.010417,1.375783,1.669525,0.657804,-0.271848,0.088409,-0.331798,-0.939199
-0.156720,0.068951,1.423012,0.982972,0.683766,-0.266673,0.095609,-0.344082,-0.934059
-0.149762,0.105774,1.472806,0.231183,0.682243,-0.230611,0.102933,-0.349563,-0.931241
-0.134581,0.102451,1.530638,-0.556934,0.594481,-0.206565,0.109740,-0.347812,-0.931120
-0.122345,0.098586,1.564273,-1.303784,0.340322,-0.219267,0.114975,-0.338790,-0.933811
-0.105462,0.099766,1.571639,-1.860320,-0.128791,-0.281196,0.116891,-0.323460,-0.938994
-0.099561,0.100915,1.511881,-2.162287,-0.679658,-0.337146,0.114057,-0.303887,-0.945856
-0.091377,0.131396,1.358546,-2.268229,-1.255654,-0.358061,0.105843,-0.282244,-0.953486
-0.081016,0.192555,1.166065,-2.291224,-1.756759,-0.351213,0.092216,-0.259922,-0.961216
-0.072592,0.245090,0.927161,-2.328376,-2.036591,-0.290495,0.074453,-0.237262,-0.968588
-0.065162,0.300213,0.657542,-2.435126,-2.066496,-0.179280,0.054801,-0.213878,-0.975322
-0.045918,0.331586,0.407367,-2.639868,-1.899493,-0.030174,0.035359,-0.188916,-0.981356
-0.030017,0.335707,0.186406,-2.896382,-1.586230,0.124673,0.018009,-0.161559,-0.986699
-0.004723,0.316588,-0.011579,-3.102600,-1.270478,0.236316,0.003533,-0.131651,-0.991290
0.002432,0.282868,-0.172703,-3.128503,-0.978592,0.280281,-0.007986,-0.100403,-0.994915
-0.006590,0.241447,-0.316512,-2.966655,-0.778202,0.260829,-0.016939,-0.069724,-0.997423
-0.007940,0.206712,-0.421122,-2.669375,-0.717456,0.214364,-0.024515,-0.041306,-0.998846
