ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.046919,-0.027423,-0.125820,0.005327,0.051269,-0.071514,-0.050295,0.209186,-0.976582
-0.039587,-0.029769,-0.134888,0.027679,0.155472,-0.026371,-0.049372,0.208999,-0.976669
-0.036012,-0.026960,-0.118712,0.035210,0.196700,0.005390,-0.047637,0.208677,-0.976824
-0.038396,-0.029632,-0.078860,0.028122,0.198650,0.006183,-0.045649,0.208358,-0.976987
-0.036316,-0.034787,-0.041784,0.010980,0.118800,-0.019024,-0.044036,0.208142,-0.977107
-0.028502,-0.043102,0.004763,-0.026916,-0.034038,-0.069772,-0.043672,0.208187,-0.977114
-0.019691,-0.051945,0.029038,-0.072248,-0.197540,-0.128031,-0.045022,0.208623,-0.976959
-0.017357,-0.040386,0.019424,-0.120608,-0.290581,-0.191719,-0.047829,0.209500,-0.976638
-0.015622,-0.046093,-0.038825,-0.150381,-0.278597,-0.240083,-0.051135,0.210735,-0.976205
-0.008114,-0.043394,-0.101326,-0.168462,-0.230012,-0.247806,-0.054157,0.212172,-0.975730
0.000779,-0.020096,-0.130943,-0.194039,-0.189956,-0.222161,-0.056733,0.213806,-0.975227
0.003024,0.014938,-0.150233,-0.243093,-0.143429,-0.183272,-0.058810,0.215821,-0.974660
0.011971,0.035385,-0.189262,-0.303276,-0.099389,-0.140517,-0.060342,0.218399,-0.973992
0.018825,0.041266,-0.232494,-0.355927,-0.078488,-0.101297,-0.061458,0.221552,-0.973210
0.017559,0.053780,-0.280048,-0.403120,-0.103849,-0.081202,-0.062527,0.225212,-0.972301
0.010479,0.099596,-0.339799,-0.429519,-0.137922,-0.061428,-0.063885,0.229261,-0.971266
-0.001477,0.174707,-0.442041,-0.396378,-0.127267,-0.040840,-0.065311,0.233314,-0.970206
-0.013484,0.255364,-0.580840,-0.245945,-0.063573,0.029911,-0.066319,0.236518,-0.969361
-0.040027,0.374961,-0.725629,0.059212,0.148820,0.159793,-0.065808,0.237588,-0.969134
-0.058461,0.466284,-0.895324,0.540764,0.524843,0.308986,-0.062052,0.234919,-0.970032
-0.069518,0.498616,-1.030696,1.147599,1.040315,0.449169,-0.053620,0.226940,-0.972432
-0.061318,0.496372,-1.113531,1.821790,1.440733,0.606471,-0.040092,0.212689,-0.976297
-0.020635,0.469266,-1.019782,2.576807,1.538646,0.757537,-0.023905,0.191302,-0.981240
0.018988,0.433021,-0.779416,3.366919,1.402761,0.867871,-0.007803,0.162011,-0.986758
0.024225,0.383421,-0.522654,4.097427,1.138094,0.898968,0.006171,0.124804,-0.992162
-0.006238,0.322671,-0.256621,4.673795,0.756180,0.834484,0.016644,0.080710,-0.996599
-0.060628,0.283961,0.062587,4.999557,0.240794,0.653980,0.022145,0.031835,-0.999248
-0.104621,0.226830,0.386716,5.028775,-0.338213,0.355435,0.021736,-0.018868,-0.999586
-0.121820,0.121894,0.629324,4.832386,-0.931195,0.037772,0.015222,-0.068518,-0.997534
-0.126800,0.021397,0.802584,4.534700,-1.335688,-0.206479,0.003814,-0.115467,-0.993304
-0.120251,-0.033976,0.909862,4.095788,-1.447692,-0.369114,-0.009861,-0.158559,-0.987300
-0.089054,-0.070840,0.936624,3.501528,-1.255744,-0.423227,-0.022686,-0.196310,-0.980279
-0.052706,-0.063384,0.948267,2.783341,-0.861774,-0.404693,-0.032285,-0.227357,-0.973276
-0.009329,-0.044182,0.980442,2.005823,-0.440763,-0.348431,-0.037684,-0.250862,-0.967289
0.032599,-0.034879,1.060361,1.279121,-0.117837,-0.260961,-0.039542,-0.266879,-0.962919
0.063334,-0.038968,1.156343,0.661160,0.104907,-0.149540,-0.038965,-0.276294,-0.960283
0.085378,-0.045596,1.234349,0.083894,0.164782,-0.026943,-0.037298,-0.279935,-0.959294
0.104151,-0.038029,1.300933,-0.525581,0.029689,0.041951,-0.036295,-0.277828,-0.959945
0.109331,-0.043387,1.319671,-1.133831,-0.212328,0.042912,-0.037264,-0.269769,-0.962204
0.094103,-0.052378,1.274636,-1.670834,-0.425012,0.028344,-0.040515,-0.256109,-0.965798
0.058681,-0.021556,1.159289,-2.152287,-0.513391,0.021118,-0.045223,-0.237477,-0.970340
0.026685,0.032213,0.999601,-2.660057,-0.547870,0.012904,-0.050458,-0.213960,-0.975538
0.018435,0.073085,0.825124,-3.190690,-0.504718,0.014092,-0.055727,-0.185145,-0.981130
0.004384,0.098140,0.604031,-3.657745,-0.366773,-0.006255,-0.060094,-0.151194,-0.986676
-0.005493,0.124225,0.373642,-3.986223,-0.149863,-0.061432,-0.062684,-0.113070,-0.991608
-0.009565,0.139085,0.135903,-4.064592,0.096512,-0.095106,-0.062854,-0.072724,-0.995370
-0.010705,0.154182,-0.048267,-3.876185,0.254882,-0.116244,-0.060935,-0.032844,-0.997601
0.001595,0.160759,-0.169332,-3.473957,0.292702,-0.149146,-0.058129,0.004082,-0.998301
0.021292,0.162789,-0.259966,-2.973400,0.234086,-0.169781,-0.055411,0.036369,-0.997801
0.036415,0.193151,-0.314271,-2.518213,0.075789,-0.167010,-0.053947,0.063777,-0.996505
