ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.013898,0.026380,-0.058020,-0.079636,-0.131396,-0.016969,-0.009961,0.047549,-0.998819
0.001723,0.015004,-0.069496,-0.190827,-0.067731,-0.040109,-0.010985,0.048946,-0.998741
-0.002542,0.004749,-0.085537,-0.222345,0.000524,-0.075481,-0.011359,0.051068,-0.998631
-0.006193,-0.000226,-0.100228,-0.181135,0.047751,-0.113975,-0.011141,0.053113,-0.998526
0.005260,-0.000426,-0.086509,-0.113757,0.038714,-0.141174,-0.010738,0.054580,-0.998452
0.021302,0.003735,-0.049832,-0.083053,-0.025812,-0.154487,-0.010728,0.055500,-0.998401
0.022955,0.030589,-0.012866,-0.143901,-0.082355,-0.162057,-0.011404,0.056570,-0.998334
0.011180,0.066937,-0.022314,-0.258152,-0.070186,-0.154276,-0.012294,0.058552,-0.998209
0.007693,0.082519,-0.061587,-0.357140,-0.037513,-0.124594,-0.012927,0.061662,-0.998013
0.010519,0.088290,-0.091737,-0.382336,-0.006484,-0.082401,-0.013205,0.065412,-0.997771
0.026574,0.088363,-0.104162,-0.339371,-0.028343,-0.015668,-0.013375,0.069062,-0.997523
0.046770,0.084534,-0.089037,-0.268113,-0.119881,0.083125,-0.014055,0.072113,-0.997297
0.052393,0.067887,-0.068097,-0.232355,-0.275440,0.175260,-0.015894,0.074585,-0.997088
0.040986,0.032050,-0.041557,-0.306240,-0.504839,0.235844,-0.019608,0.077249,-0.996819
0.022970,-0.001804,-0.050379,-0.454184,-0.761455,0.270582,-0.025747,0.081089,-0.996374
0.014100,-0.032999,-0.130102,-0.635629,-1.024594,0.278923,-0.034440,0.086619,-0.995646
0.004623,-0.032274,-0.256553,-0.765036,-1.324250,0.262600,-0.045929,0.093813,-0.994530
-0.016682,-0.008153,-0.411917,-0.742183,-1.625372,0.224424,-0.060421,0.101583,-0.992991
-0.066400,0.032865,-0.609371,-0.487578,-1.790629,0.098369,-0.077475,0.108035,-0.991124
-0.137535,0.072321,-0.945441,0.124319,-1.641077,-0.129556,-0.094704,0.110053,-0.989404
-0.197716,0.125285,-1.381307,1.136108,-1.294492,-0.454867,-0.109825,0.103765,-0.988520
-0.256207,0.231377,-1.812997,2.591277,-0.547787,-0.707089,-0.119800,0.084770,-0.989172
-0.251922,0.393079,-2.120010,4.172395,0.295508,-0.704282,-0.121430,0.050128,-0.991333
-0.198198,0.571348,-2.037779,5.483960,0.703336,-0.449747,-0.116316,0.000964,-0.993212
-0.145264,0.722424,-1.542940,6.249617,0.736757,-0.086890,-0.108901,-0.058346,-0.992339
-0.187374,0.776015,-0.959710,6.359455,0.505444,0.080807,-0.102665,-0.121519,-0.987265
-0.256915,0.617100,-0.339091,5.813634,0.298310,-0.091144,-0.098843,-0.182057,-0.978307
-0.278012,0.318966,0.079536,4.869556,0.600179,-0.403607,-0.094363,-0.234707,-0.967475
-0.262342,0.116145,0.238327,3.821535,1.368141,-0.632697,-0.083544,-0.277217,-0.957168
-0.215110,0.088115,0.384549,2.980630,2.031051,-0.703023,-0.065087,-0.310114,-0.948469
-0.142916,0.153678,0.645477,2.505172,2.359657,-0.634978,-0.041823,-0.336340,-0.940811
-0.057578,0.203905,0.951684,2.252930,2.331741,-0.463480,-0.017557,-0.358873,-0.933221
0.002388,0.234045,1.291048,1.934290,2.013020,-0.265749,0.004189,-0.378592,-0.925554
0.040746,0.231241,1.596262,1.356291,1.618777,-0.109185,0.021739,-0.393976,-0.918864
0.063078,0.182666,1.779721,0.546471,1.341750,-0.010455,0.035433,-0.402819,-0.914593
0.047955,0.120953,1.833094,-0.395005,1.259797,0.021856,0.047291,-0.403546,-0.913736
0.022053,0.075347,1.801614,-1.284365,1.233433,-0.026638,0.058773,-0.395736,-0.916482
0.010025,0.014504,1.753171,-1.948222,1.038071,-0.142507,0.069732,-0.380577,-0.922116
0.001186,-0.012586,1.696183,-2.274606,0.651852,-0.249206,0.078434,-0.360568,-0.929429
-0.009626,0.037036,1.598855,-2.364059,0.103894,-0.312609,0.083082,-0.338488,-0.937296
-0.011935,0.108446,1.501971,-2.394313,-0.566255,-0.352759,0.082018,-0.315676,-0.945316
-0.012628,0.178880,1.353816,-2.399209,-1.197104,-0.354649,0.074640,-0.292497,-0.953349
-0.043800,0.244665,1.111721,-2.426351,-1.613498,-0.339184,0.061882,-0.269063,-0.961132
-0.066714,0.298070,0.809986,-2.544599,-1.696718,-0.288132,0.046435,-0.244847,-0.968449
-0.076512,0.343291,0.490386,-2.758393,-1.461339,-0.189489,0.031361,-0.218871,-0.975250
-0.070044,0.343869,0.182584,-2.978072,-0.930609,-0.042915,0.019750,-0.190579,-0.981473
-0.047855,0.324147,-0.074794,-3.152730,-0.415711,0.106451,0.013110,-0.160160,-0.987004
-0.026180,0.294632,-0.205669,-3.173448,-0.077082,0.196567,0.010570,-0.128585,-0.991642
-0.005814,0.246933,-0.268501,-3.007407,0.022655,0.227301,0.010208,-0.097625,-0.995171
0.004492,0.210720,-0.302667,-2.687391,-0.048229,0.182641,0.009974,-0.069027,-0.997565
