ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.002783,0.025802,-0.088119,0.339719,-0.038866,0.060385,-0.045797,0.155518,-0.986771
0.003475,0.035981,-0.065853,0.458591,-0.140145,0.079963,-0.046627,0.151520,-0.987354
-0.001924,0.023643,-0.055297,0.461789,-0.180641,0.092057,-0.048125,0.146920,-0.987977
-0.010992,0.008856,-0.035209,0.349591,-0.170315,0.077394,-0.049783,0.142877,-0.988488
-0.018724,-0.008289,-0.024513,0.171126,-0.099383,0.039985,-0.051055,0.140293,-0.988793
-0.022929,-0.037858,-0.032664,-0.020248,-0.020399,-0.012498,-0.051641,0.139558,-0.988866
-0.029943,-0.046083,-0.045282,-0.184817,0.056349,-0.046787,-0.051478,0.140581,-0.988730
-0.016791,-0.040751,-0.063330,-0.299883,0.052176,-0.049916,-0.050959,0.142985,-0.988412
0.005197,-0.033026,-0.067127,-0.398605,-0.034766,-0.031388,-0.050897,0.146429,-0.987911
0.017672,-0.020416,-0.079426,-0.520224,-0.172119,-0.007375,-0.051928,0.150940,-0.987178
0.022968,-0.010205,-0.109732,-0.688460,-0.346646,0.013403,-0.054478,0.156918,-0.986108
0.007794,0.005182,-0.155292,-0.873950,-0.566005,-0.021124,-0.058972,0.164663,-0.984585
-0.034198,0.032799,-0.248759,-1.002206,-0.751554,-0.149287,-0.065808,0.173973,-0.982549
-0.088595,0.101409,-0.462129,-0.920921,-0.722570,-0.265900,-0.073560,0.183473,-0.980269
-0.137344,0.207359,-0.748283,-0.552867,-0.559257,-0.392766,-0.080598,0.190667,-0.978341
-0.136305,0.268946,-0.995007,0.103475,-0.224682,-0.456988,-0.085390,0.192663,-0.977543
-0.083116,0.307934,-1.184984,0.931317,0.186339,-0.375707,-0.086393,0.187290,-0.978498
-0.027822,0.359142,-1.250772,1.812235,0.531527,-0.198091,-0.083338,0.173513,-0.981299
0.019962,0.390712,-1.168638,2.635629,0.770846,0.026983,-0.076969,0.151372,-0.985476
0.028291,0.411481,-0.984553,3.278241,0.978918,0.245957,-0.068147,0.121952,-0.990194
-0.025765,0.441607,-0.791195,3.671936,1.281899,0.382618,-0.056602,0.087308,-0.994572
-0.068921,0.425478,-0.627004,3.857541,1.696221,0.464394,-0.041431,0.049696,-0.997905
-0.100516,0.392871,-0.458845,3.953310,2.089360,0.546357,-0.022210,0.010602,-0.999697
-0.136806,0.414404,-0.249772,4.102053,2.405846,0.606175,0.000362,-0.029760,-0.999557
-0.138241,0.406023,-0.036600,4.374268,2.582915,0.705339,0.025235,-0.072344,-0.997060
-0.125276,0.374015,0.235786,4.698311,2.395426,0.839094,0.049684,-0.118018,-0.991768
-0.120623,0.352091,0.648393,4.977519,1.537331,0.897922,0.068499,-0.166681,-0.983629
-0.123990,0.267150,1.252367,5.077881,-0.110685,0.687932,0.074323,-0.216902,-0.973360
-0.106968,0.055434,1.826144,4.832228,-1.863125,0.199971,0.063388,-0.265669,-0.961978
-0.068477,-0.182619,1.993990,4.178119,-2.792901,-0.285264,0.040447,-0.309202,-0.950136
-0.060360,-0.239363,1.751824,3.232275,-2.702452,-0.553469,0.015361,-0.344438,-0.938683
-0.059867,-0.123736,1.481740,2.080110,-1.995546,-0.629294,-0.004815,-0.369458,-0.929235
-0.000762,-0.030308,1.322185,0.859330,-1.067241,-0.511177,-0.016847,-0.383221,-0.923503
0.065439,0.050591,1.304336,-0.326572,-0.416471,-0.267707,-0.021982,-0.385735,-0.922348
0.118647,0.100485,1.426297,-1.449644,-0.077295,0.009501,-0.023631,-0.377477,-0.925717
0.136770,0.116094,1.479529,-2.478303,-0.040426,0.218692,-0.024496,-0.359029,-0.933005
0.116075,0.107627,1.445204,-3.343089,-0.154459,0.333225,-0.026338,-0.331381,-0.943129
0.052336,0.119098,1.289266,-4.034060,-0.284531,0.341629,-0.029570,-0.295993,-0.954732
-0.017403,0.118673,1.039081,-4.538834,-0.435248,0.217732,-0.033881,-0.254323,-0.966526
-0.055206,0.118368,0.755760,-4.777576,-0.557060,0.049124,-0.039032,-0.208578,-0.977227
-0.091837,0.171870,0.462816,-4.744634,-0.611647,-0.134653,-0.044790,-0.161403,-0.985872
-0.094445,0.209031,0.168548,-4.425428,-0.620242,-0.274928,-0.050635,-0.115738,-0.991988
-0.061238,0.222724,-0.071464,-3.947583,-0.662927,-0.327744,-0.056727,-0.073996,-0.995644
-0.017432,0.263079,-0.240533,-3.420943,-0.709086,-0.297139,-0.063440,-0.037248,-0.997290
0.017002,0.320066,-0.377047,-2.900134,-0.749665,-0.235973,-0.070713,-0.005735,-0.997480
0.028049,0.344328,-0.481625,-2.390314,-0.735279,-0.157449,-0.078220,0.020648,-0.996722
0.035825,0.321731,-0.584895,-1.901672,-0.654423,-0.066655,-0.085248,0.042023,-0.995473
0.029244,0.295627,-0.665428,-1.467160,-0.501485,0.015235,-0.091104,0.058820,-0.994103
0.018347,0.286344,-0.722572,-1.079350,-0.290671,0.112077,-0.095038,0.071567,-0.992898
0.008101,0.278635,-0.734630,-0.754302,-0.111238,0.221199,-0.096876,0.080832,-0.992009
