ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.001782,-0.006312,-0.012393,-0.176845,-0.065428,-0.130939,-0.028073,-0.008428,-0.999570
0.009724,-0.001799,-0.029787,-0.152071,-0.017581,-0.113870,-0.028477,-0.006821,-0.999571
0.015527,0.009863,-0.022347,-0.141079,0.009033,-0.089770,-0.028497,-0.005377,-0.999579
0.019353,0.014559,-0.009672,-0.150818,0.013009,-0.066669,-0.028371,-0.003954,-0.999590
0.017727,0.009405,0.007578,-0.189869,0.002493,-0.050106,-0.028286,-0.002279,-0.999597
0.015256,0.006028,0.016888,-0.259501,-0.003814,-0.048341,-0.028287,-0.000046,-0.999600
0.009934,-0.002994,0.016803,-0.338780,-0.035520,-0.064845,-0.028458,0.002948,-0.999591
0.010859,-0.014759,0.014219,-0.386821,-0.092693,-0.085607,-0.029093,0.006611,-0.999555
0.009673,-0.019997,-0.002499,-0.374350,-0.158788,-0.115382,-0.030364,0.010445,-0.999484
0.007706,-0.018363,-0.031425,-0.317449,-0.220160,-0.145543,-0.032287,0.013893,-0.999382
0.009766,-0.024722,-0.069070,-0.259310,-0.241703,-0.167522,-0.034668,0.016712,-0.999259
0.007135,-0.030061,-0.116476,-0.263624,-0.248353,-0.178728,-0.037164,0.019228,-0.999124
0.003722,-0.023442,-0.147781,-0.352892,-0.262618,-0.171911,-0.039763,0.022206,-0.998962
0.007688,-0.015667,-0.178038,-0.501253,-0.344724,-0.145520,-0.042799,0.026410,-0.998735
0.018418,-0.016940,-0.222766,-0.648078,-0.484951,-0.105353,-0.046967,0.032138,-0.998379
0.006033,0.001319,-0.308906,-0.752887,-0.649256,-0.077356,-0.052710,0.039178,-0.997841
-0.032901,0.022091,-0.443382,-0.757760,-0.769570,-0.102135,-0.059888,0.046772,-0.997109
-0.094008,0.031678,-0.629309,-0.614385,-0.815559,-0.236502,-0.068010,0.053665,-0.996240
-0.124660,0.024148,-0.845157,-0.257303,-0.697233,-0.425340,-0.075856,0.057930,-0.995435
-0.113290,0.013498,-1.052191,0.276479,-0.492904,-0.596814,-0.082160,0.057501,-0.994959
-0.098642,0.061473,-1.175319,0.891976,-0.184575,-0.670916,-0.085974,0.051138,-0.994984
-0.072626,0.151493,-1.221742,1.518292,0.187693,-0.628691,-0.086279,0.038464,-0.995528
-0.049575,0.230555,-1.170169,2.049552,0.570162,-0.518147,-0.082612,0.020010,-0.996381
-0.044325,0.286920,-1.011940,2.413555,0.890904,-0.384395,-0.075335,-0.002832,-0.997154
-0.037175,0.318144,-0.790977,2.597384,1.178217,-0.231555,-0.064906,-0.028303,-0.997490
-0.034180,0.333241,-0.547629,2.601067,1.431995,-0.107030,-0.051696,-0.054570,-0.997171
-0.042418,0.321403,-0.270893,2.533261,1.508369,-0.012201,-0.036775,-0.080329,-0.996090
-0.051585,0.307251,0.067370,2.484599,1.307935,0.025259,-0.022481,-0.105423,-0.994173
-0.025341,0.267515,0.417604,2.448394,0.884999,0.029178,-0.011509,-0.130048,-0.991441
0.005815,0.197758,0.679082,2.381699,0.519674,0.031430,-0.004640,-0.154118,-0.988042
0.019445,0.141680,0.817308,2.241657,0.314311,0.041332,-0.000707,-0.177096,-0.984193
0.028409,0.082130,0.897892,1.995982,0.335740,0.071651,0.002292,-0.198082,-0.980183
0.029205,0.033376,0.956854,1.656961,0.371634,0.094500,0.005646,-0.216100,-0.976355
0.022525,0.006658,1.092903,1.244715,0.310390,0.067281,0.008847,-0.230382,-0.973060
0.009751,0.003040,1.246990,0.779782,0.183102,0.015909,0.011200,-0.240283,-0.970638
0.011935,0.001951,1.333991,0.335414,-0.016182,-0.042853,0.012082,-0.245679,-0.969276
0.028272,-0.007463,1.367042,0.005639,-0.269045,-0.103909,0.010882,-0.247236,-0.968894
0.039708,-0.012289,1.350190,-0.195322,-0.544605,-0.151911,0.007259,-0.246256,-0.969178
0.039164,0.005488,1.307853,-0.340095,-0.790983,-0.176227,0.001088,-0.243617,-0.969871
0.046209,0.042668,1.220489,-0.482836,-0.925509,-0.125062,-0.006964,-0.239629,-0.970840
0.052220,0.080258,1.107353,-0.672339,-0.960088,-0.031645,-0.016056,-0.234020,-0.972099
0.050289,0.100865,0.988075,-0.943070,-0.884898,0.087107,-0.025203,-0.226169,-0.973762
0.038860,0.129405,0.843216,-1.309657,-0.708114,0.237635,-0.033428,-0.215128,-0.976014
0.029249,0.168736,0.682272,-1.724269,-0.452610,0.398252,-0.039823,-0.200107,-0.978964
0.015872,0.186382,0.529035,-2.129278,-0.241791,0.528180,-0.044055,-0.180919,-0.982511
0.002211,0.181800,0.401621,-2.454379,-0.108327,0.608029,-0.046721,-0.157874,-0.986353
-0.014800,0.162837,0.273636,-2.629482,-0.075686,0.600757,-0.048463,-0.132212,-0.990036
-0.032796,0.140647,0.130934,-2.595913,-0.134323,0.529995,-0.050121,-0.105719,-0.993132
-0.037314,0.114365,-0.012039,-2.336142,-0.302979,0.416843,-0.052682,-0.080688,-0.995346
-0.035143,0.086796,-0.116794,-1.954736,-0.535595,0.289180,-0.057126,-0.058963,-0.996624
