ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.059183,-0.094829,0.022013,-0.218964,0.175231,-0.007375,-0.043173,0.094936,-0.994547
-0.049447,-0.088016,0.029805,-0.272881,0.213779,-0.036657,-0.041236,0.097415,-0.994389
-0.043837,-0.082296,0.035340,-0.304350,0.208976,-0.057431,-0.039125,0.100302,-0.994187
-0.041872,-0.073210,0.051384,-0.325024,0.151647,-0.077056,-0.037382,0.103423,-0.993935
-0.041265,-0.061294,0.069581,-0.348865,0.080283,-0.084137,-0.036311,0.106750,-0.993623
-0.042247,-0.059542,0.081148,-0.411335,0.005540,-0.093905,-0.035985,0.110476,-0.993227
-0.041468,-0.057366,0.098297,-0.551811,-0.065816,-0.093327,-0.036398,0.115197,-0.992676
-0.044533,-0.056251,0.114985,-0.781286,-0.162489,-0.095881,-0.037620,0.121757,-0.991847
-0.048484,-0.060261,0.134030,-1.076795,-0.221918,-0.150437,-0.039696,0.130925,-0.990597
-0.047039,-0.084942,0.101779,-1.403659,-0.240563,-0.260397,-0.042347,0.143201,-0.988787
-0.049714,-0.097255,-0.009419,-1.645672,-0.179537,-0.385461,-0.044937,0.158290,-0.986370
-0.052906,-0.073519,-0.169179,-1.743489,-0.152638,-0.480143,-0.047237,0.174975,-0.983439
-0.029843,-0.000079,-0.313397,-1.659458,-0.343357,-0.499716,-0.050418,0.191653,-0.980167
0.003867,0.092949,-0.389227,-1.446160,-0.751657,-0.449534,-0.056724,0.206719,-0.976755
0.018857,0.171467,-0.475777,-1.236118,-1.163526,-0.369946,-0.067014,0.219586,-0.973289
-0.004516,0.265667,-0.636407,-1.087485,-1.492758,-0.315827,-0.080827,0.230656,-0.969673
-0.040118,0.323895,-0.845624,-0.904407,-1.475414,-0.354438,-0.096448,0.240162,-0.965930
-0.092844,0.326144,-1.229784,-0.453710,-0.837834,-0.438858,-0.108907,0.246534,-0.962995
-0.119393,0.347275,-1.626998,0.243976,0.067693,-0.514415,-0.113853,0.247146,-0.962266
-0.101107,0.358897,-1.794990,1.196293,0.885472,-0.495589,-0.110380,0.239721,-0.964547
-0.043475,0.418183,-1.712867,2.266490,1.379326,-0.370897,-0.100141,0.222412,-0.969796
0.003825,0.513060,-1.429340,3.287324,1.574856,-0.146639,-0.086146,0.194903,-0.977032
0.014138,0.573473,-1.069416,4.121109,1.622349,0.098486,-0.070305,0.158171,-0.984906
-0.002391,0.584677,-0.675163,4.715890,1.582984,0.333854,-0.054051,0.114236,-0.991982
-0.052121,0.531883,-0.258061,5.060010,1.461210,0.450979,-0.038333,0.065332,-0.997127
-0.144531,0.422013,0.200901,5.108429,1.186661,0.333955,-0.024796,0.014205,-0.999592
-0.212698,0.252466,0.652333,4.862371,0.817007,-0.010563,-0.014704,-0.036050,-0.999242
-0.233021,0.068927,1.031635,4.373315,0.518865,-0.418570,-0.007992,-0.082553,-0.996555
-0.187233,-0.050668,1.258751,3.765494,0.500374,-0.673426,-0.002495,-0.123328,-0.992363
-0.111251,-0.083274,1.356205,3.121477,0.633240,-0.733303,0.004134,-0.157616,-0.987492
-0.064995,-0.036842,1.489186,2.472803,0.800106,-0.710818,0.012459,-0.185265,-0.982610
-0.025891,0.008127,1.620606,1.816399,0.950432,-0.622678,0.022458,-0.206323,-0.978226
0.026073,0.028916,1.726876,1.173054,0.917970,-0.469133,0.032994,-0.220825,-0.974755
0.086619,0.026074,1.866221,0.596870,0.521386,-0.303346,0.041174,-0.229305,-0.972483
0.097422,0.039100,2.018233,0.072820,-0.171498,-0.167867,0.043508,-0.232459,-0.971633
0.083434,0.067877,2.065313,-0.489341,-0.782928,-0.052313,0.038911,-0.230428,-0.972311
0.071582,0.086231,1.897840,-1.130558,-1.090163,0.069026,0.029630,-0.222553,-0.974470
0.050779,0.114496,1.645138,-1.866198,-1.287558,0.168714,0.017565,-0.207895,-0.977993
0.019319,0.164814,1.394176,-2.591957,-1.246600,0.317411,0.004484,-0.185916,-0.982555
-0.008046,0.239329,1.085009,-3.249888,-1.089369,0.462398,-0.007792,-0.156916,-0.987581
-0.009996,0.259563,0.816437,-3.759862,-0.888103,0.543732,-0.018370,-0.121791,-0.992386
-0.015406,0.237917,0.554250,-4.068409,-0.740161,0.559919,-0.027059,-0.082353,-0.996236
-0.024230,0.223395,0.293158,-4.091036,-0.614414,0.518519,-0.034165,-0.041082,-0.998571
-0.038178,0.226385,0.044668,-3.851414,-0.545248,0.436557,-0.040054,-0.000844,-0.999197
-0.044820,0.216083,-0.172418,-3.417953,-0.508748,0.349380,-0.045284,0.035917,-0.998328
-0.059641,0.210438,-0.344403,-2.949569,-0.464020,0.220906,-0.050009,0.067974,-0.996433
-0.074676,0.226780,-0.473766,-2.499770,-0.493037,0.069951,-0.054611,0.095333,-0.993946
-0.059309,0.221045,-0.550387,-2.057393,-0.602193,-0.024451,-0.059999,0.118052,-0.991193
-0.063483,0.231128,-0.586259,-1.727236,-0.765554,-0.093356,-0.066888,0.136777,-0.988341
-0.068752,0.282645,-0.607378,-1.474778,-0.875204,-0.129630,-0.075230,0.152566,-0.985426
