ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.022893,-0.025338,-0.100783,-0.370076,0.080454,-0.040444,-0.077113,0.046716,-0.995927
-0.018371,-0.020318,-0.088645,-0.335355,0.144062,-0.021846,-0.075975,0.050240,-0.995843
-0.011921,-0.022134,-0.086430,-0.277246,0.157476,-0.015871,-0.074444,0.053308,-0.995799
-0.014690,-0.014742,-0.069935,-0.190429,0.149977,-0.019010,-0.072911,0.055651,-0.995785
-0.018676,-0.015972,-0.050088,-0.119762,0.106501,-0.032204,-0.071595,0.057156,-0.995795
-0.011714,-0.022363,-0.026136,-0.091056,0.003755,-0.057003,-0.071050,0.058161,-0.995776
-0.002775,-0.023793,-0.002602,-0.087745,-0.098322,-0.066314,-0.071581,0.058996,-0.995689
0.000283,-0.021517,0.001015,-0.104356,-0.153190,-0.067163,-0.072930,0.059893,-0.995537
-0.005048,-0.021079,-0.012425,-0.174774,-0.141923,-0.068607,-0.074481,0.061210,-0.995342
-0.008504,-0.026366,-0.035110,-0.295221,-0.103975,-0.062726,-0.075770,0.063491,-0.995102
-0.020429,-0.042441,-0.049700,-0.454536,-0.008459,-0.064270,-0.076419,0.067176,-0.994810
-0.028780,-0.053122,-0.089189,-0.656100,0.149474,-0.081692,-0.075773,0.072654,-0.994475
-0.020597,-0.052393,-0.158443,-0.853195,0.266864,-0.071358,-0.073702,0.080164,-0.994053
-0.009407,-0.029938,-0.203062,-1.002863,0.307015,-0.043396,-0.070824,0.089432,-0.993472
-0.004707,0.006901,-0.251507,-1.079138,0.268667,-0.024086,-0.067955,0.099849,-0.992679
-0.001129,0.048304,-0.316773,-1.094015,0.198429,-0.004362,-0.065628,0.110708,-0.991684
-0.025761,0.109394,-0.409436,-1.105407,0.099704,-0.061198,-0.064159,0.121655,-0.990497
-0.057470,0.177342,-0.551586,-1.053859,0.053869,-0.200207,-0.063563,0.132411,-0.989155
-0.085546,0.279091,-0.768737,-0.795287,0.061809,-0.387913,-0.063486,0.141609,-0.987885
-0.062233,0.401330,-1.077672,-0.024440,0.358430,-0.461980,-0.062264,0.145851,-0.987345
-0.016188,0.538612,-1.417009,1.450051,0.783472,-0.288381,-0.057038,0.138909,-0.988661
0.010689,0.659191,-1.441771,3.262572,0.819254,-0.002259,-0.049004,0.115376,-0.992112
0.085345,0.656609,-1.161771,4.865275,0.474564,0.258321,-0.042147,0.074562,-0.996325
0.140003,0.605631,-0.802094,6.069909,-0.077597,0.418820,-0.040012,0.019583,-0.999007
0.072918,0.550428,-0.384315,6.844094,-0.492776,0.424578,-0.043087,-0.045393,-0.998040
-0.049143,0.457655,-0.025890,7.130539,-0.651750,0.291116,-0.049246,-0.115507,-0.992085
-0.121570,0.354682,0.272536,6.899056,-0.699990,0.071452,-0.056210,-0.185355,-0.981063
-0.124981,0.241391,0.572955,6.231904,-0.893589,-0.173011,-0.063785,-0.249936,-0.966159
-0.091487,0.114900,0.896245,5.277662,-1.158978,-0.394410,-0.072881,-0.305711,-0.949331
-0.043899,0.016732,1.134025,4.154375,-1.249471,-0.554686,-0.082902,-0.350792,-0.932777
0.002645,-0.026505,1.190868,2.957786,-0.913632,-0.587498,-0.091070,-0.384429,-0.918652
0.031301,-0.005839,1.131105,1.766523,-0.231131,-0.446193,-0.094381,-0.406621,-0.908709
0.058650,0.053194,1.095527,0.616220,0.524203,-0.199733,-0.091670,-0.417756,-0.903923
0.073100,0.077531,1.120959,-0.448961,1.139617,0.028200,-0.083598,-0.418534,-0.904346
0.071114,0.044075,1.179284,-1.371171,1.480823,0.167812,-0.071938,-0.410057,-0.909219
0.073114,-0.019889,1.242757,-2.112809,1.500994,0.204267,-0.058816,-0.393823,-0.917303
0.089766,-0.091824,1.268051,-2.635462,1.190846,0.174781,-0.046919,-0.371539,-0.927231
0.090679,-0.118435,1.245471,-2.873652,0.699465,0.117336,-0.038540,-0.345463,-0.937641
0.066917,-0.099307,1.169685,-2.870492,0.188618,0.042775,-0.034629,-0.318097,-0.947426
0.036715,-0.068787,1.040648,-2.782254,-0.250365,-0.029695,-0.034991,-0.291046,-0.956069
0.017227,-0.027407,0.881592,-2.805682,-0.655638,-0.092215,-0.039215,-0.264204,-0.963669
0.022063,0.028285,0.693212,-2.968103,-0.961274,-0.099157,-0.046920,-0.236201,-0.970571
0.001104,0.135300,0.455069,-3.130483,-0.989332,-0.033959,-0.056555,-0.206345,-0.976844
-0.032639,0.226485,0.183732,-3.222328,-0.642803,0.029383,-0.064774,-0.174987,-0.982438
-0.046697,0.238039,-0.082755,-3.232010,-0.125941,0.088677,-0.068720,-0.142931,-0.987344
-0.035335,0.210461,-0.246154,-3.185736,0.367594,0.135742,-0.067601,-0.110882,-0.991532
-0.006881,0.160480,-0.318199,-3.083447,0.706754,0.159334,-0.062241,-0.079425,-0.994896
0.004859,0.136521,-0.305787,-2.933089,0.808201,0.142165,-0.054588,-0.049165,-0.997298
0.007707,0.135968,-0.246810,-2.756970,0.715445,0.074602,-0.046907,-0.020535,-0.998688
0.016947,0.121114,-0.199664,-2.592054,0.544604,-0.009204,-0.040537,0.006328,-0.999158
