ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.049049,-0.051623,0.051996,0.195147,-0.030045,-0.076215,0.047538,0.097766,-0.994073
-0.046157,-0.040955,0.078848,0.126209,-0.050432,-0.095128,0.047042,0.096162,-0.994253
-0.047761,-0.033413,0.104576,0.000658,-0.070981,-0.117902,0.046327,0.095547,-0.994346
-0.043197,-0.032914,0.123246,-0.158491,-0.089757,-0.142995,0.045394,0.096375,-0.994309
-0.031413,-0.034090,0.123574,-0.314666,-0.096914,-0.157366,0.044307,0.098818,-0.994119
-0.019404,-0.036759,0.102236,-0.429888,-0.065928,-0.176722,0.043268,0.102646,-0.993776
-0.022825,-0.041001,0.055509,-0.479533,0.039258,-0.197759,0.042906,0.107316,-0.993299
-0.021573,-0.036640,0.012716,-0.483986,0.127595,-0.209065,0.043561,0.112232,-0.992727
-0.009637,-0.023147,0.006669,-0.479945,0.122386,-0.200945,0.044625,0.117142,-0.992112
0.004843,-0.009936,0.022221,-0.488701,0.057091,-0.179526,0.045313,0.122043,-0.991490
0.018051,0.001103,0.020551,-0.538334,-0.022527,-0.160414,0.045273,0.127208,-0.990842
0.025882,0.010053,0.004617,-0.639336,-0.110232,-0.150535,0.044415,0.133105,-0.990106
0.031779,0.011930,-0.020411,-0.781729,-0.217273,-0.163763,0.042593,0.140231,-0.989202
0.047535,0.011588,-0.073126,-0.925325,-0.362382,-0.177814,0.039471,0.148813,-0.988077
0.058974,0.036407,-0.149618,-1.016446,-0.504338,-0.165985,0.034867,0.158555,-0.986734
0.051623,0.090123,-0.251923,-1.037376,-0.598596,-0.147188,0.029127,0.168834,-0.985214
0.039957,0.152299,-0.388493,-0.995998,-0.670512,-0.156273,0.022482,0.179000,-0.983592
0.022471,0.219946,-0.561247,-0.809595,-0.601626,-0.151660,0.015828,0.188074,-0.982027
-0.011168,0.317615,-0.764928,-0.413897,-0.390695,-0.150402,0.010557,0.194272,-0.980891
-0.024200,0.382832,-0.958203,0.224919,-0.077743,-0.127180,0.007935,0.195354,-0.980701
-0.029271,0.421615,-1.083617,1.044794,0.285407,-0.078205,0.008748,0.189179,-0.981904
0.007643,0.421012,-1.140481,1.958016,0.591009,0.042665,0.013109,0.174356,-0.984595
0.051418,0.414921,-1.080489,2.859123,0.783586,0.255601,0.020238,0.150387,-0.988420
0.063155,0.451762,-0.899378,3.620667,0.867316,0.479777,0.028978,0.117880,-0.992605
0.071891,0.449911,-0.682220,4.162211,0.957638,0.673663,0.038629,0.078623,-0.996156
0.051327,0.406826,-0.483102,4.479687,1.099051,0.829966,0.049335,0.034810,-0.998176
0.002314,0.374517,-0.278846,4.586403,1.205405,0.924680,0.061055,-0.011296,-0.998070
-0.035632,0.335324,-0.057172,4.568970,1.225551,0.957124,0.072955,-0.057888,-0.995654
-0.078493,0.282577,0.174943,4.476126,1.136498,0.907997,0.084108,-0.103866,-0.991029
-0.123111,0.219801,0.419378,4.329771,0.832131,0.770664,0.092975,-0.148389,-0.984549
-0.160135,0.164148,0.700131,4.159447,0.198443,0.530365,0.097177,-0.190896,-0.976788
-0.167120,0.078840,1.021669,3.926889,-0.717903,0.180702,0.093954,-0.230832,-0.968447
-0.132580,-0.079938,1.246290,3.596887,-1.612770,-0.191843,0.082577,-0.267367,-0.960050
-0.084677,-0.186950,1.323830,3.165129,-2.152643,-0.431778,0.065100,-0.299713,-0.951806
-0.065786,-0.172429,1.278830,2.604831,-2.133695,-0.489194,0.045827,-0.327037,-0.943900
-0.041362,-0.093141,1.149769,1.936170,-1.683751,-0.365680,0.029094,-0.348402,-0.936893
-0.005320,-0.017095,1.091353,1.177373,-1.116943,-0.164274,0.016870,-0.363032,-0.931624
0.041708,-0.016577,1.128722,0.352683,-0.654052,0.037109,0.008967,-0.370202,-0.928908
0.058734,-0.045119,1.219214,-0.533358,-0.451003,0.135617,0.003567,-0.369432,-0.929251
0.063978,-0.057330,1.299477,-1.499769,-0.304190,0.126152,-0.000471,-0.359937,-0.932977
0.070901,-0.016563,1.220133,-2.421900,-0.188768,0.107307,-0.003136,-0.341378,-0.939921
0.024326,0.005162,1.106608,-3.097782,-0.135261,0.111695,-0.005054,-0.315007,-0.949076
-0.006994,-0.007857,0.999150,-3.630903,-0.083395,0.059827,-0.006342,-0.282701,-0.959187
-0.009580,0.011610,0.819604,-4.133247,-0.075540,-0.017885,-0.007128,-0.245023,-0.969491
-0.006774,0.082642,0.624408,-4.557918,-0.105196,-0.083488,-0.007890,-0.202347,-0.979282
-0.003548,0.148287,0.385366,-4.764147,-0.097611,-0.089212,-0.008796,-0.156068,-0.987707
-0.022334,0.225777,0.128143,-4.675373,0.013555,-0.113654,-0.009130,-0.108833,-0.994018
-0.035763,0.255710,-0.126935,-4.266201,0.203102,-0.150728,-0.008030,-0.063846,-0.997927
-0.031516,0.245908,-0.331661,-3.634467,0.451472,-0.155356,-0.004616,-0.024105,-0.999699
0.002178,0.236172,-0.453946,-3.005273,0.494472,-0.117083,0.000309,0.009235,-0.999957
