ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.021553,0.007891,-0.082869,-0.096459,0.019268,0.015769,-0.014412,0.037077,-0.999209
0.021342,-0.005761,-0.069074,0.011604,0.002942,0.023432,-0.014353,0.037484,-0.999194
0.024798,-0.018660,-0.063089,0.048218,0.065997,0.051551,-0.014025,0.037124,-0.999212
0.020673,-0.015245,-0.050963,0.001810,0.151284,0.095102,-0.012906,0.036836,-0.999238
0.010346,-0.019217,-0.012244,-0.082138,0.210288,0.120971,-0.011033,0.037238,-0.999246
-0.001293,-0.030256,0.028483,-0.186369,0.227541,0.134476,-0.008732,0.038588,-0.999217
-0.015553,-0.031211,0.077840,-0.302434,0.142707,0.118568,-0.006755,0.041038,-0.999135
-0.028544,-0.031615,0.141010,-0.429057,-0.004423,0.059360,-0.006017,0.044723,-0.998981
-0.031868,-0.052595,0.162623,-0.553040,-0.157795,-0.020741,-0.006829,0.049651,-0.998743
-0.025986,-0.083906,0.139628,-0.644718,-0.255023,-0.095388,-0.008987,0.055693,-0.998407
-0.018154,-0.094217,0.084018,-0.715328,-0.330683,-0.135032,-0.011982,0.062494,-0.997973
-0.011351,-0.076079,0.045325,-0.807765,-0.454708,-0.143371,-0.015978,0.070098,-0.997412
0.001461,-0.044937,0.001281,-0.909599,-0.562716,-0.115452,-0.021237,0.078690,-0.996673
0.000607,-0.026798,-0.117522,-1.001601,-0.621416,-0.074459,-0.027219,0.088230,-0.995728
-0.025929,-0.019125,-0.256928,-1.116184,-0.771868,-0.093531,-0.034206,0.098776,-0.994522
-0.065526,0.020794,-0.395698,-1.236147,-0.975464,-0.174560,-0.043025,0.110508,-0.992944
-0.123357,0.128952,-0.615341,-1.218941,-1.264012,-0.338398,-0.054484,0.122788,-0.990936
-0.173974,0.266415,-0.932058,-0.813233,-1.362461,-0.549095,-0.068366,0.132938,-0.988764
-0.162129,0.375518,-1.384178,0.082869,-1.065363,-0.657109,-0.081539,0.136369,-0.987297
-0.117322,0.454708,-1.800238,1.237270,-0.390468,-0.606774,-0.089801,0.129323,-0.987528
-0.069911,0.509877,-2.027818,2.305924,0.497820,-0.432927,-0.090001,0.111064,-0.989730
-0.025025,0.532076,-1.966272,3.040683,1.367942,-0.178245,-0.080886,0.083906,-0.993185
-0.013282,0.526885,-1.631568,3.461159,1.969737,0.081219,-0.064004,0.051179,-0.996636
-0.028789,0.486982,-1.064445,3.666802,2.220016,0.300539,-0.042653,0.015414,-0.998971
-0.038804,0.398568,-0.422655,3.772358,2.046194,0.422701,-0.020949,-0.021920,-0.999540
-0.084358,0.267989,0.259688,3.665925,1.651555,0.351739,-0.002510,-0.059447,-0.998228
-0.087965,0.078983,0.809842,3.229636,1.255570,0.208154,0.011824,-0.094226,-0.995481
-0.061461,-0.102251,1.181996,2.572152,1.050028,0.022018,0.023009,-0.123320,-0.992100
-0.033240,-0.218671,1.368191,1.919000,1.083272,-0.087721,0.033652,-0.145633,-0.988766
-0.023567,-0.198288,1.481750,1.356319,1.035088,-0.125280,0.044441,-0.161788,-0.985824
-0.005993,-0.134147,1.678364,0.858452,0.722674,-0.109278,0.053554,-0.172661,-0.983524
0.028345,-0.091557,1.867155,0.390768,0.192718,-0.065584,0.058295,-0.178783,-0.982160
0.048350,-0.055033,1.921325,-0.071807,-0.268696,-0.002081,0.057851,-0.180333,-0.981903
0.048433,-0.037524,1.771372,-0.556377,-0.459084,0.074795,0.054060,-0.177274,-0.982676
0.027661,-0.005755,1.524495,-1.031450,-0.577062,0.154729,0.048740,-0.169446,-0.984333
0.011192,0.038994,1.331555,-1.416413,-0.768357,0.235764,0.041817,-0.157326,-0.986661
-0.011276,0.098493,1.157388,-1.687213,-1.034261,0.305262,0.032470,-0.141934,-0.989343
-0.043133,0.171507,0.944828,-1.844222,-1.261534,0.347189,0.020520,-0.124372,-0.992023
-0.085772,0.226910,0.665306,-1.908277,-1.269527,0.376517,0.007281,-0.105648,-0.994377
-0.122356,0.242616,0.336476,-1.939165,-1.020698,0.384893,-0.004673,-0.086381,-0.996251
-0.135337,0.210647,0.054192,-1.959361,-0.676251,0.350193,-0.013466,-0.066832,-0.997673
-0.127703,0.154616,-0.120423,-1.972239,-0.361273,0.261424,-0.018781,-0.047010,-0.998718
-0.104568,0.083599,-0.216276,-1.902938,-0.187702,0.154966,-0.021546,-0.027415,-0.999392
-0.072868,0.043459,-0.281543,-1.674288,-0.122000,0.067414,-0.023033,-0.009295,-0.999691
-0.036556,0.023655,-0.339732,-1.313375,-0.166346,0.030384,-0.024449,0.005795,-0.999684
-0.007705,0.017940,-0.361006,-0.942779,-0.287629,0.020038,-0.026658,0.017094,-0.999498
0.000176,0.026009,-0.338019,-0.710133,-0.473664,0.001653,-0.030480,0.025292,-0.999215
-0.016430,0.041484,-0.287885,-0.605875,-0.617142,-0.035272,-0.036014,0.031865,-0.998843
-0.028607,0.040933,-0.297692,-0.520436,-0.669914,-0.068293,-0.042560,0.037513,-0.998389
-0.034522,0.026635,-0.336466,-0.412276,-0.626160,-0.093564,-0.049173,0.042168,-0.997900
